Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:13:51:790,target,BB Gun,0s,1,1,1,1,1,1,false
2,22:13:52:329,target,BB Gun,0s,1,1,1,1,1,1,false
3,22:13:52:960,target,BB Gun,0s,1,1,1,1,1,1,false
4,22:13:53:567,target,BB Gun,0.14s,2,1,0.5,1,2,0.5,false
5,22:13:54:621,target,BB Gun,0.595s,4,1,0.25,1,4,0.25,false
6,22:13:55:889,target,BB Gun,0.7s,2,1,0.5,1,2,0.5,false
7,22:13:56:781,target,BB Gun,0.261s,2,1,0.5,1,2,0.5,false
8,22:13:57:400,target,BB Gun,0s,1,1,1,1,1,1,false
9,22:13:57:867,target,BB Gun,0s,1,1,1,1,1,1,false
10,22:13:58:433,target,BB Gun,0s,1,1,1,1,1,1,false
11,22:13:59:038,target,BB Gun,0.001s,1,1,1,1,1,1,false
12,22:13:59:621,target,BB Gun,0s,1,1,1,1,1,1,false
13,22:14:00:112,target,BB Gun,0s,1,1,1,1,1,1,false
14,22:14:01:109,target,BB Gun,0.414s,2,1,0.5,1,2,0.5,false
15,22:14:01:611,target,BB Gun,0s,1,1,1,1,1,1,false
16,22:14:02:336,target,BB Gun,0s,1,1,1,1,1,1,false
17,22:14:03:140,target,BB Gun,0.414s,2,1,0.5,1,2,0.5,false
18,22:14:03:652,target,BB Gun,0s,1,1,1,1,1,1,false
19,22:14:04:087,target,BB Gun,0s,1,1,1,1,1,1,false
20,22:14:04:682,target,BB Gun,0s,1,1,1,1,1,1,false
21,22:14:05:346,target,BB Gun,0.241s,2,1,0.5,1,2,0.5,false
22,22:14:05:943,target,BB Gun,0s,1,1,1,1,1,1,false
23,22:14:06:339,target,BB Gun,0s,1,1,1,1,1,1,false
24,22:14:06:766,target,BB Gun,0s,1,1,1,1,1,1,false
25,22:14:07:300,target,BB Gun,0s,1,1,1,1,1,1,false
26,22:14:08:372,target,BB Gun,0.597s,3,1,0.333,1,3,0.333,false
27,22:14:08:998,target,BB Gun,0s,1,1,1,1,1,1,false
28,22:14:09:548,target,BB Gun,0s,1,1,1,1,1,1,false
29,22:14:10:374,target,BB Gun,0s,1,1,1,1,1,1,false
30,22:14:10:687,target,BB Gun,0s,1,1,1,1,1,1,false
31,22:14:11:277,target,BB Gun,0.206s,2,1,0.5,1,2,0.5,false
32,22:14:11:754,target,BB Gun,0s,1,1,1,1,1,1,false
33,22:14:12:553,target,BB Gun,0.233s,2,1,0.5,1,2,0.5,false
34,22:14:13:090,target,BB Gun,0s,1,1,1,1,1,1,false
35,22:14:13:679,target,BB Gun,0s,1,1,1,1,1,1,false
36,22:14:14:602,target,BB Gun,0.561s,3,1,0.333,1,3,0.333,false
37,22:14:15:050,target,BB Gun,0.001s,1,1,1,1,1,1,false
38,22:14:15:511,target,BB Gun,0s,1,1,1,1,1,1,false
39,22:14:16:143,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,22:14:17:087,target,BB Gun,0.281s,2,1,0.5,1,2,0.5,false
41,22:14:18:080,target,BB Gun,0.678s,3,1,0.333,1,3,0.333,false
42,22:14:18:537,target,BB Gun,0s,1,1,1,1,1,1,false
43,22:14:19:061,target,BB Gun,0s,1,1,1,1,1,1,false
44,22:14:19:628,target,BB Gun,0s,1,1,1,1,1,1,false
45,22:14:20:122,target,BB Gun,0s,1,1,1,1,1,1,false
46,22:14:20:660,target,BB Gun,0s,1,1,1,1,1,1,false
47,22:14:21:305,target,BB Gun,0s,1,1,1,1,1,1,false
48,22:14:22:111,target,BB Gun,0.248s,2,1,0.5,1,2,0.5,false
49,22:14:22:762,target,BB Gun,0s,1,1,1,1,1,1,false
50,22:14:23:266,target,BB Gun,0s,1,1,1,1,1,1,false
51,22:14:23:862,target,BB Gun,0s,1,1,1,1,1,1,false
52,22:14:24:446,target,BB Gun,0.234s,2,1,0.5,1,2,0.5,false
53,22:14:24:872,target,BB Gun,0s,1,1,1,1,1,1,false
54,22:14:25:287,target,BB Gun,0s,1,1,1,1,1,1,false
55,22:14:25:901,target,BB Gun,0.26s,2,1,0.5,1,2,0.5,false
56,22:14:26:314,target,BB Gun,0.001s,1,1,1,1,1,1,false
57,22:14:26:902,target,BB Gun,0s,1,1,1,1,1,1,false
58,22:14:27:422,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,22:14:28:027,target,BB Gun,0s,1,1,1,1,1,1,false
60,22:14:29:039,target,BB Gun,0.51s,2,1,0.5,1,2,0.5,false
61,22:14:29:618,target,BB Gun,0s,1,1,1,1,1,1,false
62,22:14:30:526,target,BB Gun,0.226s,2,1,0.5,1,2,0.5,false
63,22:14:31:227,target,BB Gun,0.001s,1,1,1,1,1,1,false
64,22:14:32:064,target,BB Gun,0s,1,1,1,1,1,1,false
65,22:14:32:415,target,BB Gun,0s,1,1,1,1,1,1,false
66,22:14:32:943,target,BB Gun,0s,1,1,1,1,1,1,false
67,22:14:33:528,target,BB Gun,0s,1,1,1,1,1,1,false
68,22:14:34:052,target,BB Gun,0s,1,1,1,1,1,1,false
69,22:14:34:407,target,BB Gun,0s,1,1,1,1,1,1,false
70,22:14:35:011,target,BB Gun,0s,1,1,1,1,1,1,false
71,22:14:36:326,target,BB Gun,0.763s,2,1,0.5,1,2,0.5,false
72,22:14:37:524,target,BB Gun,0.693s,3,1,0.333,1,3,0.333,false
73,22:14:38:281,target,BB Gun,0s,1,1,1,1,1,1,false
74,22:14:38:811,target,BB Gun,0s,1,1,1,1,1,1,false
75,22:14:39:360,target,BB Gun,0s,1,1,1,1,1,1,false
76,22:14:39:810,target,BB Gun,0s,1,1,1,1,1,1,false
77,22:14:40:400,target,BB Gun,0s,1,1,1,1,1,1,false
78,22:14:40:823,target,BB Gun,0s,1,1,1,1,1,1,false
79,22:14:41:338,target,BB Gun,0.3s,2,1,0.5,1,2,0.5,false
80,22:14:41:828,target,BB Gun,0s,1,1,1,1,1,1,false
81,22:14:43:197,target,BB Gun,0.78s,2,1,0.5,1,2,0.5,false
82,22:14:43:856,target,BB Gun,0s,1,1,1,1,1,1,false
83,22:14:44:809,target,BB Gun,0.26s,2,1,0.5,1,2,0.5,false
84,22:14:45:431,target,BB Gun,0.001s,1,1,1,1,1,1,false
85,22:14:46:179,target,BB Gun,0s,1,1,1,1,1,1,false
86,22:14:46:778,target,BB Gun,0s,1,1,1,1,1,1,false
87,22:14:47:435,target,BB Gun,0s,1,1,1,1,1,1,false
88,22:14:47:931,target,BB Gun,0.001s,1,1,1,1,1,1,false
89,22:14:48:427,target,BB Gun,0s,1,1,1,1,1,1,false
90,22:14:48:996,target,BB Gun,0s,1,1,1,1,1,1,false
91,22:14:49:955,target,BB Gun,0.442s,2,1,0.5,1,2,0.5,false
92,22:14:50:566,target,BB Gun,0s,1,1,1,1,1,1,false
93,22:14:51:073,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,123,93,93.0,123.0,

Kills:,93
Deaths:,0
Fight Time:,10.045
Avg TTK:,0.108
Damage Done:,93.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,703.170715
Scenario:,1wall 6targets small
Hash:,0d8df6a1ff4ec9bc3c0c4769f3dae3a0
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
