Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:34:20:539,target,pistol,0s,1,1,1,25,50,0.5,false
2,20:34:20:861,target,pistol,0s,1,1,1,25,50,0.5,false
3,20:34:21:315,target,pistol,0s,1,1,1,25,50,0.5,false
4,20:34:21:915,target,pistol,0.245s,2,1,0.5,25,100,0.25,false
5,20:34:22:443,target,pistol,0.231s,2,1,0.5,25,100,0.25,false
6,20:34:22:876,target,pistol,0s,1,1,1,25,50,0.5,false
7,20:34:23:182,target,pistol,0s,1,1,1,25,50,0.5,false
8,20:34:23:545,target,pistol,0.001s,1,1,1,25,50,0.5,false
9,20:34:23:839,target,pistol,0s,1,1,1,25,50,0.5,false
10,20:34:24:180,target,pistol,0.001s,1,1,1,25,50,0.5,false
11,20:34:24:849,target,pistol,0.312s,2,1,0.5,25,100,0.25,false
12,20:34:25:166,target,pistol,0s,1,1,1,25,50,0.5,false
13,20:34:25:553,target,pistol,0s,1,1,1,25,50,0.5,false
14,20:34:25:903,target,pistol,0.001s,1,1,1,25,50,0.5,false
15,20:34:26:217,target,pistol,0s,1,1,1,25,50,0.5,false
16,20:34:26:662,target,pistol,0.001s,1,1,1,25,50,0.5,false
17,20:34:27:099,target,pistol,0s,1,1,1,25,50,0.5,false
18,20:34:27:862,target,pistol,0.275s,2,1,0.5,25,100,0.25,false
19,20:34:28:102,target,pistol,0s,1,1,1,25,50,0.5,false
20,20:34:28:553,target,pistol,0s,1,1,1,25,50,0.5,false
21,20:34:28:942,target,pistol,0s,1,1,1,25,50,0.5,false
22,20:34:29:324,target,pistol,0s,1,1,1,25,50,0.5,false
23,20:34:29:943,target,pistol,0.526s,3,1,0.333,25,150,0.167,false
24,20:34:30:205,target,pistol,0s,1,1,1,25,50,0.5,false
25,20:34:30:581,target,pistol,0.001s,1,1,1,25,50,0.5,false
26,20:34:31:256,target,pistol,0.344s,2,1,0.5,25,100,0.25,false
27,20:34:31:681,target,pistol,0s,1,1,1,25,50,0.5,false
28,20:34:32:050,target,pistol,0s,1,1,1,25,50,0.5,false
29,20:34:32:524,target,pistol,0s,1,1,1,25,50,0.5,false
30,20:34:32:918,target,pistol,0s,1,1,1,25,50,0.5,false
31,20:34:33:296,target,pistol,0s,1,1,1,25,50,0.5,false
32,20:34:33:727,target,pistol,0s,1,1,1,25,50,0.5,false
33,20:34:34:071,target,pistol,0s,1,1,1,25,50,0.5,false
34,20:34:34:465,target,pistol,0s,1,1,1,25,50,0.5,false
35,20:34:34:808,target,pistol,0s,1,1,1,25,50,0.5,false
36,20:34:35:220,target,pistol,0s,1,1,1,25,50,0.5,false
37,20:34:35:606,target,pistol,0s,1,1,1,25,50,0.5,false
38,20:34:35:950,target,pistol,0s,1,1,1,25,50,0.5,false
39,20:34:36:971,target,pistol,0.544s,3,1,0.333,25,150,0.167,false
40,20:34:37:286,target,pistol,0s,1,1,1,25,50,0.5,false
41,20:34:37:849,target,pistol,0.207s,2,1,0.5,25,100,0.25,false
42,20:34:38:186,target,pistol,0s,1,1,1,25,50,0.5,false
43,20:34:38:486,target,pistol,0s,1,1,1,25,50,0.5,false
44,20:34:39:258,target,pistol,0.321s,2,1,0.5,25,100,0.25,false
45,20:34:39:770,target,pistol,0s,1,1,1,25,50,0.5,false
46,20:34:40:308,target,pistol,0.251s,2,1,0.5,25,100,0.25,false
47,20:34:40:589,target,pistol,0s,1,1,1,25,50,0.5,false
48,20:34:40:895,target,pistol,0s,1,1,1,25,50,0.5,false
49,20:34:41:361,target,pistol,0s,1,1,1,25,50,0.5,false
50,20:34:41:960,target,pistol,0s,1,1,1,25,50,0.5,false
51,20:34:42:198,target,pistol,0s,1,1,1,25,50,0.5,false
52,20:34:42:642,target,pistol,0s,1,1,1,25,50,0.5,false
53,20:34:43:074,target,pistol,0s,1,1,1,25,50,0.5,false
54,20:34:43:412,target,pistol,0s,1,1,1,25,50,0.5,false
55,20:34:43:727,target,pistol,0s,1,1,1,25,50,0.5,false
56,20:34:44:116,target,pistol,0s,1,1,1,25,50,0.5,false
57,20:34:44:540,target,pistol,0s,1,1,1,25,50,0.5,false
58,20:34:45:216,target,pistol,0.369s,2,1,0.5,25,100,0.25,false
59,20:34:45:749,target,pistol,0.238s,2,1,0.5,25,100,0.25,false
60,20:34:46:342,target,pistol,0.237s,2,1,0.5,25,100,0.25,false
61,20:34:46:587,target,pistol,0s,1,1,1,25,50,0.5,false
62,20:34:46:933,target,pistol,0s,1,1,1,25,50,0.5,false
63,20:34:47:481,target,pistol,0s,1,1,1,25,50,0.5,false
64,20:34:47:912,target,pistol,0s,1,1,1,25,50,0.5,false
65,20:34:48:338,target,pistol,0.001s,1,1,1,25,50,0.5,false
66,20:34:49:166,target,pistol,0.417s,2,1,0.5,25,100,0.25,false
67,20:34:49:609,target,pistol,0s,1,1,1,25,50,0.5,false
68,20:34:49:923,target,pistol,0s,1,1,1,25,50,0.5,false
69,20:34:50:284,target,pistol,0s,1,1,1,25,50,0.5,false
70,20:34:50:733,target,pistol,0s,1,1,1,25,50,0.5,false
71,20:34:51:089,target,pistol,0s,1,1,1,25,50,0.5,false
72,20:34:51:416,target,pistol,0s,1,1,1,25,50,0.5,false
73,20:34:51:715,target,pistol,0s,1,1,1,25,50,0.5,false
74,20:34:52:029,target,pistol,0s,1,1,1,25,50,0.5,false
75,20:34:52:487,target,pistol,0s,1,1,1,25,50,0.5,false
76,20:34:52:782,target,pistol,0s,1,1,1,25,50,0.5,false
77,20:34:53:132,target,pistol,0s,1,1,1,25,50,0.5,false
78,20:34:53:866,target,pistol,0.414s,2,1,0.5,25,100,0.25,false
79,20:34:54:718,target,pistol,0.494s,2,1,0.5,25,100,0.25,false
80,20:34:55:126,target,pistol,0s,1,1,1,25,50,0.5,false
81,20:34:55:539,target,pistol,0s,1,1,1,25,50,0.5,false
82,20:34:55:888,target,pistol,0s,1,1,1,25,50,0.5,false
83,20:34:56:232,target,pistol,0s,1,1,1,25,50,0.5,false
84,20:34:56:613,target,pistol,0s,1,1,1,25,50,0.5,false
85,20:34:57:421,target,pistol,0.001s,1,1,1,25,50,0.5,false
86,20:34:58:096,target,pistol,0.401s,2,1,0.5,25,100,0.25,false
87,20:34:58:795,target,pistol,0.356s,2,1,0.5,25,100,0.25,false
88,20:34:59:034,target,pistol,0s,1,1,1,25,50,0.5,false
89,20:34:59:385,target,pistol,0s,1,1,1,25,50,0.5,false
90,20:34:59:685,target,pistol,0s,1,1,1,25,50,0.5,false
91,20:35:00:330,target,pistol,0.276s,2,1,0.5,25,100,0.25,false
92,20:35:00:713,target,pistol,0.001s,1,1,1,25,50,0.5,false
93,20:35:01:150,target,pistol,0s,1,1,1,25,50,0.5,false
94,20:35:01:462,target,pistol,0s,1,1,1,25,50,0.5,false
95,20:35:01:971,target,pistol,0s,1,1,1,25,50,0.5,false
96,20:35:02:474,target,pistol,0s,1,1,1,25,50,0.5,false
97,20:35:02:968,target,pistol,0.001s,1,1,1,25,50,0.5,false
98,20:35:03:143,target,pistol,0s,1,1,1,25,50,0.5,false
99,20:35:03:580,target,pistol,0s,1,1,1,25,50,0.5,false
100,20:35:04:031,target,pistol,0s,1,1,1,25,50,0.5,false
101,20:35:04:406,target,pistol,0s,1,1,1,25,50,0.5,false
102,20:35:05:076,target,pistol,0.293s,2,1,0.5,25,100,0.25,false
103,20:35:05:489,target,pistol,0s,1,1,1,25,50,0.5,false
104,20:35:05:784,target,pistol,0s,1,1,1,25,50,0.5,false
105,20:35:06:355,target,pistol,0s,1,1,1,25,50,0.5,false
106,20:35:06:549,target,pistol,0s,1,1,1,25,50,0.5,false
107,20:35:06:981,target,pistol,0.001s,1,1,1,25,50,0.5,false
108,20:35:07:474,target,pistol,0s,1,1,1,25,50,0.5,false
109,20:35:07:806,target,pistol,0.001s,1,1,1,25,50,0.5,false
110,20:35:08:562,target,pistol,0.419s,2,1,0.5,25,100,0.25,false
111,20:35:09:002,target,pistol,0s,1,1,1,25,50,0.5,false
112,20:35:09:245,target,pistol,0s,1,1,1,25,50,0.5,false
113,20:35:09:627,target,pistol,0s,1,1,1,25,50,0.5,false
114,20:35:09:889,target,pistol,0s,1,1,1,25,50,0.5,false
115,20:35:10:241,target,pistol,0s,1,1,1,25,50,0.5,false
116,20:35:10:892,target,pistol,0s,1,1,1,25,50,0.5,false
117,20:35:11:257,target,pistol,0s,1,1,1,25,50,0.5,false
118,20:35:11:708,target,pistol,0s,1,1,1,25,50,0.5,false
119,20:35:11:990,target,pistol,0s,1,1,1,25,50,0.5,false
120,20:35:12:270,target,pistol,0s,1,1,1,25,50,0.5,false
