Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:16:02:878,test,pistol,0.516s,2,1,0.5,1000,4000,0.25,false
2,23:16:03:308,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,23:16:05:117,test,pistol,0.762s,3,1,0.333,1000,6000,0.167,false
4,23:16:05:999,test,pistol,0.439s,2,1,0.5,1000,4000,0.25,false
5,23:16:06:490,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,23:16:07:760,test,pistol,0.854s,3,1,0.333,1000,6000,0.167,false
7,23:16:08:654,test,pistol,0.455s,2,1,0.5,1000,4000,0.25,false
8,23:16:09:729,test,pistol,0.537s,2,1,0.5,1000,4000,0.25,false
9,23:16:10:169,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,23:16:11:252,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,23:16:11:684,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,23:16:12:364,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,23:16:12:760,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,23:16:13:621,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,23:16:14:338,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,23:16:14:719,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,23:16:15:250,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,23:16:15:690,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,23:16:16:306,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,23:16:19:149,test,pistol,2.43s,4,1,0.25,1000,8000,0.125,false
21,23:16:19:584,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,23:16:21:333,test,pistol,1.226s,3,1,0.333,1000,6000,0.167,false
23,23:16:21:859,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,23:16:22:329,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,23:16:22:814,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,23:16:23:306,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,23:16:24:322,test,pistol,0.487s,2,1,0.5,1000,4000,0.25,false
28,23:16:24:788,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
29,23:16:25:473,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,23:16:25:953,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,23:16:26:456,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,23:16:26:871,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,23:16:28:293,test,pistol,0.966s,3,1,0.333,1000,6000,0.167,false
34,23:16:31:042,test,pistol,2.26s,3,1,0.333,1000,6000,0.167,false
35,23:16:31:732,test,pistol,0s,1,1,1,1000,2000,0.5,false
36,23:16:32:329,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,23:16:32:775,test,pistol,0s,1,1,1,1000,2000,0.5,false
38,23:16:33:623,test,pistol,0.409s,2,1,0.5,1000,4000,0.25,false
39,23:16:34:104,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,23:16:34:544,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,23:16:35:485,test,pistol,0.358s,2,1,0.5,1000,4000,0.25,false
42,23:16:36:531,test,pistol,0.519s,2,1,0.5,1000,4000,0.25,false
43,23:16:37:043,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,23:16:37:751,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,23:16:38:246,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,23:16:39:322,test,pistol,0.628s,2,1,0.5,1000,4000,0.25,false
47,23:16:39:785,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,23:16:40:211,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
49,23:16:41:352,test,pistol,0.643s,2,1,0.5,1000,4000,0.25,false
50,23:16:41:930,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,23:16:42:798,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
52,23:16:43:275,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,23:16:44:864,test,pistol,0.878s,3,1,0.333,1000,6000,0.167,false
54,23:16:45:661,test,pistol,0s,1,1,1,1000,2000,0.5,false
55,23:16:46:361,test,pistol,0s,1,1,1,1000,2000,0.5,false
56,23:16:47:004,test,pistol,0s,1,1,1,1000,2000,0.5,false
57,23:16:47:558,test,pistol,0s,1,1,1,1000,2000,0.5,false
58,23:16:50:253,test,pistol,2.165s,4,1,0.25,1000,8000,0.125,false
59,23:16:50:924,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,23:16:51:474,test,pistol,0s,1,1,1,1000,2000,0.5,false
61,23:16:51:926,test,pistol,0s,1,1,1,1000,2000,0.5,false
62,23:16:52:612,test,pistol,0s,1,1,1,1000,2000,0.5,false
63,23:16:53:507,test,pistol,0.312s,2,1,0.5,1000,4000,0.25,false
64,23:16:54:342,test,pistol,0s,1,1,1,1000,2000,0.5,false
65,23:16:55:329,test,pistol,0.466s,2,1,0.5,1000,4000,0.25,false
66,23:16:55:807,test,pistol,0s,1,1,1,1000,2000,0.5,false
67,23:16:56:313,test,pistol,0s,1,1,1,1000,2000,0.5,false
68,23:16:57:050,test,pistol,0.284s,2,1,0.5,1000,4000,0.25,false
69,23:16:57:628,test,pistol,0s,1,1,1,1000,2000,0.5,false
70,23:16:58:146,test,pistol,0s,1,1,1,1000,2000,0.5,false
71,23:16:59:053,test,pistol,0.396s,2,1,0.5,1000,4000,0.25,false
72,23:17:00:088,test,pistol,0.483s,2,1,0.5,1000,4000,0.25,false
73,23:17:00:642,test,pistol,0s,1,1,1,1000,2000,0.5,false
74,23:17:02:195,test,pistol,1.027s,3,1,0.333,1000,6000,0.167,false
75,23:17:03:397,test,pistol,0.705s,2,1,0.5,1000,4000,0.25,false
76,23:17:04:005,test,pistol,0s,1,1,1,1000,2000,0.5,false
77,23:17:04:626,test,pistol,0s,1,1,1,1000,2000,0.5,false
78,23:17:05:348,test,pistol,0s,1,1,1,1000,2000,0.5,false
79,23:17:05:907,test,pistol,0s,1,1,1,1000,2000,0.5,false
80,23:17:06:991,test,pistol,0.505s,2,1,0.5,1000,4000,0.25,false
81,23:17:07:480,test,pistol,0s,1,1,1,1000,2000,0.5,false
82,23:17:09:348,test,pistol,1.255s,3,1,0.333,1000,6000,0.167,false
83,23:17:09:980,test,pistol,0s,1,1,1,1000,2000,0.5,false
84,23:17:11:020,test,pistol,0.386s,2,1,0.5,1000,4000,0.25,false
85,23:17:11:584,test,pistol,0s,1,1,1,1000,2000,0.5,false
86,23:17:12:552,test,pistol,0.352s,2,1,0.5,1000,4000,0.25,false
87,23:17:15:465,test,pistol,2.465s,5,1,0.2,1000,10000,0.1,false
88,23:17:16:800,test,pistol,0.998s,3,1,0.333,1000,6000,0.167,false
89,23:17:17:300,test,pistol,0s,1,1,1,1000,2000,0.5,false
90,23:17:18:303,test,pistol,0.478s,2,1,0.5,1000,4000,0.25,false
91,23:17:18:912,test,pistol,0s,1,1,1,1000,2000,0.5,false
92,23:17:19:499,test,pistol,0s,1,1,1,1000,2000,0.5,false
93,23:17:20:002,test,pistol,0s,1,1,1,1000,2000,0.5,false
94,23:17:21:241,test,pistol,0.557s,2,1,0.5,1000,4000,0.25,false
