Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:54:37:169,target,BB Gun,0s,1,1,1,1,1,1,false
2,23:54:37:469,target,BB Gun,0s,1,1,1,1,1,1,false
3,23:54:37:790,target,BB Gun,0s,1,1,1,1,1,1,false
4,23:54:38:048,target,BB Gun,0s,1,1,1,1,1,1,false
5,23:54:38:416,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,23:54:38:665,target,BB Gun,0s,1,1,1,1,1,1,false
7,23:54:38:957,target,BB Gun,0s,1,1,1,1,1,1,false
8,23:54:39:221,target,BB Gun,0s,1,1,1,1,1,1,false
9,23:54:39:517,target,BB Gun,0s,1,1,1,1,1,1,false
10,23:54:39:758,target,BB Gun,0.001s,1,1,1,1,1,1,false
11,23:54:40:087,target,BB Gun,0.002s,1,1,1,1,1,1,false
12,23:54:40:407,target,BB Gun,0.001s,1,1,1,1,1,1,false
13,23:54:40:629,target,BB Gun,0s,1,1,1,1,1,1,false
14,23:54:41:055,target,BB Gun,0.001s,1,1,1,1,1,1,false
15,23:54:41:281,target,BB Gun,0s,1,1,1,1,1,1,false
16,23:54:41:550,target,BB Gun,0s,1,1,1,1,1,1,false
17,23:54:41:860,target,BB Gun,0s,1,1,1,1,1,1,false
18,23:54:42:184,target,BB Gun,0s,1,1,1,1,1,1,false
19,23:54:42:458,target,BB Gun,0s,1,1,1,1,1,1,false
20,23:54:42:693,target,BB Gun,0s,1,1,1,1,1,1,false
21,23:54:43:504,target,BB Gun,0.37s,2,1,0.5,1,2,0.5,false
22,23:54:43:815,target,BB Gun,0s,1,1,1,1,1,1,false
23,23:54:44:088,target,BB Gun,0s,1,1,1,1,1,1,false
24,23:54:44:379,target,BB Gun,0s,1,1,1,1,1,1,false
25,23:54:44:635,target,BB Gun,0s,1,1,1,1,1,1,false
26,23:54:45:265,target,BB Gun,0.242s,2,1,0.5,1,2,0.5,false
27,23:54:45:631,target,BB Gun,0s,1,1,1,1,1,1,false
28,23:54:46:015,target,BB Gun,0s,1,1,1,1,1,1,false
29,23:54:46:326,target,BB Gun,0s,1,1,1,1,1,1,false
30,23:54:46:534,target,BB Gun,0s,1,1,1,1,1,1,false
31,23:54:46:937,target,BB Gun,0s,1,1,1,1,1,1,false
32,23:54:47:150,target,BB Gun,0s,1,1,1,1,1,1,false
33,23:54:47:493,target,BB Gun,0s,1,1,1,1,1,1,false
34,23:54:47:757,target,BB Gun,0.001s,1,1,1,1,1,1,false
35,23:54:48:042,target,BB Gun,0s,1,1,1,1,1,1,false
36,23:54:48:314,target,BB Gun,0s,1,1,1,1,1,1,false
37,23:54:49:000,target,BB Gun,0.403s,2,1,0.5,1,2,0.5,false
38,23:54:49:584,target,BB Gun,0.209s,2,1,0.5,1,2,0.5,false
39,23:54:49:936,target,BB Gun,0s,1,1,1,1,1,1,false
40,23:54:50:325,target,BB Gun,0s,1,1,1,1,1,1,false
41,23:54:50:571,target,BB Gun,0s,1,1,1,1,1,1,false
42,23:54:51:210,target,BB Gun,0.361s,2,1,0.5,1,2,0.5,false
43,23:54:51:427,target,BB Gun,0s,1,1,1,1,1,1,false
44,23:54:51:802,target,BB Gun,0s,1,1,1,1,1,1,false
45,23:54:52:173,target,BB Gun,0s,1,1,1,1,1,1,false
46,23:54:52:798,target,BB Gun,0.393s,2,1,0.5,1,2,0.5,false
47,23:54:53:142,target,BB Gun,0s,1,1,1,1,1,1,false
48,23:54:53:503,target,BB Gun,0s,1,1,1,1,1,1,false
49,23:54:53:822,target,BB Gun,0s,1,1,1,1,1,1,false
50,23:54:54:183,target,BB Gun,0s,1,1,1,1,1,1,false
51,23:54:54:664,target,BB Gun,0s,1,1,1,1,1,1,false
52,23:54:54:928,target,BB Gun,0s,1,1,1,1,1,1,false
53,23:54:55:276,target,BB Gun,0s,1,1,1,1,1,1,false
54,23:54:55:702,target,BB Gun,0s,1,1,1,1,1,1,false
55,23:54:56:286,target,BB Gun,0.311s,2,1,0.5,1,2,0.5,false
56,23:54:56:646,target,BB Gun,0s,1,1,1,1,1,1,false
57,23:54:57:194,target,BB Gun,0.242s,2,1,0.5,1,2,0.5,false
58,23:54:57:421,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,23:54:57:736,target,BB Gun,0s,1,1,1,1,1,1,false
60,23:54:58:022,target,BB Gun,0s,1,1,1,1,1,1,false
61,23:54:58:607,target,BB Gun,0.278s,2,1,0.5,1,2,0.5,false
62,23:54:58:834,target,BB Gun,0s,1,1,1,1,1,1,false
63,23:54:59:047,target,BB Gun,0s,1,1,1,1,1,1,false
64,23:54:59:287,target,BB Gun,0s,1,1,1,1,1,1,false
65,23:54:59:779,target,BB Gun,0s,1,1,1,1,1,1,false
66,23:55:00:344,target,BB Gun,0.293s,2,1,0.5,1,2,0.5,false
67,23:55:00:603,target,BB Gun,0s,1,1,1,1,1,1,false
68,23:55:00:951,target,BB Gun,0s,1,1,1,1,1,1,false
69,23:55:01:214,target,BB Gun,0s,1,1,1,1,1,1,false
70,23:55:01:455,target,BB Gun,0s,1,1,1,1,1,1,false
71,23:55:01:941,target,BB Gun,0s,1,1,1,1,1,1,false
72,23:55:02:182,target,BB Gun,0s,1,1,1,1,1,1,false
73,23:55:02:538,target,BB Gun,0s,1,1,1,1,1,1,false
74,23:55:03:057,target,BB Gun,0.329s,2,1,0.5,1,2,0.5,false
75,23:55:03:543,target,BB Gun,0.237s,2,1,0.5,1,2,0.5,false
76,23:55:03:752,target,BB Gun,0.001s,1,1,1,1,1,1,false
77,23:55:04:024,target,BB Gun,0s,1,1,1,1,1,1,false
78,23:55:04:354,target,BB Gun,0s,1,1,1,1,1,1,false
79,23:55:04:594,target,BB Gun,0.001s,1,1,1,1,1,1,false
80,23:55:04:808,target,BB Gun,0s,1,1,1,1,1,1,false
81,23:55:05:067,target,BB Gun,0s,1,1,1,1,1,1,false
82,23:55:05:572,target,BB Gun,0s,1,1,1,1,1,1,false
83,23:55:05:836,target,BB Gun,0s,1,1,1,1,1,1,false
84,23:55:06:026,target,BB Gun,0s,1,1,1,1,1,1,false
85,23:55:06:391,target,BB Gun,0s,1,1,1,1,1,1,false
86,23:55:06:809,target,BB Gun,0.001s,1,1,1,1,1,1,false
87,23:55:06:993,target,BB Gun,0s,1,1,1,1,1,1,false
88,23:55:07:633,target,BB Gun,0.232s,2,1,0.5,1,2,0.5,false
89,23:55:07:865,target,BB Gun,0s,1,1,1,1,1,1,false
