Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:46:11:011,target,pistol,0s,1,1,1,25,50,0.5,false
2,06:46:11:196,target,pistol,0s,1,1,1,25,50,0.5,false
3,06:46:11:433,target,pistol,0s,1,1,1,25,50,0.5,false
4,06:46:11:642,target,pistol,0s,1,1,1,25,50,0.5,false
5,06:46:12:041,target,pistol,0s,1,1,1,25,50,0.5,false
6,06:46:12:364,target,pistol,0.001s,1,1,1,25,50,0.5,false
7,06:46:12:595,target,pistol,0s,1,1,1,25,50,0.5,false
8,06:46:12:773,target,pistol,0s,1,1,1,25,50,0.5,false
9,06:46:13:033,target,pistol,0.001s,1,1,1,25,50,0.5,false
10,06:46:13:263,target,pistol,0s,1,1,1,25,50,0.5,false
11,06:46:13:468,target,pistol,0.001s,1,1,1,25,50,0.5,false
12,06:46:13:662,target,pistol,0s,1,1,1,25,50,0.5,false
13,06:46:13:905,target,pistol,0s,1,1,1,25,50,0.5,false
14,06:46:14:123,target,pistol,0s,1,1,1,25,50,0.5,false
15,06:46:14:325,target,pistol,0s,1,1,1,25,50,0.5,false
16,06:46:14:545,target,pistol,0s,1,1,1,25,50,0.5,false
17,06:46:14:750,target,pistol,0s,1,1,1,25,50,0.5,false
18,06:46:14:989,target,pistol,0s,1,1,1,25,50,0.5,false
19,06:46:15:184,target,pistol,0s,1,1,1,25,50,0.5,false
20,06:46:15:406,target,pistol,0s,1,1,1,25,50,0.5,false
21,06:46:15:682,target,pistol,0s,1,1,1,25,50,0.5,false
22,06:46:15:905,target,pistol,0s,1,1,1,25,50,0.5,false
23,06:46:16:167,target,pistol,0s,1,1,1,25,50,0.5,false
24,06:46:16:440,target,pistol,0s,1,1,1,25,50,0.5,false
25,06:46:16:717,target,pistol,0s,1,1,1,25,50,0.5,false
26,06:46:16:966,target,pistol,0s,1,1,1,25,50,0.5,false
27,06:46:17:168,target,pistol,0s,1,1,1,25,50,0.5,false
28,06:46:17:367,target,pistol,0s,1,1,1,25,50,0.5,false
29,06:46:17:555,target,pistol,0s,1,1,1,25,50,0.5,false
30,06:46:17:778,target,pistol,0s,1,1,1,25,50,0.5,false
31,06:46:18:358,target,pistol,0.342s,2,1,0.5,25,100,0.25,false
32,06:46:18:842,target,pistol,0.189s,2,1,0.5,25,100,0.25,false
33,06:46:19:185,target,pistol,0s,1,1,1,25,50,0.5,false
34,06:46:19:377,target,pistol,0s,1,1,1,25,50,0.5,false
35,06:46:19:563,target,pistol,0s,1,1,1,25,50,0.5,false
36,06:46:19:909,target,pistol,0s,1,1,1,25,50,0.5,false
37,06:46:20:221,target,pistol,0s,1,1,1,25,50,0.5,false
38,06:46:20:424,target,pistol,0s,1,1,1,25,50,0.5,false
39,06:46:20:636,target,pistol,0s,1,1,1,25,50,0.5,false
40,06:46:20:858,target,pistol,0s,1,1,1,25,50,0.5,false
41,06:46:21:064,target,pistol,0s,1,1,1,25,50,0.5,false
42,06:46:21:260,target,pistol,0s,1,1,1,25,50,0.5,false
43,06:46:21:484,target,pistol,0s,1,1,1,25,50,0.5,false
44,06:46:21:671,target,pistol,0s,1,1,1,25,50,0.5,false
45,06:46:21:874,target,pistol,0s,1,1,1,25,50,0.5,false
46,06:46:22:111,target,pistol,0s,1,1,1,25,50,0.5,false
47,06:46:22:298,target,pistol,0.001s,1,1,1,25,50,0.5,false
