Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:09:11:889,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,13:09:12:408,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
3,13:09:12:985,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
4,13:09:13:434,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,13:09:13:834,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,13:09:14:339,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,13:09:14:750,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
8,13:09:15:176,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,13:09:15:551,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
10,13:09:15:891,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
11,13:09:16:286,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,13:09:16:765,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
13,13:09:17:215,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,13:09:17:575,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,13:09:17:970,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,13:09:18:376,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,13:09:18:757,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,13:09:19:101,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,13:09:19:477,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,13:09:19:903,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
21,13:09:20:286,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
22,13:09:20:762,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
23,13:09:21:108,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
24,13:09:21:527,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
25,13:09:22:411,TileFrenzy Sphere,16ML9 - 080,0.448s,2,1,0.5,1,2,0.5,false
26,13:09:22:852,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
27,13:09:23:272,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
28,13:09:23:657,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
29,13:09:24:067,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
30,13:09:24:487,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
31,13:09:24:863,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
32,13:09:25:283,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,13:09:25:693,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
34,13:09:26:528,TileFrenzy Sphere,16ML9 - 080,0.305s,2,1,0.5,1,2,0.5,false
35,13:09:26:874,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
36,13:09:27:326,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
37,13:09:27:680,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
38,13:09:28:070,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
39,13:09:28:955,TileFrenzy Sphere,16ML9 - 080,0.446s,2,1,0.5,1,2,0.5,false
40,13:09:29:296,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
41,13:09:29:697,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
42,13:09:30:102,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
43,13:09:30:543,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
44,13:09:30:967,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
45,13:09:31:813,TileFrenzy Sphere,16ML9 - 080,0.39s,2,1,0.5,1,2,0.5,false
46,13:09:32:179,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
47,13:09:32:524,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
48,13:09:32:930,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
49,13:09:33:354,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
50,13:09:33:718,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
51,13:09:34:134,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
52,13:09:34:593,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
53,13:09:35:063,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
54,13:09:35:542,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
55,13:09:35:908,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
56,13:09:36:390,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
57,13:09:36:776,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
58,13:09:37:160,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
