Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:47:37:972,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,15:47:38:616,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,15:47:39:700,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,15:47:40:875,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,15:47:41:773,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,15:47:42:431,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,15:47:43:471,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,15:47:44:171,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,15:47:45:397,Pigeon,pistol,0.696s,2,1,0.5,50,250,0.2,false
10,15:47:47:971,Pigeon,pistol,1.515s,3,1,0.333,50,375,0.133,false
11,15:47:49:019,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
12,15:47:50:892,Pigeon,pistol,1.287s,2,1,0.5,50,250,0.2,false
13,15:47:51:524,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
14,15:47:53:200,Pigeon,pistol,1.119s,2,1,0.5,50,250,0.2,false
15,15:47:54:058,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,15:47:55:256,Pigeon,pistol,0.664s,2,1,0.5,50,250,0.2,false
17,15:47:56:438,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
18,15:47:59:081,Pigeon,pistol,1.963s,3,1,0.333,50,375,0.133,false
19,15:47:59:976,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,15:48:00:589,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,15:48:01:692,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,15:48:02:434,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,15:48:02:990,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,15:48:03:588,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,15:48:04:720,Pigeon,pistol,0.507s,2,1,0.5,50,250,0.2,false
26,15:48:05:391,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,15:48:07:540,Pigeon,pistol,1.546s,3,1,0.333,50,375,0.133,false
28,15:48:08:941,Pigeon,pistol,0.883s,2,1,0.5,50,250,0.2,false
29,15:48:10:338,Pigeon,pistol,0.542s,2,1,0.5,50,250,0.2,false
30,15:48:11:011,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
31,15:48:11:732,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,15:48:14:814,Pigeon,pistol,2.442s,4,1,0.25,50,500,0.1,false
33,15:48:15:890,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,15:48:17:172,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,15:48:18:102,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
36,15:48:20:351,Pigeon,pistol,1.545s,3,1,0.333,50,375,0.133,false
37,15:48:21:325,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,15:48:22:260,Pigeon,pistol,0.252s,2,1,0.5,50,250,0.2,false
39,15:48:22:900,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,15:48:24:905,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,15:48:26:908,Pigeon,pistol,1.224s,3,1,0.333,50,375,0.133,false
42,15:48:28:333,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,15:48:28:893,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,15:48:29:413,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,15:48:30:817,Pigeon,pistol,0.666s,2,1,0.5,50,250,0.2,false
46,15:48:31:449,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,15:48:32:206,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
48,15:48:33:700,Pigeon,pistol,0.731s,2,1,0.5,50,250,0.2,false
49,15:48:34:231,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
50,15:48:35:533,Pigeon,pistol,0.917s,3,1,0.333,50,375,0.133,false
51,15:48:36:582,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
52,15:48:37:809,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
53,15:48:39:294,Pigeon,pistol,0.714s,2,1,0.5,50,250,0.2,false
54,15:48:41:245,Pigeon,pistol,1.477s,4,1,0.25,50,500,0.1,false
55,15:48:42:035,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
56,15:48:43:071,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
57,15:48:43:739,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
58,15:48:44:649,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
59,15:48:45:927,Pigeon,pistol,0.695s,2,1,0.5,50,250,0.2,false
60,15:48:46:672,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
61,15:48:47:412,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,91,61,3050.0,11375.0,

Kills:,61
Deaths:,0
Fight Time:,21.391001
Avg TTK:,0.351
Damage Done:,3050.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,40.89011
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
