Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:25:30:384,Quaker Bot Long Strafes,LG,6.666s,146,50,0.342,300,876,0.342,false
2,20:25:36:464,Quaker Bot Long Strafes,LG,4.047s,89,50,0.562,300,534,0.562,false
3,20:25:43:258,Quaker Bot Long Strafes,LG,6.567s,107,50,0.467,300,642,0.467,false
4,20:25:50:823,Quaker Bot Long Strafes,LG,5.743s,126,50,0.397,300,756,0.397,false
5,20:25:57:791,Quaker Bot Long Strafes,LG,4.827s,106,50,0.472,300,636,0.472,false
6,20:26:05:192,Quaker Bot Long Strafes,LG,5.426s,119,50,0.42,300,714,0.42,false
7,20:26:12:973,Quaker Bot Long Strafes,LG,7.509s,125,50,0.4,300,750,0.4,false
8,20:26:19:166,Quaker Bot Long Strafes,LG,4.271s,94,50,0.532,300,564,0.532,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,956,414,2484.0,5736.0,

Kills:,8
Deaths:,0
Fight Time:,45.056
Avg TTK:,5.632
Damage Done:,2484.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3227.121338
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
