Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:23:17:708,Pigeon,LG,1.884s,42,17,0.405,102,252,0.405,false
2,13:23:20:933,Pigeon,LG,2.111s,47,17,0.362,102,282,0.362,false
3,13:23:23:306,Pigeon,LG,1.559s,35,17,0.486,102,210,0.486,false
4,13:23:26:113,Pigeon,LG,2.533s,47,17,0.362,102,282,0.362,false
5,13:23:27:980,Pigeon,LG,0.873s,20,17,0.85,102,120,0.85,false
6,13:23:30:034,Pigeon,LG,1.793s,40,17,0.425,102,240,0.425,false
7,13:23:33:175,Pigeon,LG,2.341s,52,17,0.327,102,312,0.327,false
8,13:23:36:055,Pigeon,LG,2.481s,55,17,0.309,102,330,0.309,false
9,13:23:39:157,Pigeon,LG,2.247s,50,17,0.34,102,300,0.34,false
10,13:23:41:751,Pigeon,LG,1.699s,38,17,0.447,102,228,0.447,false
11,13:23:44:131,Pigeon,LG,1.42s,32,17,0.531,102,192,0.531,false
12,13:23:46:705,Pigeon,LG,1.974s,44,17,0.386,102,264,0.386,false
13,13:23:49:646,Pigeon,LG,1.607s,36,17,0.472,102,216,0.472,false
14,13:23:52:507,Pigeon,LG,2.161s,48,17,0.354,102,288,0.354,false
15,13:23:56:027,Pigeon,LG,3.194s,64,17,0.266,102,384,0.266,false
16,13:23:58:408,Pigeon,LG,1.974s,44,17,0.386,102,264,0.386,false
17,13:24:00:628,Pigeon,LG,1.833s,41,17,0.415,102,246,0.415,false
18,13:24:05:048,Pigeon,LG,3.72s,82,17,0.207,102,492,0.207,false
19,13:24:07:983,Pigeon,LG,2.655s,45,17,0.378,102,270,0.378,false
20,13:24:10:364,Pigeon,LG,1.56s,35,17,0.486,102,210,0.486,false
21,13:24:13:444,Pigeon,LG,2.294s,51,17,0.333,102,306,0.333,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,949,357,2142.0,5694.0,

Kills:,21
Deaths:,0
Fight Time:,43.912998
Avg TTK:,2.091
Damage Done:,2142.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2142.0
Scenario:,LG Pin Practice 360
Hash:,1bd8936343724d18465795b9d93c8ac1
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
