Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:08:04:137,Pigeon5,pistol,20.89s,38,1,0.026,100,7600,0.013,false
2,00:08:06:128,Pigeon,pistol,1.823s,3,1,0.333,100,600,0.167,false
3,00:08:07:457,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
4,00:08:11:012,Pigeon,pistol,1.771s,4,1,0.25,100,800,0.125,false
5,00:08:22:889,Pigeon3,pistol,9.921s,18,1,0.056,100,3600,0.028,false
6,00:08:28:918,Pigeon3,pistol,4.615s,12,1,0.083,100,2400,0.042,false
7,00:08:35:920,Pigeon4,pistol,6.846s,10,1,0.1,100,2000,0.05,false
8,00:08:37:788,Pigeon2,pistol,1.657s,3,1,0.333,100,600,0.167,false
9,00:08:39:562,Pigeon3,pistol,0.348s,3,1,0.333,100,600,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,92,9,900.0,18400.0,
LG,0,0,0.0,0.0,

Kills:,9
Deaths:,0
Fight Time:,47.870998
Avg TTK:,5.319
Damage Done:,900.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,96.847824
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
