Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:22:27:209,Pigeon4,pistol,3.302s,3,1,0.333,100,600,0.167,false
2,23:22:43:949,Pigeon3,pistol,15.941s,9,1,0.111,100,1800,0.056,false
3,23:22:47:664,Pigeon4,pistol,2.731s,3,1,0.333,100,600,0.167,false
4,23:22:53:713,Pigeon3,pistol,5.079s,4,1,0.25,100,800,0.125,false
5,23:22:57:532,Pigeon3,pistol,2.61s,3,1,0.333,100,600,0.167,false
6,23:23:07:485,Pigeon4,pistol,8.457s,5,1,0.2,100,1000,0.1,false
7,23:23:08:892,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,34,7,700.0,6800.0,

Kills:,7
Deaths:,0
Fight Time:,38.119999
Avg TTK:,5.446
Damage Done:,700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,70.0
Scenario:,Popcorn Sparky
Hash:,49dbf5ac7aeb2cf0c06533f2384ff4de
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,216.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
