Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:49:30:819,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
2,01:49:32:017,Balloon,Pressure BB Gun,0.653s,2,1,0.5,2,4,0.5,false
3,01:49:32:432,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
4,01:49:32:869,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
5,01:49:33:279,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
6,01:49:33:526,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
7,01:49:33:796,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
8,01:49:34:365,Balloon,Pressure BB Gun,0.411s,2,1,0.5,2,4,0.5,false
9,01:49:34:570,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
10,01:49:35:015,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
11,01:49:35:270,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
12,01:49:35:807,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
13,01:49:36:340,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
14,01:49:36:822,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
15,01:49:37:287,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
16,01:49:37:706,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
17,01:49:38:243,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
18,01:49:38:565,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
19,01:49:39:043,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
20,01:49:39:369,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
21,01:49:39:826,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
22,01:49:40:701,Balloon,Pressure BB Gun,0.546s,2,1,0.5,2,4,0.5,false
23,01:49:41:191,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
24,01:49:41:616,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
25,01:49:42:476,Balloon,Pressure BB Gun,0.451s,2,1,0.5,2,4,0.5,false
26,01:49:42:877,Balloon,Pressure BB Gun,0.207s,2,1,0.5,2,4,0.5,false
27,01:49:43:045,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
28,01:49:43:717,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
29,01:49:44:101,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
30,01:49:44:555,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
31,01:49:45:017,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
32,01:49:45:451,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
33,01:49:45:846,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
34,01:49:46:216,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
35,01:49:46:610,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
36,01:49:47:280,Balloon,Pressure BB Gun,0.234s,2,1,0.5,2,4,0.5,false
37,01:49:47:627,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
38,01:49:48:135,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
39,01:49:48:673,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
40,01:49:48:867,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
41,01:49:49:369,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
42,01:49:50:633,Balloon,Pressure BB Gun,0.71s,3,1,0.333,2,6,0.333,false
43,01:49:51:028,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
44,01:49:51:757,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
45,01:49:52:268,Balloon,Pressure BB Gun,0.277s,2,1,0.5,2,4,0.5,false
46,01:49:52:446,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
47,01:49:52:724,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
48,01:49:53:756,Balloon,Pressure BB Gun,0.434s,2,1,0.5,2,4,0.5,false
49,01:49:54:031,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
50,01:49:54:449,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
51,01:49:54:893,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
52,01:49:55:048,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
53,01:49:56:198,Balloon,Pressure BB Gun,0.475s,2,1,0.5,2,4,0.5,false
54,01:49:56:688,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
55,01:49:57:061,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
56,01:49:57:559,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
57,01:49:57:699,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
58,01:49:58:096,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
59,01:49:58:979,Balloon,Pressure BB Gun,0.69s,3,1,0.333,2,6,0.333,false
60,01:49:59:494,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
61,01:50:00:000,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
62,01:50:00:576,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
63,01:50:01:128,Balloon,Pressure BB Gun,0.412s,2,1,0.5,2,4,0.5,false
64,01:50:01:287,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
65,01:50:01:696,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
66,01:50:02:089,Balloon,Pressure BB Gun,0.204s,2,1,0.5,2,4,0.5,false
67,01:50:02:700,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
68,01:50:03:077,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
69,01:50:04:141,Balloon,Pressure BB Gun,0.825s,3,1,0.333,2,6,0.333,false
70,01:50:04:371,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
71,01:50:04:995,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
72,01:50:05:366,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
73,01:50:05:781,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
74,01:50:05:928,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
75,01:50:06:426,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
76,01:50:06:849,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
77,01:50:07:223,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
78,01:50:07:382,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
79,01:50:07:877,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
80,01:50:08:373,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
81,01:50:09:413,Balloon,Pressure BB Gun,0.53s,2,1,0.5,2,4,0.5,false
82,01:50:09:825,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
83,01:50:10:377,Balloon,Pressure BB Gun,0.404s,2,1,0.5,2,4,0.5,false
84,01:50:10:772,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
85,01:50:11:689,Balloon,Pressure BB Gun,0.444s,2,1,0.5,2,4,0.5,false
86,01:50:11:885,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
87,01:50:12:089,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
88,01:50:12:747,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
89,01:50:12:919,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
90,01:50:13:335,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
91,01:50:13:753,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
92,01:50:14:674,Balloon,Pressure BB Gun,0.353s,2,1,0.5,2,4,0.5,false
93,01:50:15:040,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
94,01:50:15:334,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
95,01:50:16:177,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
96,01:50:16:664,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
97,01:50:16:847,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
98,01:50:16:999,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
99,01:50:17:618,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
100,01:50:18:082,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
101,01:50:18:511,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
102,01:50:18:715,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
103,01:50:19:134,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
104,01:50:19:641,Balloon,Pressure BB Gun,0.32s,2,1,0.5,2,4,0.5,false
105,01:50:20:105,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
106,01:50:20:672,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
107,01:50:21:325,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
108,01:50:21:723,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
109,01:50:22:790,Balloon,Pressure BB Gun,0.86s,3,1,0.333,2,6,0.333,false
110,01:50:23:045,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
111,01:50:23:490,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
112,01:50:23:909,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
113,01:50:24:059,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
114,01:50:24:514,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
115,01:50:25:361,Balloon,Pressure BB Gun,0.561s,2,1,0.5,2,4,0.5,false
116,01:50:25:829,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
117,01:50:26:662,Balloon,Pressure BB Gun,0.458s,2,1,0.5,2,4,0.5,false
118,01:50:27:099,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
119,01:50:27:656,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
120,01:50:27:984,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
121,01:50:28:515,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
122,01:50:29:456,Balloon,Pressure BB Gun,0.805s,4,1,0.25,2,8,0.25,false
123,01:50:30:278,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
124,01:50:30:796,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
125,01:50:31:261,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
126,01:50:31:817,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
127,01:50:32:034,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
128,01:50:32:486,Balloon,Pressure BB Gun,0.186s,2,1,0.5,2,4,0.5,false
129,01:50:32:994,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
130,01:50:33:346,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
131,01:50:33:642,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
132,01:50:34:132,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
133,01:50:34:679,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
134,01:50:35:242,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
135,01:50:35:694,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
136,01:50:35:969,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
137,01:50:36:366,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
138,01:50:36:826,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
139,01:50:37:304,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
140,01:50:37:739,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
141,01:50:38:133,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
142,01:50:38:954,Balloon,Pressure BB Gun,0.406s,2,1,0.5,2,4,0.5,false
143,01:50:39:412,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
144,01:50:39:783,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
145,01:50:40:138,Balloon,Pressure BB Gun,0.185s,2,1,0.5,2,4,0.5,false
146,01:50:40:584,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
147,01:50:41:183,Balloon,Pressure BB Gun,0.151s,2,1,0.5,2,4,0.5,false
148,01:50:41:632,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
149,01:50:42:139,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
150,01:50:42:493,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
151,01:50:42:983,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
152,01:50:43:876,Balloon,Pressure BB Gun,0.227s,2,1,0.5,2,4,0.5,false
153,01:50:44:507,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
154,01:50:44:733,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
155,01:50:45:244,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
156,01:50:45:463,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
157,01:50:45:915,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
158,01:50:46:426,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
159,01:50:47:658,Balloon,Pressure BB Gun,0.65s,2,1,0.5,2,4,0.5,false
160,01:50:48:039,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
161,01:50:48:335,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
162,01:50:48:743,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
163,01:50:49:243,Balloon,Pressure BB Gun,0.211s,2,1,0.5,2,4,0.5,false
164,01:50:49:599,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
165,01:50:50:212,Balloon,Pressure BB Gun,0.18s,2,1,0.5,2,4,0.5,false
166,01:50:50:701,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
167,01:50:51:625,Balloon,Pressure BB Gun,0.482s,2,1,0.5,2,4,0.5,false
168,01:50:52:102,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
169,01:50:52:669,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
