Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:59:54:184,target_decay,pistol,0.915s,2,1,0.5,25,100,0.25,false
2,00:59:55:804,target_decay,pistol,0.867s,2,1,0.5,25,100,0.25,false
3,01:00:00:067,target_decay,pistol,3.521s,5,1,0.2,25,250,0.1,false
4,01:00:02:564,target_decay,pistol,1.804s,3,1,0.333,25,150,0.167,false
5,01:00:06:905,target_decay,pistol,3.571s,5,1,0.2,25,250,0.1,false
6,01:00:08:443,target_decay,pistol,0.793s,2,1,0.5,25,100,0.25,false
7,01:00:11:843,target_decay,pistol,2.621s,4,1,0.25,25,200,0.125,false
8,01:00:16:110,target_decay,pistol,3.546s,5,1,0.2,25,250,0.1,false
9,01:00:19:470,target_decay,pistol,2.613s,4,1,0.25,25,200,0.125,false
10,01:00:22:804,target_decay,pistol,2.544s,4,1,0.25,25,200,0.125,false
11,01:00:28:952,target_decay,pistol,5.395s,7,1,0.143,25,350,0.071,false
12,01:00:29:703,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,01:00:33:064,target_decay,pistol,2.624s,4,1,0.25,25,200,0.125,false
14,01:00:33:800,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,01:00:34:512,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,01:00:38:733,target_decay,pistol,3.566s,6,1,0.167,25,300,0.083,false
17,01:00:40:329,target_decay,pistol,0.843s,2,1,0.5,25,100,0.25,false
18,01:00:42:870,target_decay,pistol,1.826s,3,1,0.333,25,150,0.167,false
19,01:00:48:037,target_decay,pistol,4.466s,6,1,0.167,25,300,0.083,false
20,01:00:52:324,target_decay,pistol,3.591s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,20,500.0,3600.0,

Kills:,20
Deaths:,0
Fight Time:,45.105999
Avg TTK:,2.255
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,555.555603
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
