Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:45:45:609,Quaker Bot Hard,LG,6.113s,134,50,0.373,300,804,0.373,false
2,18:45:55:273,Quaker Bot Hard,LG,7.22s,158,50,0.316,300,948,0.316,false
3,18:46:03:176,Quaker Bot Hard,LG,5.47s,120,50,0.417,300,720,0.417,false
4,18:46:11:740,Quaker Bot Hard,LG,5.838s,128,50,0.391,300,768,0.391,false
5,18:46:18:791,Quaker Bot Hard,LG,4.643s,102,50,0.49,300,612,0.49,false
6,18:46:27:081,Quaker Bot Hard,LG,5.838s,128,50,0.391,300,768,0.391,false
7,18:46:36:824,Quaker Bot Hard,LG,7.219s,158,50,0.316,300,948,0.316,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,928,350,2100.0,5568.0,

Kills:,7
Deaths:,0
Fight Time:,42.341
Avg TTK:,6.049
Damage Done:,2100.0
Damage Taken:,2460.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,1122.130981
Score:,1912.176758
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
