Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:44:54:553,Quaker Bot Hard,LG,4.784s,105,50,0.476,300,630,0.476,false
2,00:45:02:139,Quaker Bot Hard,LG,7.325s,115,50,0.435,300,690,0.435,false
3,00:45:10:700,Quaker Bot Hard,LG,5.933s,130,50,0.385,300,780,0.385,false
4,00:45:17:827,Quaker Bot Hard,LG,4.55s,100,50,0.5,300,600,0.5,false
5,00:45:25:081,Quaker Bot Hard,LG,4.462s,98,50,0.51,300,588,0.51,false
6,00:45:33:758,Quaker Bot Hard,LG,6.162s,135,50,0.37,300,810,0.37,false
7,00:45:41:416,Quaker Bot Hard,LG,7.381s,109,50,0.459,300,654,0.459,false
8,00:45:48:750,Quaker Bot Hard,LG,4.737s,104,50,0.481,300,624,0.481,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,897,400,2400.0,5382.0,

Kills:,8
Deaths:,0
Fight Time:,45.334
Avg TTK:,5.667
Damage Done:,2400.0
Damage Taken:,2592.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,1183.380493
Score:,2632.775879
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
