Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:21:31:080,Quaker Bot Hard,LG,7.452s,163,50,0.307,300,978,0.307,false
2,09:21:38:370,Quaker Bot Hard,LG,4.83s,106,50,0.472,300,636,0.472,false
3,09:21:46:649,Quaker Bot Hard,LG,8.004s,128,50,0.391,300,768,0.391,false
4,09:21:56:093,Quaker Bot Hard,LG,7.037s,154,50,0.325,300,924,0.325,false
5,09:22:05:001,Quaker Bot Hard,LG,6.392s,140,50,0.357,300,840,0.357,false
6,09:22:14:141,Quaker Bot Hard,LG,8.936s,146,50,0.342,300,876,0.342,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,976,341,2046.0,5856.0,

Kills:,6
Deaths:,0
Fight Time:,42.651001
Avg TTK:,7.109
Damage Done:,2046.0
Damage Taken:,2544.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,644.605652
Score:,1700.108521
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
