Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:06:13:537,target,BB Gun,0s,1,1,1,1,1,1,false
2,22:06:14:255,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,22:06:15:309,target,BB Gun,0.87s,2,1,0.5,1,2,0.5,false
4,22:06:15:501,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
5,22:06:16:276,target,BB Gun,0s,1,1,1,1,1,1,false
6,22:06:17:390,target,BB Gun,0.858s,2,1,0.5,1,2,0.5,false
7,22:06:17:561,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
8,22:06:18:336,target,BB Gun,0s,1,1,1,1,1,1,false
9,22:06:19:428,target,BB Gun,0.927s,2,1,0.5,1,2,0.5,false
10,22:06:20:619,target,BB Gun,1.008s,2,1,0.5,1,2,0.5,false
11,22:06:20:840,500ms,BB Gun,0s,1,1,1,1,1,1,false
12,22:06:21:695,target,BB Gun,0s,1,1,1,1,1,1,false
13,22:06:21:874,500ms,BB Gun,0s,1,1,1,1,1,1,false
14,22:06:22:647,target,BB Gun,0s,1,1,1,1,1,1,false
15,22:06:22:799,500ms,BB Gun,0s,1,1,1,1,1,1,false
16,22:06:23:665,target,BB Gun,0s,1,1,1,1,1,1,false
17,22:06:24:718,target,BB Gun,0.907s,2,1,0.5,1,2,0.5,false
18,22:06:24:894,500ms,BB Gun,0s,1,1,1,1,1,1,false
19,22:06:25:662,target,BB Gun,0.001s,1,1,1,1,1,1,false
20,22:06:25:866,500ms,BB Gun,0s,1,1,1,1,1,1,false
21,22:06:26:614,target,BB Gun,0s,1,1,1,1,1,1,false
22,22:06:26:842,500ms,BB Gun,0s,1,1,1,1,1,1,false
23,22:06:27:614,target,BB Gun,0s,1,1,1,1,1,1,false
24,22:06:28:693,target,BB Gun,0.855s,2,1,0.5,1,2,0.5,false
25,22:06:28:922,500ms,BB Gun,0s,1,1,1,1,1,1,false
26,22:06:29:746,target,BB Gun,0s,1,1,1,1,1,1,false
27,22:06:29:918,500ms,BB Gun,0s,1,1,1,1,1,1,false
28,22:06:30:672,target,BB Gun,0s,1,1,1,1,1,1,false
29,22:06:30:882,500ms,BB Gun,0s,1,1,1,1,1,1,false
30,22:06:31:642,target,BB Gun,0s,1,1,1,1,1,1,false
31,22:06:31:775,500ms,BB Gun,0s,1,1,1,1,1,1,false
32,22:06:32:540,target,BB Gun,0s,1,1,1,1,1,1,false
33,22:06:32:699,500ms,BB Gun,0s,1,1,1,1,1,1,false
34,22:06:33:488,target,BB Gun,0s,1,1,1,1,1,1,false
35,22:06:33:667,500ms,BB Gun,0s,1,1,1,1,1,1,false
36,22:06:34:359,target,BB Gun,0.001s,1,1,1,1,1,1,false
37,22:06:34:583,500ms,BB Gun,0s,1,1,1,1,1,1,false
38,22:06:35:346,target,BB Gun,0s,1,1,1,1,1,1,false
39,22:06:36:470,target,BB Gun,0.918s,2,1,0.5,1,2,0.5,false
40,22:06:36:636,500ms,BB Gun,0s,1,1,1,1,1,1,false
41,22:06:37:364,target,BB Gun,0s,1,1,1,1,1,1,false
42,22:06:38:407,target,BB Gun,0.832s,2,1,0.5,1,2,0.5,false
43,22:06:39:506,target,BB Gun,0.838s,2,1,0.5,1,2,0.5,false
44,22:06:40:804,target,BB Gun,1.058s,2,1,0.5,1,2,0.5,false
45,22:06:41:031,500ms,BB Gun,0s,1,1,1,1,1,1,false
46,22:06:41:892,target,BB Gun,0s,1,1,1,1,1,1,false
47,22:06:43:018,target,BB Gun,0.971s,2,1,0.5,1,2,0.5,false
48,22:06:44:088,target,BB Gun,0.838s,2,1,0.5,1,2,0.5,false
49,22:06:45:273,target,BB Gun,0.973s,2,1,0.5,1,2,0.5,false
50,22:06:46:438,target,BB Gun,0.957s,2,1,0.5,1,2,0.5,false
51,22:06:46:617,500ms,BB Gun,0s,1,1,1,1,1,1,false
52,22:06:47:451,target,BB Gun,0s,1,1,1,1,1,1,false
53,22:06:47:682,500ms,BB Gun,0s,1,1,1,1,1,1,false
54,22:06:48:495,target,BB Gun,0.001s,1,1,1,1,1,1,false
55,22:06:48:679,500ms,BB Gun,0s,1,1,1,1,1,1,false
56,22:06:49:434,target,BB Gun,0.001s,1,1,1,1,1,1,false
57,22:06:49:638,500ms,BB Gun,0s,1,1,1,1,1,1,false
58,22:06:50:462,target,BB Gun,0s,1,1,1,1,1,1,false
59,22:06:51:579,target,BB Gun,0.924s,2,1,0.5,1,2,0.5,false
60,22:06:51:810,500ms,BB Gun,0s,1,1,1,1,1,1,false
61,22:06:52:589,target,BB Gun,0s,1,1,1,1,1,1,false
62,22:06:52:815,500ms,BB Gun,0s,1,1,1,1,1,1,false
63,22:06:53:633,target,BB Gun,0s,1,1,1,1,1,1,false
64,22:06:53:793,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
65,22:06:54:566,target,BB Gun,0s,1,1,1,1,1,1,false
66,22:06:54:770,500ms,BB Gun,0s,1,1,1,1,1,1,false
67,22:06:55:564,target,BB Gun,0s,1,1,1,1,1,1,false
68,22:06:55:768,500ms,BB Gun,0s,1,1,1,1,1,1,false
69,22:06:56:604,target,BB Gun,0s,1,1,1,1,1,1,false
70,22:06:57:709,target,BB Gun,0.834s,2,1,0.5,1,2,0.5,false
71,22:06:57:920,500ms,BB Gun,0s,1,1,1,1,1,1,false
72,22:06:58:707,target,BB Gun,0s,1,1,1,1,1,1,false
73,22:06:58:946,500ms,BB Gun,0s,1,1,1,1,1,1,false
74,22:06:59:748,target,BB Gun,0s,1,1,1,1,1,1,false
75,22:06:59:911,500ms,BB Gun,0s,1,1,1,1,1,1,false
76,22:07:00:713,target,BB Gun,0s,1,1,1,1,1,1,false
77,22:07:00:890,500ms,BB Gun,0s,1,1,1,1,1,1,false
78,22:07:01:636,target,BB Gun,0.001s,1,1,1,1,1,1,false
79,22:07:01:867,500ms,BB Gun,0s,1,1,1,1,1,1,false
80,22:07:02:672,target,BB Gun,0s,1,1,1,1,1,1,false
81,22:07:03:766,target,BB Gun,0.869s,2,1,0.5,1,2,0.5,false
82,22:07:04:974,target,BB Gun,0.991s,2,1,0.5,1,2,0.5,false
83,22:07:06:120,target,BB Gun,0.926s,2,1,0.5,1,2,0.5,false
84,22:07:07:659,target,BB Gun,1.376s,2,1,0.5,1,2,0.5,false
85,22:07:08:494,target,BB Gun,0.673s,2,1,0.5,1,2,0.5,false
86,22:07:09:620,target,BB Gun,0.929s,2,1,0.5,1,2,0.5,false
87,22:07:10:801,target,BB Gun,0.992s,2,1,0.5,1,2,0.5,false
88,22:07:11:021,500ms,BB Gun,0s,1,1,1,1,1,1,false
89,22:07:11:781,target,BB Gun,0.001s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,113,89,89.0,113.0,

Kills:,89
Deaths:,0
Fight Time:,21.334
Avg TTK:,0.24
Damage Done:,89.0
Damage Taken:,25.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,64.0
Scenario:,Target Acquisition Flick Easy
Hash:,41a7aeac254747ac7689972dec3e4c36
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
