Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:50:15:478,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
2,23:50:16:528,Quaker Bot Long Strafes,MG,0.487s,80,40,0.5,80,160,0.5,false
3,23:50:17:552,Quaker Bot Long Strafes,MG,0.488s,80,40,0.5,80,160,0.5,false
4,23:50:19:454,Quaker Bot Long Strafes,MG,1.189s,90,40,0.444,80,180,0.444,false
5,23:50:20:322,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
6,23:50:21:454,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
7,23:50:22:827,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
8,23:50:24:052,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
9,23:50:25:509,Quaker Bot Long Strafes,MG,1.199s,60,40,0.667,80,120,0.667,false
10,23:50:26:286,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
11,23:50:28:072,Quaker Bot Long Strafes,MG,1.036s,100,40,0.4,80,200,0.4,false
12,23:50:28:889,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
13,23:50:29:967,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
14,23:50:30:658,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
15,23:50:31:891,Quaker Bot Long Strafes,MG,0.49s,80,40,0.5,80,160,0.5,false
16,23:50:32:903,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
17,23:50:34:125,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
18,23:50:34:947,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
19,23:50:35:994,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
20,23:50:37:027,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
21,23:50:38:094,Quaker Bot Long Strafes,MG,0.488s,80,40,0.5,80,160,0.5,false
22,23:50:39:040,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
23,23:50:41:205,Quaker Bot Long Strafes,MG,1.59s,120,40,0.333,80,240,0.333,false
24,23:50:42:132,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,70,120,0.583,false
25,23:50:42:921,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
