Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:14:09.284,target,pistol,0s,1,1,1,25,50,0.5,false
2,21:14:09.772,target,pistol,0.001s,1,1,1,25,50,0.5,false
3,21:14:10.241,target,pistol,0s,1,1,1,25,50,0.5,false
4,21:14:10.578,target,pistol,0s,1,1,1,25,50,0.5,false
5,21:14:11.063,target,pistol,0s,1,1,1,25,50,0.5,false
6,21:14:11.951,target,pistol,0.435s,2,1,0.5,25,100,0.25,false
7,21:14:12.662,target,pistol,0.264s,2,1,0.5,25,100,0.25,false
8,21:14:13.023,target,pistol,0s,1,1,1,25,50,0.5,false
9,21:14:13.426,target,pistol,0s,1,1,1,25,50,0.5,false
10,21:14:13.784,target,pistol,0s,1,1,1,25,50,0.5,false
11,21:14:14.172,target,pistol,0s,1,1,1,25,50,0.5,false
12,21:14:14.566,target,pistol,0s,1,1,1,25,50,0.5,false
13,21:14:14.982,target,pistol,0.001s,1,1,1,25,50,0.5,false
14,21:14:15.369,target,pistol,0s,1,1,1,25,50,0.5,false
15,21:14:16.286,target,pistol,0.447s,2,1,0.5,25,100,0.25,false
16,21:14:16.731,target,pistol,0s,1,1,1,25,50,0.5,false
17,21:14:17.095,target,pistol,0.001s,1,1,1,25,50,0.5,false
18,21:14:17.443,target,pistol,0s,1,1,1,25,50,0.5,false
19,21:14:17.863,target,pistol,0.001s,1,1,1,25,50,0.5,false
20,21:14:18.298,target,pistol,0s,1,1,1,25,50,0.5,false
21,21:14:18.735,target,pistol,0s,1,1,1,25,50,0.5,false
22,21:14:19.157,target,pistol,0s,1,1,1,25,50,0.5,false
23,21:14:19.527,target,pistol,0s,1,1,1,25,50,0.5,false
24,21:14:19.950,target,pistol,0s,1,1,1,25,50,0.5,false
25,21:14:20.351,target,pistol,0s,1,1,1,25,50,0.5,false
26,21:14:20.778,target,pistol,0s,1,1,1,25,50,0.5,false
27,21:14:21.156,target,pistol,0s,1,1,1,25,50,0.5,false
28,21:14:22.102,target,pistol,0.469s,2,1,0.5,25,100,0.25,false
29,21:14:22.439,target,pistol,0s,1,1,1,25,50,0.5,false
30,21:14:22.850,target,pistol,0s,1,1,1,25,50,0.5,false
31,21:14:23.204,target,pistol,0s,1,1,1,25,50,0.5,false
32,21:14:23.572,target,pistol,0s,1,1,1,25,50,0.5,false
33,21:14:23.980,target,pistol,0s,1,1,1,25,50,0.5,false
34,21:14:24.395,target,pistol,0s,1,1,1,25,50,0.5,false
35,21:14:24.985,target,pistol,0.178s,2,1,0.5,25,100,0.25,false
36,21:14:25.486,target,pistol,0s,1,1,1,25,50,0.5,false
37,21:14:25.906,target,pistol,0.001s,1,1,1,25,50,0.5,false
38,21:14:26.620,target,pistol,0.25s,2,1,0.5,25,100,0.25,false
39,21:14:27.070,target,pistol,0s,1,1,1,25,50,0.5,false
40,21:14:27.454,target,pistol,0s,1,1,1,25,50,0.5,false
41,21:14:27.852,target,pistol,0s,1,1,1,25,50,0.5,false
42,21:14:28.223,target,pistol,0s,1,1,1,25,50,0.5,false
43,21:14:28.673,target,pistol,0s,1,1,1,25,50,0.5,false
44,21:14:29.573,target,pistol,0.444s,2,1,0.5,25,100,0.25,false
45,21:14:30.963,target,pistol,0.972s,3,1,0.333,25,150,0.167,false
46,21:14:31.407,target,pistol,0s,1,1,1,25,50,0.5,false
47,21:14:31.841,target,pistol,0s,1,1,1,25,50,0.5,false
48,21:14:32.218,target,pistol,0s,1,1,1,25,50,0.5,false
49,21:14:32.641,target,pistol,0s,1,1,1,25,50,0.5,false
50,21:14:33.420,target,pistol,0.391s,2,1,0.5,25,100,0.25,false
51,21:14:33.888,target,pistol,0s,1,1,1,25,50,0.5,false
52,21:14:34.290,target,pistol,0s,1,1,1,25,50,0.5,false
53,21:14:34.682,target,pistol,0s,1,1,1,25,50,0.5,false
54,21:14:35.472,target,pistol,0.39s,2,1,0.5,25,100,0.25,false
55,21:14:35.858,target,pistol,0s,1,1,1,25,50,0.5,false
56,21:14:36.262,target,pistol,0s,1,1,1,25,50,0.5,false
57,21:14:36.641,target,pistol,0s,1,1,1,25,50,0.5,false
58,21:14:36.983,target,pistol,0.001s,1,1,1,25,50,0.5,false
59,21:14:37.374,target,pistol,0s,1,1,1,25,50,0.5,false
60,21:14:38.251,target,pistol,0.478s,2,1,0.5,25,100,0.25,false
61,21:14:38.677,target,pistol,0.001s,1,1,1,25,50,0.5,false
62,21:14:39.547,target,pistol,0.505s,2,1,0.5,25,100,0.25,false
63,21:14:39.916,target,pistol,0s,1,1,1,25,50,0.5,false
64,21:14:40.259,target,pistol,0s,1,1,1,25,50,0.5,false
65,21:14:41.100,target,pistol,0.417s,2,1,0.5,25,100,0.25,false
66,21:14:41.459,target,pistol,0s,1,1,1,25,50,0.5,false
67,21:14:42.294,target,pistol,0.408s,2,1,0.5,25,100,0.25,false
68,21:14:43.044,target,pistol,0.361s,2,1,0.5,25,100,0.25,false
69,21:14:43.397,target,pistol,0.001s,1,1,1,25,50,0.5,false
70,21:14:43.794,target,pistol,0s,1,1,1,25,50,0.5,false
71,21:14:44.965,target,pistol,0.764s,3,1,0.333,25,150,0.167,false
72,21:14:45.317,target,pistol,0s,1,1,1,25,50,0.5,false
73,21:14:45.758,target,pistol,0s,1,1,1,25,50,0.5,false
74,21:14:46.175,target,pistol,0s,1,1,1,25,50,0.5,false
75,21:14:46.582,target,pistol,0.001s,1,1,1,25,50,0.5,false
76,21:14:47.430,target,pistol,0.412s,2,1,0.5,25,100,0.25,false
77,21:14:47.825,target,pistol,0.001s,1,1,1,25,50,0.5,false
78,21:14:48.205,target,pistol,0s,1,1,1,25,50,0.5,false
79,21:14:48.590,target,pistol,0s,1,1,1,25,50,0.5,false
80,21:14:48.985,target,pistol,0s,1,1,1,25,50,0.5,false
81,21:14:49.602,target,pistol,0.267s,2,1,0.5,25,100,0.25,false
82,21:14:49.976,target,pistol,0s,1,1,1,25,50,0.5,false
83,21:14:50.336,target,pistol,0s,1,1,1,25,50,0.5,false
84,21:14:50.817,target,pistol,0s,1,1,1,25,50,0.5,false
85,21:14:51.337,target,pistol,0s,1,1,1,25,50,0.5,false
86,21:14:51.745,target,pistol,0.001s,1,1,1,25,50,0.5,false
87,21:14:52.116,target,pistol,0s,1,1,1,25,50,0.5,false
88,21:14:52.481,target,pistol,0s,1,1,1,25,50,0.5,false
89,21:14:53.616,target,pistol,0.789s,3,1,0.333,25,150,0.167,false
90,21:14:54.000,target,pistol,0s,1,1,1,25,50,0.5,false
91,21:14:54.387,target,pistol,0s,1,1,1,25,50,0.5,false
92,21:14:54.836,target,pistol,0s,1,1,1,25,50,0.5,false
93,21:14:55.309,target,pistol,0s,1,1,1,25,50,0.5,false
94,21:14:55.650,target,pistol,0s,1,1,1,25,50,0.5,false
95,21:14:56.853,target,pistol,0.873s,3,1,0.333,25,150,0.167,false
96,21:14:57.695,target,pistol,0.406s,2,1,0.5,25,100,0.25,false
97,21:14:58.076,target,pistol,0s,1,1,1,25,50,0.5,false
98,21:14:58.447,target,pistol,0.001s,1,1,1,25,50,0.5,false
99,21:14:58.822,target,pistol,0s,1,1,1,25,50,0.5,false
100,21:14:59.200,target,pistol,0s,1,1,1,25,50,0.5,false
101,21:14:59.574,target,pistol,0s,1,1,1,25,50,0.5,false
102,21:14:59.973,target,pistol,0.001s,1,1,1,25,50,0.5,false
103,21:15:01.100,target,pistol,0.782s,3,1,0.333,25,150,0.167,false
104,21:15:01.493,target,pistol,0s,1,1,1,25,50,0.5,false
105,21:15:01.893,target,pistol,0s,1,1,1,25,50,0.5,false
106,21:15:02.259,target,pistol,0s,1,1,1,25,50,0.5,false
107,21:15:02.836,target,pistol,0.206s,2,1,0.5,25,100,0.25,false
108,21:15:03.217,target,pistol,0s,1,1,1,25,50,0.5,false
109,21:15:03.620,target,pistol,0s,1,1,1,25,50,0.5,false
110,21:15:04.404,target,pistol,0.424s,2,1,0.5,25,100,0.25,false
111,21:15:04.759,target,pistol,0.001s,1,1,1,25,50,0.5,false
112,21:15:05.161,target,pistol,0.001s,1,1,1,25,50,0.5,false
113,21:15:05.547,target,pistol,0s,1,1,1,25,50,0.5,false
114,21:15:05.899,target,pistol,0s,1,1,1,25,50,0.5,false
115,21:15:06.253,target,pistol,0s,1,1,1,25,50,0.5,false
116,21:15:06.665,target,pistol,0s,1,1,1,25,50,0.5,false
117,21:15:07.604,target,pistol,0.437s,2,1,0.5,25,100,0.25,false
118,21:15:08.093,target,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,148,118,2950.0,7400.0,

Kills:,118
Deaths:,0
Fight Time:,11.785
Avg TTK:,0.508
Damage Done:,2950.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,118.0
Scenario:,1w2tes Micro++
Hash:,5441ff99f32d0cbcc5b46cce450e1f83
Game Version:,v2.8.6
Challenge Start:,21:14:08.485
Pause Count:,47
Pause Duration:,166

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,295.057861
Resolution Scale,100.0
