Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:34:07.386,target,pistol,0s,1,1,1,25,50,0.5,false
2,23:34:07.868,target,pistol,0s,1,1,1,25,50,0.5,false
3,23:34:08.822,target,pistol,0.492s,2,1,0.5,25,100,0.25,false
4,23:34:09.886,target,pistol,0.515s,2,1,0.5,25,100,0.25,false
5,23:34:10.769,target,pistol,0.469s,2,1,0.5,25,100,0.25,false
6,23:34:11.201,target,pistol,0s,1,1,1,25,50,0.5,false
7,23:34:11.632,target,pistol,0s,1,1,1,25,50,0.5,false
8,23:34:12.126,target,pistol,0s,1,1,1,25,50,0.5,false
9,23:34:12.589,target,pistol,0s,1,1,1,25,50,0.5,false
10,23:34:12.979,target,pistol,0s,1,1,1,25,50,0.5,false
11,23:34:13.496,target,pistol,0s,1,1,1,25,50,0.5,false
12,23:34:13.893,target,pistol,0s,1,1,1,25,50,0.5,false
13,23:34:14.326,target,pistol,0s,1,1,1,25,50,0.5,false
14,23:34:14.716,target,pistol,0.001s,1,1,1,25,50,0.5,false
15,23:34:15.175,target,pistol,0.001s,1,1,1,25,50,0.5,false
16,23:34:15.668,target,pistol,0s,1,1,1,25,50,0.5,false
17,23:34:16.467,target,pistol,0s,1,1,1,25,50,0.5,false
18,23:34:17.136,target,pistol,0s,1,1,1,25,50,0.5,false
19,23:34:17.588,target,pistol,0s,1,1,1,25,50,0.5,false
20,23:34:18.505,target,pistol,0s,1,1,1,25,50,0.5,false
21,23:34:18.914,target,pistol,0s,1,1,1,25,50,0.5,false
22,23:34:19.338,target,pistol,0s,1,1,1,25,50,0.5,false
23,23:34:19.790,target,pistol,0s,1,1,1,25,50,0.5,false
24,23:34:20.203,target,pistol,0s,1,1,1,25,50,0.5,false
25,23:34:20.573,target,pistol,0.001s,1,1,1,25,50,0.5,false
26,23:34:21.045,target,pistol,0s,1,1,1,25,50,0.5,false
27,23:34:21.414,target,pistol,0s,1,1,1,25,50,0.5,false
28,23:34:21.817,target,pistol,0s,1,1,1,25,50,0.5,false
