Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:50:24.602,target,BB Gun,1.296s,3,1,0.333,1,3,0.333,false
2,20:50:26.103,target,BB Gun,0.947s,3,1,0.333,1,3,0.333,false
3,20:50:27.283,target,BB Gun,0.605s,2,1,0.5,1,2,0.5,false
4,20:50:27.867,target,BB Gun,0s,1,1,1,1,1,1,false
5,20:50:28.562,target,BB Gun,0s,1,1,1,1,1,1,false
6,20:50:29.171,target,BB Gun,0s,1,1,1,1,1,1,false
7,20:50:29.725,target,BB Gun,0s,1,1,1,1,1,1,false
8,20:50:30.168,target,BB Gun,0.001s,1,1,1,1,1,1,false
9,20:50:30.719,target,BB Gun,0s,1,1,1,1,1,1,false
10,20:50:31.317,target,BB Gun,0s,1,1,1,1,1,1,false
11,20:50:32.287,target,BB Gun,0.356s,2,1,0.5,1,2,0.5,false
12,20:50:32.972,target,BB Gun,0s,1,1,1,1,1,1,false
13,20:50:33.500,target,BB Gun,0s,1,1,1,1,1,1,false
14,20:50:34.075,target,BB Gun,0s,1,1,1,1,1,1,false
15,20:50:34.625,target,BB Gun,0s,1,1,1,1,1,1,false
16,20:50:35.209,target,BB Gun,0s,1,1,1,1,1,1,false
17,20:50:35.689,target,BB Gun,0s,1,1,1,1,1,1,false
18,20:50:36.176,target,BB Gun,0s,1,1,1,1,1,1,false
19,20:50:37.012,target,BB Gun,0.216s,2,1,0.5,1,2,0.5,false
20,20:50:37.801,target,BB Gun,0s,1,1,1,1,1,1,false
21,20:50:38.523,target,BB Gun,0s,1,1,1,1,1,1,false
22,20:50:39.405,target,BB Gun,0s,1,1,1,1,1,1,false
23,20:50:40.940,target,BB Gun,0.795s,2,1,0.5,1,2,0.5,false
24,20:50:41.827,target,BB Gun,0.242s,2,1,0.5,1,2,0.5,false
25,20:50:42.703,target,BB Gun,0s,1,1,1,1,1,1,false
26,20:50:43.273,target,BB Gun,0s,1,1,1,1,1,1,false
27,20:50:43.804,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,20:50:44.271,target,BB Gun,0s,1,1,1,1,1,1,false
29,20:50:45.120,target,BB Gun,0.212s,2,1,0.5,1,2,0.5,false
30,20:50:45.628,target,BB Gun,0s,1,1,1,1,1,1,false
31,20:50:46.353,target,BB Gun,0.151s,2,1,0.5,1,2,0.5,false
32,20:50:47.001,target,BB Gun,0s,1,1,1,1,1,1,false
33,20:50:48.194,target,BB Gun,0.685s,2,1,0.5,1,2,0.5,false
34,20:50:49.828,target,BB Gun,0.976s,3,1,0.333,1,3,0.333,false
35,20:50:50.620,target,BB Gun,0s,1,1,1,1,1,1,false
36,20:50:51.732,target,BB Gun,0.517s,2,1,0.5,1,2,0.5,false
37,20:50:52.218,target,BB Gun,0s,1,1,1,1,1,1,false
38,20:50:53.538,target,BB Gun,0.604s,3,1,0.333,1,3,0.333,false
39,20:50:54.038,target,BB Gun,0s,1,1,1,1,1,1,false
40,20:50:55.406,target,BB Gun,0.624s,2,1,0.5,1,2,0.5,false
41,20:50:56.168,target,BB Gun,0s,1,1,1,1,1,1,false
42,20:50:56.746,target,BB Gun,0s,1,1,1,1,1,1,false
43,20:50:57.337,target,BB Gun,0s,1,1,1,1,1,1,false
44,20:50:58.942,target,BB Gun,1.051s,3,1,0.333,1,3,0.333,false
45,20:50:59.581,target,BB Gun,0s,1,1,1,1,1,1,false
46,20:51:00.242,target,BB Gun,0s,1,1,1,1,1,1,false
47,20:51:01.199,target,BB Gun,0.001s,1,1,1,1,1,1,false
48,20:51:02.126,target,BB Gun,0s,1,1,1,1,1,1,false
49,20:51:03.080,target,BB Gun,0.194s,2,1,0.5,1,2,0.5,false
50,20:51:03.895,target,BB Gun,0s,1,1,1,1,1,1,false
51,20:51:04.640,target,BB Gun,0s,1,1,1,1,1,1,false
52,20:51:05.368,target,BB Gun,0s,1,1,1,1,1,1,false
53,20:51:06.000,target,BB Gun,0s,1,1,1,1,1,1,false
54,20:51:06.621,target,BB Gun,0s,1,1,1,1,1,1,false
55,20:51:07.108,target,BB Gun,0.001s,1,1,1,1,1,1,false
56,20:51:07.574,target,BB Gun,0s,1,1,1,1,1,1,false
57,20:51:08.380,target,BB Gun,0s,1,1,1,1,1,1,false
58,20:51:08.894,target,BB Gun,0s,1,1,1,1,1,1,false
59,20:51:10.053,target,BB Gun,0.239s,2,1,0.5,1,2,0.5,false
60,20:51:10.755,target,BB Gun,0s,1,1,1,1,1,1,false
61,20:51:11.631,target,BB Gun,0.001s,1,1,1,1,1,1,false
62,20:51:12.366,target,BB Gun,0s,1,1,1,1,1,1,false
63,20:51:13.595,target,BB Gun,0s,1,1,1,1,1,1,false
64,20:51:14.215,target,BB Gun,0.001s,1,1,1,1,1,1,false
65,20:51:14.877,target,BB Gun,0s,1,1,1,1,1,1,false
66,20:51:15.606,target,BB Gun,0s,1,1,1,1,1,1,false
67,20:51:16.264,target,BB Gun,0s,1,1,1,1,1,1,false
68,20:51:16.976,target,BB Gun,0s,1,1,1,1,1,1,false
69,20:51:17.443,target,BB Gun,0s,1,1,1,1,1,1,false
70,20:51:18.014,target,BB Gun,0s,1,1,1,1,1,1,false
71,20:51:18.534,target,BB Gun,0s,1,1,1,1,1,1,false
72,20:51:19.011,target,BB Gun,0s,1,1,1,1,1,1,false
73,20:51:20.152,target,BB Gun,0.585s,2,1,0.5,1,2,0.5,false
74,20:51:21.119,target,BB Gun,0.246s,2,1,0.5,1,2,0.5,false
75,20:51:21.778,target,BB Gun,0s,1,1,1,1,1,1,false
76,20:51:22.245,target,BB Gun,0.001s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,100,76,76.0,100.0,

Kills:,76
Deaths:,0
Fight Time:,10.548
Avg TTK:,0
Damage Done:,76.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,76.0
Scenario:,1w2ts reload
Hash:,df16a20f8a4b97ffe3b5409431b2a40e
Game Version:,2.0.4.0
Challenge Start:,20:50:22.366

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.615662
Resolution Scale,100.0
