Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:21:02.809,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
2,08:21:03.688,vbr_target,rsp_vbr_gun,0.402s,2,1,0.5,1,2,0.5,false
3,08:21:04.128,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
4,08:21:04.700,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
5,08:21:05.146,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
6,08:21:05.733,vbr_target,rsp_vbr_gun,0.001s,1,1,1,1,1,1,false
7,08:21:06.174,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
8,08:21:06.655,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
9,08:21:07.210,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
10,08:21:07.747,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
11,08:21:08.147,vbr_target,rsp_vbr_gun,0.001s,1,1,1,1,1,1,false
12,08:21:08.647,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
13,08:21:09.778,vbr_target,rsp_vbr_gun,0.484s,2,1,0.5,1,2,0.5,false
14,08:21:10.177,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
15,08:21:10.762,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
16,08:21:11.242,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
17,08:21:11.716,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
18,08:21:12.319,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
19,08:21:12.758,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
20,08:21:13.828,vbr_target,rsp_vbr_gun,0.545s,2,1,0.5,1,2,0.5,false
21,08:21:14.327,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
22,08:21:14.801,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
23,08:21:15.500,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
24,08:21:16.221,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
25,08:21:16.773,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
26,08:21:20.373,vbr_target,rsp_vbr_gun,3.056s,2,1,0.5,1,2,0.5,false
27,08:21:21.281,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
28,08:21:22.498,vbr_target,rsp_vbr_gun,0.484s,2,1,0.5,1,2,0.5,false
29,08:21:22.956,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
30,08:21:23.714,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
31,08:21:24.464,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
32,08:21:25.235,vbr_target,rsp_vbr_gun,0s,1,1,1,1,1,1,false
