Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:30:34.079,target,BB Gun,0s,1,1,1,1,1,1,false
2,17:30:34.571,target,BB Gun,0s,1,1,1,1,1,1,false
3,17:30:35.065,target,BB Gun,0s,1,1,1,1,1,1,false
4,17:30:35.538,target,BB Gun,0.001s,1,1,1,1,1,1,false
5,17:30:36.128,target,BB Gun,0s,1,1,1,1,1,1,false
6,17:30:37.471,target,BB Gun,0.92s,3,1,0.333,1,3,0.333,false
7,17:30:37.862,target,BB Gun,0s,1,1,1,1,1,1,false
8,17:30:38.252,target,BB Gun,0s,1,1,1,1,1,1,false
9,17:30:39.164,target,BB Gun,0.437s,2,1,0.5,1,2,0.5,false
10,17:30:39.599,target,BB Gun,0s,1,1,1,1,1,1,false
11,17:30:39.957,target,BB Gun,0s,1,1,1,1,1,1,false
12,17:30:40.417,target,BB Gun,0.001s,1,1,1,1,1,1,false
13,17:30:40.887,target,BB Gun,0s,1,1,1,1,1,1,false
14,17:30:41.345,target,BB Gun,0s,1,1,1,1,1,1,false
15,17:30:41.845,target,BB Gun,0s,1,1,1,1,1,1,false
16,17:30:42.315,target,BB Gun,0s,1,1,1,1,1,1,false
17,17:30:42.739,target,BB Gun,0s,1,1,1,1,1,1,false
18,17:30:43.168,target,BB Gun,0s,1,1,1,1,1,1,false
19,17:30:43.663,target,BB Gun,0s,1,1,1,1,1,1,false
20,17:30:44.705,target,BB Gun,0.539s,2,1,0.5,1,2,0.5,false
21,17:30:45.119,target,BB Gun,0s,1,1,1,1,1,1,false
22,17:30:45.582,target,BB Gun,0s,1,1,1,1,1,1,false
23,17:30:45.992,target,BB Gun,0s,1,1,1,1,1,1,false
24,17:30:46.478,target,BB Gun,0s,1,1,1,1,1,1,false
25,17:30:46.980,target,BB Gun,0s,1,1,1,1,1,1,false
26,17:30:48.274,target,BB Gun,0.754s,2,1,0.5,1,2,0.5,false
