Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:32:16.694,target,BB Gun,1.342s,4,1,0.25,1,4,0.25,false
2,05:32:17.797,target,BB Gun,0.552s,2,1,0.5,1,2,0.5,false
3,05:32:19.051,target,BB Gun,0.712s,3,1,0.333,1,3,0.333,false
4,05:32:20.103,target,BB Gun,0.3s,2,1,0.5,1,2,0.5,false
5,05:32:20.630,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,05:32:21.802,target,BB Gun,0.555s,2,1,0.5,1,2,0.5,false
7,05:32:22.325,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,05:32:23.354,target,BB Gun,0.427s,2,1,0.5,1,2,0.5,false
9,05:32:23.793,target,BB Gun,0s,1,1,1,1,1,1,false
10,05:32:24.326,target,BB Gun,0.001s,1,1,1,1,1,1,false
11,05:32:24.776,target,BB Gun,0s,1,1,1,1,1,1,false
12,05:32:25.205,target,BB Gun,0s,1,1,1,1,1,1,false
13,05:32:26.292,target,BB Gun,0.575s,2,1,0.5,1,2,0.5,false
14,05:32:27.481,target,BB Gun,0.487s,2,1,0.5,1,2,0.5,false
15,05:32:28.088,target,BB Gun,0s,1,1,1,1,1,1,false
16,05:32:28.786,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,05:32:33.779,target,BB Gun,0s,1,1,1,1,1,1,false
18,05:32:34.164,target,BB Gun,0s,1,1,1,1,1,1,false
19,05:32:34.663,target,BB Gun,0s,1,1,1,1,1,1,false
20,05:32:35.166,target,BB Gun,0s,1,1,1,1,1,1,false
21,05:32:35.798,target,BB Gun,0.273s,2,1,0.5,1,2,0.5,false
22,05:32:36.277,target,BB Gun,0s,1,1,1,1,1,1,false
23,05:32:36.758,target,BB Gun,0s,1,1,1,1,1,1,false
24,05:32:49.015,target,BB Gun,0s,1,1,1,1,1,1,false
25,05:32:49.523,target,BB Gun,0s,1,1,1,1,1,1,false
26,05:32:50.021,target,BB Gun,0s,1,1,1,1,1,1,false
27,05:32:50.453,target,BB Gun,0s,1,1,1,1,1,1,false
28,05:32:52.924,target,BB Gun,1.838s,5,1,0.2,1,5,0.2,false
29,05:32:54.165,target,BB Gun,0.739s,3,1,0.333,1,3,0.333,false
30,05:32:55.254,target,BB Gun,0.547s,3,1,0.333,1,3,0.333,false
31,05:32:55.920,target,BB Gun,0.001s,1,1,1,1,1,1,false
32,05:32:56.675,target,BB Gun,0.307s,2,1,0.5,1,2,0.5,false
33,05:32:57.164,target,BB Gun,0s,1,1,1,1,1,1,false
34,05:32:57.598,target,BB Gun,0s,1,1,1,1,1,1,false
35,05:32:58.147,target,BB Gun,0s,1,1,1,1,1,1,false
36,05:32:59.079,target,BB Gun,0.507s,2,1,0.5,1,2,0.5,false
37,05:32:59.583,target,BB Gun,0.001s,1,1,1,1,1,1,false
