Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:15:35.491,target,BB Gun,0s,1,1,1,1,1,1,false
2,19:15:35.959,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,19:15:36.369,target,BB Gun,0.001s,1,1,1,1,1,1,false
4,19:15:36.716,target,BB Gun,0s,1,1,1,1,1,1,false
5,19:15:37.090,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,19:15:37.439,targetb,BB Gun,0s,1,1,1,1,1,1,false
7,19:15:37.771,targetb,BB Gun,0s,1,1,1,1,1,1,false
8,19:15:38.135,target,BB Gun,0s,1,1,1,1,1,1,false
9,19:15:38.495,targetb,BB Gun,0s,1,1,1,1,1,1,false
10,19:15:38.959,targetc,BB Gun,0s,1,1,1,1,1,1,false
11,19:15:39.337,targetc,BB Gun,0s,1,1,1,1,1,1,false
12,19:15:39.703,targetb,BB Gun,0s,1,1,1,1,1,1,false
13,19:15:40.053,targetc,BB Gun,0s,1,1,1,1,1,1,false
14,19:15:40.421,targetd,BB Gun,0s,1,1,1,1,1,1,false
15,19:15:41.110,targetc,BB Gun,0.374s,2,1,0.5,1,2,0.5,false
16,19:15:41.440,targetd,BB Gun,0s,1,1,1,1,1,1,false
17,19:15:41.784,targete,BB Gun,0s,1,1,1,1,1,1,false
18,19:15:42.111,targetd,BB Gun,0s,1,1,1,1,1,1,false
19,19:15:42.496,targetd,BB Gun,0s,1,1,1,1,1,1,false
20,19:15:42.837,targete,BB Gun,0s,1,1,1,1,1,1,false
21,19:15:43.599,targetf,BB Gun,0.348s,2,1,0.5,1,2,0.5,false
22,19:15:44.362,targete,BB Gun,0.479s,2,1,0.5,1,2,0.5,false
23,19:15:45.234,targetb,BB Gun,0.481s,2,1,0.5,1,2,0.5,false
24,19:15:45.657,targetb,BB Gun,0.001s,1,1,1,1,1,1,false
25,19:15:46.038,targetc,BB Gun,0.001s,1,1,1,1,1,1,false
26,19:15:46.422,targete,BB Gun,0s,1,1,1,1,1,1,false
27,19:15:46.823,targetf,BB Gun,0s,1,1,1,1,1,1,false
28,19:15:47.257,targetf,BB Gun,0s,1,1,1,1,1,1,false
29,19:15:47.640,targetf,BB Gun,0s,1,1,1,1,1,1,false
30,19:15:48.007,targetg,BB Gun,0s,1,1,1,1,1,1,false
31,19:15:48.320,targetg,BB Gun,0s,1,1,1,1,1,1,false
32,19:15:48.688,targeth,BB Gun,0s,1,1,1,1,1,1,false
33,19:15:49.061,targetg,BB Gun,0.001s,1,1,1,1,1,1,false
34,19:15:49.431,targetg,BB Gun,0s,1,1,1,1,1,1,false
35,19:15:50.179,targeti,BB Gun,0.334s,2,1,0.5,1,2,0.5,false
36,19:15:50.516,targeth,BB Gun,0s,1,1,1,1,1,1,false
37,19:15:50.924,targeth,BB Gun,0s,1,1,1,1,1,1,false
38,19:15:51.599,targeti,BB Gun,0.317s,2,1,0.5,1,2,0.5,false
39,19:15:52.033,targeth,BB Gun,0.001s,1,1,1,1,1,1,false
40,19:15:52.500,targetd,BB Gun,0s,1,1,1,1,1,1,false
41,19:15:52.933,targetc,BB Gun,0s,1,1,1,1,1,1,false
42,19:15:53.371,targete,BB Gun,0.001s,1,1,1,1,1,1,false
43,19:15:53.842,targetd,BB Gun,0s,1,1,1,1,1,1,false
44,19:15:54.762,targetj,BB Gun,0.517s,2,1,0.5,1,2,0.5,false
45,19:15:55.172,targetf,BB Gun,0s,1,1,1,1,1,1,false
46,19:15:55.599,targeti,BB Gun,0s,1,1,1,1,1,1,false
47,19:15:56.066,targeti,BB Gun,0s,1,1,1,1,1,1,false
48,19:15:56.461,targeth,BB Gun,0s,1,1,1,1,1,1,false
49,19:15:56.816,targetj,BB Gun,0s,1,1,1,1,1,1,false
50,19:16:00.160,targeti,BB Gun,0s,1,1,1,1,1,1,false
51,19:16:00.640,targetj,BB Gun,0s,1,1,1,1,1,1,false
52,19:16:01.121,targeti,BB Gun,0s,1,1,1,1,1,1,false
53,19:16:02.411,targetj,BB Gun,0s,1,1,1,1,1,1,false
54,19:16:02.839,targeti,BB Gun,0s,1,1,1,1,1,1,false
55,19:16:03.841,targeth,BB Gun,0.587s,3,1,0.333,1,3,0.333,false
56,19:16:04.519,targetg,BB Gun,0.356s,2,1,0.5,1,2,0.5,false
57,19:16:04.914,targete,BB Gun,0s,1,1,1,1,1,1,false
58,19:16:05.699,targeth,BB Gun,0.322s,2,1,0.5,1,2,0.5,false
59,19:16:06.079,targeth,BB Gun,0s,1,1,1,1,1,1,false
60,19:16:06.899,targeti,BB Gun,0s,1,1,1,1,1,1,false
61,19:16:07.233,targetg,BB Gun,0.001s,1,1,1,1,1,1,false
62,19:16:08.995,targetg,BB Gun,1.383s,4,1,0.25,1,4,0.25,false
63,19:16:09.432,targeti,BB Gun,0s,1,1,1,1,1,1,false
64,19:16:09.847,targetf,BB Gun,0.001s,1,1,1,1,1,1,false
65,19:16:10.182,targetf,BB Gun,0s,1,1,1,1,1,1,false
66,19:16:10.523,targete,BB Gun,0.001s,1,1,1,1,1,1,false
67,19:16:11.005,targetf,BB Gun,0.001s,1,1,1,1,1,1,false
68,19:16:11.392,targetg,BB Gun,0s,1,1,1,1,1,1,false
69,19:16:11.830,targetj,BB Gun,0s,1,1,1,1,1,1,false
70,19:16:14.112,targetf,BB Gun,1.814s,6,1,0.167,1,6,0.167,false
71,19:16:14.515,targetg,BB Gun,0s,1,1,1,1,1,1,false
72,19:16:14.853,targeti,BB Gun,0s,1,1,1,1,1,1,false
73,19:16:15.278,targeth,BB Gun,0s,1,1,1,1,1,1,false
74,19:16:15.721,targeth,BB Gun,0.173s,2,1,0.5,1,2,0.5,false
75,19:16:16.983,targetd,BB Gun,0.861s,3,1,0.333,1,3,0.333,false
76,19:16:18.032,targetc,BB Gun,0.633s,2,1,0.5,1,2,0.5,false
77,19:16:18.932,targete,BB Gun,0.509s,2,1,0.5,1,2,0.5,false
78,19:16:19.353,targetg,BB Gun,0s,1,1,1,1,1,1,false
79,19:16:19.711,targeth,BB Gun,0s,1,1,1,1,1,1,false
80,19:16:20.158,targete,BB Gun,0.001s,1,1,1,1,1,1,false
81,19:16:20.521,targetg,BB Gun,0s,1,1,1,1,1,1,false
82,19:16:21.933,targetd,BB Gun,1.039s,3,1,0.333,1,3,0.333,false
83,19:16:22.244,targetd,BB Gun,0s,1,1,1,1,1,1,false
84,19:16:22.595,targetb,BB Gun,0s,1,1,1,1,1,1,false
85,19:16:22.933,targetc,BB Gun,0s,1,1,1,1,1,1,false
86,19:16:23.328,targetc,BB Gun,0s,1,1,1,1,1,1,false
87,19:16:23.729,targetb,BB Gun,0s,1,1,1,1,1,1,false
88,19:16:24.083,targetb,BB Gun,0s,1,1,1,1,1,1,false
89,19:16:24.481,target,BB Gun,0s,1,1,1,1,1,1,false
90,19:16:24.932,target,BB Gun,0s,1,1,1,1,1,1,false
91,19:16:25.318,targetb,BB Gun,0s,1,1,1,1,1,1,false
92,19:16:26.339,targetf,BB Gun,0.513s,2,1,0.5,1,2,0.5,false
93,19:16:26.689,targetc,BB Gun,0.001s,1,1,1,1,1,1,false
94,19:16:27.508,target,BB Gun,0.433s,2,1,0.5,1,2,0.5,false
95,19:16:27.882,targetb,BB Gun,0s,1,1,1,1,1,1,false
96,19:16:28.377,targete,BB Gun,0s,1,1,1,1,1,1,false
97,19:16:28.858,targetf,BB Gun,0s,1,1,1,1,1,1,false
98,19:16:29.297,targetd,BB Gun,0s,1,1,1,1,1,1,false
99,19:16:29.640,targetc,BB Gun,0s,1,1,1,1,1,1,false
100,19:16:29.996,targetb,BB Gun,0s,1,1,1,1,1,1,false
101,19:16:30.411,targetd,BB Gun,0s,1,1,1,1,1,1,false
102,19:16:30.788,targete,BB Gun,0s,1,1,1,1,1,1,false
103,19:16:31.129,targetd,BB Gun,0s,1,1,1,1,1,1,false
104,19:16:31.478,targete,BB Gun,0s,1,1,1,1,1,1,false
105,19:16:31.918,targeti,BB Gun,0s,1,1,1,1,1,1,false
106,19:16:32.336,targetf,BB Gun,0s,1,1,1,1,1,1,false
107,19:16:32.706,targete,BB Gun,0s,1,1,1,1,1,1,false
108,19:16:33.068,targetc,BB Gun,0.001s,1,1,1,1,1,1,false
109,19:16:34.387,targetf,BB Gun,0.82s,3,1,0.333,1,3,0.333,false
110,19:16:34.787,targetg,BB Gun,0s,1,1,1,1,1,1,false
111,19:16:35.090,targetg,BB Gun,0.001s,1,1,1,1,1,1,false
112,19:16:35.491,targeth,BB Gun,0.001s,1,1,1,1,1,1,false
113,19:16:36.328,targeti,BB Gun,0.411s,2,1,0.5,1,2,0.5,false
114,19:16:36.674,targeth,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,145,114,114.0,145.0,

Kills:,114
Deaths:,0
Fight Time:,12.721
Avg TTK:,0.525
Damage Done:,114.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,89.627586
Scenario:,1w6ts_trustechain Raspberry
Hash:,2b1c6dffa692d46616dca47c1bd439f7
Game Version:,v2.8.6
Challenge Start:,19:15:59.409
Pause Count:,31
Pause Duration:,989

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,264.070496
Resolution Scale,100.0
