Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:31:45.591,target,pistol,1.215s,3,1,0.333,25,150,0.167,false
2,05:31:46.007,target,pistol,0.001s,1,1,1,25,50,0.5,false
3,05:31:46.477,target,pistol,0s,1,1,1,25,50,0.5,false
4,05:31:46.984,target,pistol,0s,1,1,1,25,50,0.5,false
5,05:31:47.497,target,pistol,0s,1,1,1,25,50,0.5,false
6,05:31:47.984,target,pistol,0s,1,1,1,25,50,0.5,false
7,05:31:48.541,target,pistol,0s,1,1,1,25,50,0.5,false
8,05:31:49.057,target,pistol,0s,1,1,1,25,50,0.5,false
9,05:31:49.447,target,pistol,0s,1,1,1,25,50,0.5,false
10,05:31:50.008,target,pistol,0s,1,1,1,25,50,0.5,false
11,05:31:50.544,target,pistol,0s,1,1,1,25,50,0.5,false
12,05:31:51.008,target,pistol,0s,1,1,1,25,50,0.5,false
13,05:31:51.441,target,pistol,0s,1,1,1,25,50,0.5,false
14,05:31:52.367,target,pistol,0.471s,2,1,0.5,25,100,0.25,false
15,05:31:52.844,target,pistol,0.001s,1,1,1,25,50,0.5,false
16,05:31:53.233,target,pistol,0s,1,1,1,25,50,0.5,false
17,05:31:53.737,target,pistol,0.001s,1,1,1,25,50,0.5,false
18,05:31:54.176,target,pistol,0s,1,1,1,25,50,0.5,false
19,05:31:54.985,target,pistol,0.413s,2,1,0.5,25,100,0.25,false
20,05:31:55.858,target,pistol,0.463s,2,1,0.5,25,100,0.25,false
21,05:31:56.703,target,pistol,0.45s,2,1,0.5,25,100,0.25,false
22,05:31:57.177,target,pistol,0s,1,1,1,25,50,0.5,false
23,05:31:57.639,target,pistol,0s,1,1,1,25,50,0.5,false
24,05:31:58.029,target,pistol,0s,1,1,1,25,50,0.5,false
25,05:31:58.958,target,pistol,0.523s,2,1,0.5,25,100,0.25,false
26,05:31:59.395,target,pistol,0s,1,1,1,25,50,0.5,false
27,05:31:59.958,target,pistol,0s,1,1,1,25,50,0.5,false
28,05:32:00.392,target,pistol,0s,1,1,1,25,50,0.5,false
29,05:32:00.763,target,pistol,0s,1,1,1,25,50,0.5,false
30,05:32:01.197,target,pistol,0s,1,1,1,25,50,0.5,false
31,05:32:01.644,target,pistol,0s,1,1,1,25,50,0.5,false
32,05:32:02.080,target,pistol,0s,1,1,1,25,50,0.5,false
33,05:32:02.724,target,pistol,0s,1,1,1,25,50,0.5,false
34,05:32:03.741,target,pistol,0.538s,2,1,0.5,25,100,0.25,false
35,05:32:04.309,target,pistol,0s,1,1,1,25,50,0.5,false
36,05:32:04.828,target,pistol,0s,1,1,1,25,50,0.5,false
37,05:32:05.808,target,pistol,0.513s,2,1,0.5,25,100,0.25,false
38,05:32:06.282,target,pistol,0s,1,1,1,25,50,0.5,false
39,05:32:06.792,target,pistol,0s,1,1,1,25,50,0.5,false
40,05:32:07.208,target,pistol,0s,1,1,1,25,50,0.5,false
41,05:32:07.625,target,pistol,0s,1,1,1,25,50,0.5,false
42,05:32:07.993,target,pistol,0s,1,1,1,25,50,0.5,false
43,05:32:08.410,target,pistol,0s,1,1,1,25,50,0.5,false
44,05:32:08.870,target,pistol,0s,1,1,1,25,50,0.5,false
45,05:32:09.950,target,pistol,0.443s,2,1,0.5,25,100,0.25,false
46,05:32:10.359,target,pistol,0s,1,1,1,25,50,0.5,false
47,05:32:10.712,target,pistol,0.001s,1,1,1,25,50,0.5,false
48,05:32:11.098,target,pistol,0s,1,1,1,25,50,0.5,false
49,05:32:11.477,target,pistol,0s,1,1,1,25,50,0.5,false
50,05:32:11.960,target,pistol,0s,1,1,1,25,50,0.5,false
51,05:32:12.919,target,pistol,0.469s,2,1,0.5,25,100,0.25,false
52,05:32:13.306,target,pistol,0s,1,1,1,25,50,0.5,false
53,05:32:14.105,target,pistol,0.212s,2,1,0.5,25,100,0.25,false
54,05:32:14.807,target,pistol,0s,1,1,1,25,50,0.5,false
55,05:32:15.354,target,pistol,0s,1,1,1,25,50,0.5,false
56,05:32:15.804,target,pistol,0s,1,1,1,25,50,0.5,false
57,05:32:16.216,target,pistol,0s,1,1,1,25,50,0.5,false
58,05:32:16.652,target,pistol,0s,1,1,1,25,50,0.5,false
59,05:32:17.045,target,pistol,0s,1,1,1,25,50,0.5,false
60,05:32:17.537,target,pistol,0s,1,1,1,25,50,0.5,false
61,05:32:18.111,target,pistol,0s,1,1,1,25,50,0.5,false
62,05:32:18.628,target,pistol,0s,1,1,1,25,50,0.5,false
63,05:32:19.188,target,pistol,0s,1,1,1,25,50,0.5,false
64,05:32:19.702,target,pistol,0s,1,1,1,25,50,0.5,false
65,05:32:20.068,target,pistol,0s,1,1,1,25,50,0.5,false
66,05:32:20.598,target,pistol,0s,1,1,1,25,50,0.5,false
67,05:32:21.057,target,pistol,0s,1,1,1,25,50,0.5,false
68,05:32:21.886,target,pistol,0s,1,1,1,25,50,0.5,false
69,05:32:22.447,target,pistol,0s,1,1,1,25,50,0.5,false
70,05:32:22.873,target,pistol,0s,1,1,1,25,50,0.5,false
71,05:32:23.374,target,pistol,0s,1,1,1,25,50,0.5,false
72,05:32:23.901,target,pistol,0s,1,1,1,25,50,0.5,false
73,05:32:24.458,target,pistol,0s,1,1,1,25,50,0.5,false
74,05:32:25.016,target,pistol,0s,1,1,1,25,50,0.5,false
75,05:32:25.488,target,pistol,0s,1,1,1,25,50,0.5,false
76,05:32:25.906,target,pistol,0s,1,1,1,25,50,0.5,false
77,05:32:26.368,target,pistol,0s,1,1,1,25,50,0.5,false
78,05:32:26.788,target,pistol,0s,1,1,1,25,50,0.5,false
79,05:32:27.308,target,pistol,0s,1,1,1,25,50,0.5,false
80,05:32:28.268,target,pistol,0.715s,3,1,0.333,25,150,0.167,false
81,05:32:28.688,target,pistol,0s,1,1,1,25,50,0.5,false
82,05:32:29.678,target,pistol,0.472s,3,1,0.333,25,150,0.167,false
83,05:32:30.124,target,pistol,0s,1,1,1,25,50,0.5,false
84,05:32:30.540,target,pistol,0.001s,1,1,1,25,50,0.5,false
85,05:32:30.937,target,pistol,0s,1,1,1,25,50,0.5,false
86,05:32:31.375,target,pistol,0s,1,1,1,25,50,0.5,false
87,05:32:31.775,target,pistol,0s,1,1,1,25,50,0.5,false
88,05:32:32.127,target,pistol,0s,1,1,1,25,50,0.5,false
