Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:53:58.474,target,BB Gun,0s,1,1,1,1,1,1,false
2,12:53:58.884,target,BB Gun,0s,1,1,1,1,1,1,false
3,12:53:59.331,target,BB Gun,0s,1,1,1,1,1,1,false
4,12:53:59.780,target,BB Gun,0s,1,1,1,1,1,1,false
5,12:54:00.446,target,BB Gun,0.205s,2,1,0.5,1,2,0.5,false
6,12:54:00.811,target,BB Gun,0s,1,1,1,1,1,1,false
7,12:54:01.365,target,BB Gun,0s,1,1,1,1,1,1,false
8,12:54:01.838,target,BB Gun,0s,1,1,1,1,1,1,false
9,12:54:02.251,target,BB Gun,0s,1,1,1,1,1,1,false
10,12:54:02.760,target,BB Gun,0s,1,1,1,1,1,1,false
11,12:54:03.260,target,BB Gun,0s,1,1,1,1,1,1,false
12,12:54:03.683,target,BB Gun,0s,1,1,1,1,1,1,false
13,12:54:04.146,target,BB Gun,0s,1,1,1,1,1,1,false
14,12:54:04.994,target,BB Gun,0s,1,1,1,1,1,1,false
15,12:54:06.466,target,BB Gun,0.993s,2,1,0.5,1,2,0.5,false
16,12:54:06.902,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,12:54:07.451,target,BB Gun,0s,1,1,1,1,1,1,false
18,12:54:07.777,target,BB Gun,0s,1,1,1,1,1,1,false
19,12:54:08.233,target,BB Gun,0.001s,1,1,1,1,1,1,false
20,12:54:08.605,target,BB Gun,0s,1,1,1,1,1,1,false
21,12:54:09.042,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,12:54:09.576,target,BB Gun,0.001s,1,1,1,1,1,1,false
23,12:54:09.949,target,BB Gun,0s,1,1,1,1,1,1,false
24,12:54:10.376,target,BB Gun,0s,1,1,1,1,1,1,false
25,12:54:11.275,target,BB Gun,0.537s,2,1,0.5,1,2,0.5,false
26,12:54:11.716,target,BB Gun,0s,1,1,1,1,1,1,false
27,12:54:12.505,target,BB Gun,0.308s,2,1,0.5,1,2,0.5,false
28,12:54:12.882,target,BB Gun,0s,1,1,1,1,1,1,false
29,12:54:13.835,target,BB Gun,0.47s,3,1,0.333,1,3,0.333,false
30,12:54:14.172,target,BB Gun,0s,1,1,1,1,1,1,false
31,12:54:14.576,target,BB Gun,0s,1,1,1,1,1,1,false
32,12:54:14.959,target,BB Gun,0s,1,1,1,1,1,1,false
33,12:54:15.380,target,BB Gun,0s,1,1,1,1,1,1,false
34,12:54:15.803,target,BB Gun,0s,1,1,1,1,1,1,false
35,12:54:16.243,target,BB Gun,0s,1,1,1,1,1,1,false
36,12:54:16.810,target,BB Gun,0s,1,1,1,1,1,1,false
37,12:54:17.799,target,BB Gun,0.454s,2,1,0.5,1,2,0.5,false
38,12:54:18.202,target,BB Gun,0.001s,1,1,1,1,1,1,false
39,12:54:18.620,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,12:54:19.116,target,BB Gun,0s,1,1,1,1,1,1,false
41,12:54:19.542,target,BB Gun,0s,1,1,1,1,1,1,false
42,12:54:20.051,target,BB Gun,0.001s,1,1,1,1,1,1,false
43,12:54:20.427,target,BB Gun,0s,1,1,1,1,1,1,false
44,12:54:20.919,target,BB Gun,0s,1,1,1,1,1,1,false
45,12:54:21.518,target,BB Gun,0s,1,1,1,1,1,1,false
46,12:54:21.901,target,BB Gun,0s,1,1,1,1,1,1,false
47,12:54:22.279,target,BB Gun,0s,1,1,1,1,1,1,false
48,12:54:22.603,target,BB Gun,0s,1,1,1,1,1,1,false
49,12:54:22.964,target,BB Gun,0s,1,1,1,1,1,1,false
50,12:54:23.756,target,BB Gun,0.452s,2,1,0.5,1,2,0.5,false
51,12:54:25.127,target,BB Gun,0.939s,3,1,0.333,1,3,0.333,false
52,12:54:25.577,target,BB Gun,0s,1,1,1,1,1,1,false
53,12:54:27.141,target,BB Gun,0.994s,3,1,0.333,1,3,0.333,false
54,12:54:27.570,target,BB Gun,0s,1,1,1,1,1,1,false
55,12:54:28.136,target,BB Gun,0.001s,1,1,1,1,1,1,false
56,12:54:28.758,target,BB Gun,0.242s,2,1,0.5,1,2,0.5,false
57,12:54:29.108,target,BB Gun,0s,1,1,1,1,1,1,false
58,12:54:29.447,target,BB Gun,0s,1,1,1,1,1,1,false
59,12:54:29.732,target,BB Gun,0s,1,1,1,1,1,1,false
60,12:54:30.239,target,BB Gun,0s,1,1,1,1,1,1,false
61,12:54:30.661,target,BB Gun,0s,1,1,1,1,1,1,false
62,12:54:31.154,target,BB Gun,0s,1,1,1,1,1,1,false
63,12:54:31.545,target,BB Gun,0.001s,1,1,1,1,1,1,false
64,12:54:31.936,target,BB Gun,0.001s,1,1,1,1,1,1,false
65,12:54:32.465,target,BB Gun,0s,1,1,1,1,1,1,false
66,12:54:32.927,target,BB Gun,0s,1,1,1,1,1,1,false
67,12:54:33.325,target,BB Gun,0s,1,1,1,1,1,1,false
68,12:54:33.978,target,BB Gun,0.189s,2,1,0.5,1,2,0.5,false
69,12:54:34.448,target,BB Gun,0s,1,1,1,1,1,1,false
70,12:54:35.861,target,BB Gun,0.956s,3,1,0.333,1,3,0.333,false
71,12:54:36.228,target,BB Gun,0s,1,1,1,1,1,1,false
72,12:54:36.622,target,BB Gun,0s,1,1,1,1,1,1,false
73,12:54:37.039,target,BB Gun,0s,1,1,1,1,1,1,false
74,12:54:37.584,target,BB Gun,0s,1,1,1,1,1,1,false
75,12:54:38.990,target,BB Gun,0.89s,3,1,0.333,1,3,0.333,false
76,12:54:39.436,target,BB Gun,0s,1,1,1,1,1,1,false
77,12:54:39.895,target,BB Gun,0s,1,1,1,1,1,1,false
78,12:54:40.608,target,BB Gun,0.499s,2,1,0.5,1,2,0.5,false
79,12:54:41.018,target,BB Gun,0s,1,1,1,1,1,1,false
80,12:54:41.854,target,BB Gun,0.411s,2,1,0.5,1,2,0.5,false
81,12:54:42.278,target,BB Gun,0.001s,1,1,1,1,1,1,false
82,12:54:42.722,target,BB Gun,0s,1,1,1,1,1,1,false
83,12:54:43.712,target,BB Gun,0.443s,2,1,0.5,1,2,0.5,false
84,12:54:44.025,target,BB Gun,0.001s,1,1,1,1,1,1,false
85,12:54:44.397,target,BB Gun,0s,1,1,1,1,1,1,false
