Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:35:10.932,target,BB Gun,0s,1,1,1,1,1,1,false
2,05:35:11.453,target,BB Gun,0s,1,1,1,1,1,1,false
3,05:35:11.995,target,BB Gun,0s,1,1,1,1,1,1,false
4,05:35:12.483,target,BB Gun,0s,1,1,1,1,1,1,false
5,05:35:12.970,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,05:35:13.386,target,BB Gun,0s,1,1,1,1,1,1,false
7,05:35:13.930,target,BB Gun,0s,1,1,1,1,1,1,false
8,05:35:14.996,target,BB Gun,0.573s,2,1,0.5,1,2,0.5,false
9,05:35:15.450,target,BB Gun,0s,1,1,1,1,1,1,false
10,05:35:15.819,target,BB Gun,0s,1,1,1,1,1,1,false
11,05:35:16.270,target,BB Gun,0s,1,1,1,1,1,1,false
12,05:35:16.777,target,BB Gun,0s,1,1,1,1,1,1,false
13,05:35:17.300,target,BB Gun,0s,1,1,1,1,1,1,false
14,05:35:17.792,target,BB Gun,0s,1,1,1,1,1,1,false
15,05:35:18.316,target,BB Gun,0s,1,1,1,1,1,1,false
16,05:35:19.326,target,BB Gun,0.497s,2,1,0.5,1,2,0.5,false
17,05:35:19.776,target,BB Gun,0s,1,1,1,1,1,1,false
18,05:35:20.253,target,BB Gun,0s,1,1,1,1,1,1,false
19,05:35:20.730,target,BB Gun,0s,1,1,1,1,1,1,false
20,05:35:21.130,target,BB Gun,0s,1,1,1,1,1,1,false
21,05:35:21.600,target,BB Gun,0s,1,1,1,1,1,1,false
22,05:35:22.057,target,BB Gun,0s,1,1,1,1,1,1,false
23,05:35:22.524,target,BB Gun,0s,1,1,1,1,1,1,false
24,05:35:22.944,target,BB Gun,0s,1,1,1,1,1,1,false
25,05:35:23.653,target,BB Gun,0.281s,2,1,0.5,1,2,0.5,false
26,05:35:24.214,target,BB Gun,0s,1,1,1,1,1,1,false
27,05:35:24.785,target,BB Gun,0s,1,1,1,1,1,1,false
28,05:35:25.554,target,BB Gun,0.299s,2,1,0.5,1,2,0.5,false
29,05:35:26.235,target,BB Gun,0.265s,2,1,0.5,1,2,0.5,false
30,05:35:27.036,target,BB Gun,0s,1,1,1,1,1,1,false
31,05:35:28.245,target,BB Gun,0.724s,3,1,0.333,1,3,0.333,false
32,05:35:28.661,target,BB Gun,0s,1,1,1,1,1,1,false
33,05:35:29.078,target,BB Gun,0s,1,1,1,1,1,1,false
34,05:35:29.537,target,BB Gun,0s,1,1,1,1,1,1,false
35,05:35:30.431,target,BB Gun,0.406s,2,1,0.5,1,2,0.5,false
36,05:35:30.907,target,BB Gun,0s,1,1,1,1,1,1,false
37,05:35:31.559,target,BB Gun,0.001s,1,1,1,1,1,1,false
38,05:35:32.008,target,BB Gun,0s,1,1,1,1,1,1,false
