Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:45:02.166,target,pistol,0s,1,1,1,25,50,0.5,false
2,23:45:02.632,target,pistol,0s,1,1,1,25,50,0.5,false
3,23:45:03.107,target,pistol,0s,1,1,1,25,50,0.5,false
4,23:45:03.499,target,pistol,0s,1,1,1,25,50,0.5,false
5,23:45:03.815,target,pistol,0s,1,1,1,25,50,0.5,false
6,23:45:04.274,target,pistol,0s,1,1,1,25,50,0.5,false
7,23:45:04.674,target,pistol,0s,1,1,1,25,50,0.5,false
8,23:45:05.075,target,pistol,0.001s,1,1,1,25,50,0.5,false
9,23:45:05.566,target,pistol,0s,1,1,1,25,50,0.5,false
10,23:45:06.175,target,pistol,0.001s,1,1,1,25,50,0.5,false
11,23:45:06.657,target,pistol,0s,1,1,1,25,50,0.5,false
12,23:45:06.999,target,pistol,0s,1,1,1,25,50,0.5,false
13,23:45:07.957,target,pistol,0.391s,2,1,0.5,25,100,0.25,false
14,23:45:08.366,target,pistol,0s,1,1,1,25,50,0.5,false
15,23:45:08.849,target,pistol,0s,1,1,1,25,50,0.5,false
16,23:45:09.433,target,pistol,0s,1,1,1,25,50,0.5,false
17,23:45:10.033,target,pistol,0s,1,1,1,25,50,0.5,false
18,23:45:10.432,target,pistol,0s,1,1,1,25,50,0.5,false
19,23:45:10.858,target,pistol,0s,1,1,1,25,50,0.5,false
20,23:45:11.341,target,pistol,0.001s,1,1,1,25,50,0.5,false
21,23:45:11.757,target,pistol,0s,1,1,1,25,50,0.5,false
22,23:45:12.175,target,pistol,0s,1,1,1,25,50,0.5,false
23,23:45:12.583,target,pistol,0.001s,1,1,1,25,50,0.5,false
24,23:45:12.999,target,pistol,0s,1,1,1,25,50,0.5,false
25,23:45:13.400,target,pistol,0s,1,1,1,25,50,0.5,false
26,23:45:13.999,target,pistol,0s,1,1,1,25,50,0.5,false
27,23:45:14.833,target,pistol,0.409s,2,1,0.5,25,100,0.25,false
28,23:45:15.216,target,pistol,0s,1,1,1,25,50,0.5,false
29,23:45:15.591,target,pistol,0s,1,1,1,25,50,0.5,false
30,23:45:16.008,target,pistol,0s,1,1,1,25,50,0.5,false
31,23:45:16.824,target,pistol,0.508s,2,1,0.5,25,100,0.25,false
32,23:45:17.208,target,pistol,0s,1,1,1,25,50,0.5,false
33,23:45:17.557,target,pistol,0s,1,1,1,25,50,0.5,false
34,23:45:17.958,target,pistol,0.001s,1,1,1,25,50,0.5,false
35,23:45:18.399,target,pistol,0s,1,1,1,25,50,0.5,false
36,23:45:18.724,target,pistol,0s,1,1,1,25,50,0.5,false
37,23:45:19.699,target,pistol,0.591s,3,1,0.333,25,150,0.167,false
38,23:45:20.042,target,pistol,0.001s,1,1,1,25,50,0.5,false
39,23:45:20.899,target,pistol,0.324s,2,1,0.5,25,100,0.25,false
40,23:45:21.333,target,pistol,0s,1,1,1,25,50,0.5,false
41,23:45:21.691,target,pistol,0s,1,1,1,25,50,0.5,false
42,23:45:22.491,target,pistol,0s,1,1,1,25,50,0.5,false
43,23:45:22.825,target,pistol,0s,1,1,1,25,50,0.5,false
44,23:45:23.316,target,pistol,0s,1,1,1,25,50,0.5,false
45,23:45:23.799,target,pistol,0s,1,1,1,25,50,0.5,false
46,23:45:24.433,target,pistol,0.001s,1,1,1,25,50,0.5,false
47,23:45:24.841,target,pistol,0s,1,1,1,25,50,0.5,false
