Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:58:00.972,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,20:58:01.486,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,20:58:02.001,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,20:58:02.636,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,20:58:03.121,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,20:58:03.671,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,20:58:04.244,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
8,20:58:06.571,test,pistol,1.866s,6,1,0.167,1000,12000,0.083,false
9,20:58:07.267,test,pistol,0.315s,2,1,0.5,1000,4000,0.25,false
10,20:58:08.115,test,pistol,0.272s,2,1,0.5,1000,4000,0.25,false
11,20:58:08.629,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,20:58:09.029,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
13,20:58:09.802,test,pistol,0.31s,2,1,0.5,1000,4000,0.25,false
14,20:58:10.233,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,20:58:10.912,test,pistol,0.311s,2,1,0.5,1000,4000,0.25,false
16,20:58:11.226,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,20:58:14.446,test,pistol,2.701s,8,1,0.125,1000,16000,0.062,false
18,20:58:14.995,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,20:58:15.760,test,pistol,0.378s,2,1,0.5,1000,4000,0.25,false
20,20:58:17.221,test,pistol,1.021s,4,1,0.25,1000,8000,0.125,false
21,20:58:17.638,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,20:58:18.391,test,pistol,0.201s,2,1,0.5,1000,4000,0.25,false
23,20:58:18.902,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,20:58:19.293,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,20:58:20.298,test,pistol,0.602s,3,1,0.333,1000,6000,0.167,false
26,20:58:20.971,test,pistol,0.141s,2,1,0.5,1000,4000,0.25,false
27,20:58:22.261,test,pistol,1.15s,4,1,0.25,1000,8000,0.125,false
28,20:58:22.652,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,20:58:24.099,test,pistol,1.039s,4,1,0.25,1000,8000,0.125,false
30,20:58:24.532,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,20:58:25.084,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,20:58:26.703,test,pistol,1.094s,4,1,0.25,1000,8000,0.125,false
33,20:58:27.103,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,20:58:28.469,test,pistol,0.639s,3,1,0.333,1000,6000,0.167,false
35,20:58:29.274,test,pistol,0.236s,2,1,0.5,1000,4000,0.25,false
36,20:58:29.747,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,20:58:30.188,test,pistol,0s,1,1,1,1000,2000,0.5,false
38,20:58:30.855,test,pistol,0.309s,2,1,0.5,1000,4000,0.25,false
39,20:58:31.201,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,20:58:31.610,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,20:58:31.983,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,20:58:32.740,test,pistol,0.219s,2,1,0.5,1000,4000,0.25,false
43,20:58:33.540,test,pistol,0.206s,2,1,0.5,1000,4000,0.25,false
44,20:58:33.894,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,20:58:34.223,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,20:58:34.850,test,pistol,0s,1,1,1,1000,2000,0.5,false
47,20:58:36.146,test,pistol,0.779s,4,1,0.25,1000,8000,0.125,false
48,20:58:36.702,test,pistol,0.199s,2,1,0.5,1000,4000,0.25,false
49,20:58:37.093,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,20:58:37.643,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
51,20:58:38.046,test,pistol,0s,1,1,1,1000,2000,0.5,false
52,20:58:38.385,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,20:58:39.319,test,pistol,0.514s,2,1,0.5,1000,4000,0.25,false
54,20:58:39.771,test,pistol,0s,1,1,1,1000,2000,0.5,false
55,20:58:40.298,test,pistol,0s,1,1,1,1000,2000,0.5,false
56,21:08:03.552,test,pistol,562.743s,2,1,0.5,1000,4000,0.25,false
57,21:08:04.049,test,pistol,0s,1,1,1,1000,2000,0.5,false
58,21:08:04.506,test,pistol,0s,1,1,1,1000,2000,0.5,false
59,21:08:04.893,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,21:08:05.812,test,pistol,0.245s,2,1,0.5,1000,4000,0.25,false
61,21:08:06.758,test,pistol,0.456s,2,1,0.5,1000,4000,0.25,false
62,21:08:07.120,test,pistol,0s,1,1,1,1000,2000,0.5,false
63,21:08:07.981,test,pistol,0.245s,2,1,0.5,1000,4000,0.25,false
64,21:08:09.271,test,pistol,0.716s,3,1,0.333,1000,6000,0.167,false
65,21:08:09.691,test,pistol,0s,1,1,1,1000,2000,0.5,false
66,21:08:10.118,test,pistol,0s,1,1,1,1000,2000,0.5,false
67,21:08:10.502,test,pistol,0s,1,1,1,1000,2000,0.5,false
68,21:08:11.244,test,pistol,0.258s,2,1,0.5,1000,4000,0.25,false
69,21:08:11.923,test,pistol,0.244s,2,1,0.5,1000,4000,0.25,false
70,21:08:12.627,test,pistol,0.332s,2,1,0.5,1000,4000,0.25,false
71,21:08:13.128,test,pistol,0s,1,1,1,1000,2000,0.5,false
72,21:08:13.531,test,pistol,0s,1,1,1,1000,2000,0.5,false
73,21:08:13.929,test,pistol,0s,1,1,1,1000,2000,0.5,false
74,21:08:14.398,test,pistol,0s,1,1,1,1000,2000,0.5,false
75,21:08:14.889,test,pistol,0s,1,1,1,1000,2000,0.5,false
76,21:08:15.587,test,pistol,0.228s,2,1,0.5,1000,4000,0.25,false
77,21:08:16.600,test,pistol,0.566s,2,1,0.5,1000,4000,0.25,false
78,21:08:17.570,test,pistol,0.519s,2,1,0.5,1000,4000,0.25,false
79,21:08:18.100,test,pistol,0s,1,1,1,1000,2000,0.5,false
80,21:08:18.713,test,pistol,0.21s,2,1,0.5,1000,4000,0.25,false
81,21:08:19.308,test,pistol,0.225s,2,1,0.5,1000,4000,0.25,false
82,21:08:20.484,test,pistol,0.848s,3,1,0.333,1000,6000,0.167,false
83,21:08:20.977,test,pistol,0s,1,1,1,1000,2000,0.5,false
84,21:08:21.928,test,pistol,0.515s,2,1,0.5,1000,4000,0.25,false
85,21:08:24.433,test,pistol,0s,1,1,1,1000,2000,0.5,false
86,21:08:24.824,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
87,21:08:25.283,test,pistol,0s,1,1,1,1000,2000,0.5,false
88,21:08:26.055,test,pistol,0.26s,2,1,0.5,1000,4000,0.25,false
89,21:08:27.646,test,pistol,1.228s,4,1,0.25,1000,8000,0.125,false
90,21:08:28.010,test,pistol,0s,1,1,1,1000,2000,0.5,false
91,21:08:28.490,test,pistol,0s,1,1,1,1000,2000,0.5,false
92,21:08:29.575,test,pistol,0.566s,3,1,0.333,1000,6000,0.167,false
93,21:08:30.264,test,pistol,0s,1,1,1,1000,2000,0.5,false
94,21:08:31.821,test,pistol,1.18s,4,1,0.25,1000,8000,0.125,false
95,21:08:32.205,test,pistol,0s,1,1,1,1000,2000,0.5,false
