Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:11:10.188,target,BB Gun,0s,1,1,1,1,1,1,false
2,23:11:11.376,target,BB Gun,0.88s,4,1,0.25,1,4,0.25,false
3,23:11:11.612,target,BB Gun,0s,1,1,1,1,1,1,false
4,23:11:11.937,target,BB Gun,0s,1,1,1,1,1,1,false
5,23:11:12.233,target,BB Gun,0s,1,1,1,1,1,1,false
6,23:11:12.484,target,BB Gun,0s,1,1,1,1,1,1,false
7,23:11:12.702,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,23:11:13.139,target,BB Gun,0s,1,1,1,1,1,1,false
9,23:11:13.428,target,BB Gun,0s,1,1,1,1,1,1,false
10,23:11:13.767,target,BB Gun,0s,1,1,1,1,1,1,false
11,23:11:13.975,target,BB Gun,0s,1,1,1,1,1,1,false
12,23:11:14.250,target,BB Gun,0s,1,1,1,1,1,1,false
13,23:11:14.549,target,BB Gun,0s,1,1,1,1,1,1,false
14,23:11:15.206,target,BB Gun,0.342s,2,1,0.5,1,2,0.5,false
15,23:11:15.828,target,BB Gun,0.273s,2,1,0.5,1,2,0.5,false
16,23:11:16.414,target,BB Gun,0.255s,2,1,0.5,1,2,0.5,false
17,23:11:16.692,target,BB Gun,0s,1,1,1,1,1,1,false
18,23:11:16.984,target,BB Gun,0s,1,1,1,1,1,1,false
19,23:11:17.355,target,BB Gun,0s,1,1,1,1,1,1,false
20,23:11:17.626,target,BB Gun,0s,1,1,1,1,1,1,false
21,23:11:17.856,target,BB Gun,0s,1,1,1,1,1,1,false
22,23:11:18.205,target,BB Gun,0s,1,1,1,1,1,1,false
23,23:11:18.574,target,BB Gun,0s,1,1,1,1,1,1,false
24,23:11:18.940,target,BB Gun,0.001s,1,1,1,1,1,1,false
25,23:11:19.201,target,BB Gun,0s,1,1,1,1,1,1,false
26,23:11:19.457,target,BB Gun,0s,1,1,1,1,1,1,false
27,23:11:19.698,target,BB Gun,0s,1,1,1,1,1,1,false
28,23:11:20.129,target,BB Gun,0s,1,1,1,1,1,1,false
29,23:11:20.379,target,BB Gun,0s,1,1,1,1,1,1,false
30,23:11:20.698,target,BB Gun,0s,1,1,1,1,1,1,false
31,23:11:21.137,target,BB Gun,0s,1,1,1,1,1,1,false
32,23:11:21.425,target,BB Gun,0s,1,1,1,1,1,1,false
33,23:11:21.628,target,BB Gun,0s,1,1,1,1,1,1,false
34,23:11:22.014,target,BB Gun,0.001s,1,1,1,1,1,1,false
35,23:11:22.272,target,BB Gun,0s,1,1,1,1,1,1,false
36,23:11:22.568,target,BB Gun,0.001s,1,1,1,1,1,1,false
37,23:11:22.802,target,BB Gun,0s,1,1,1,1,1,1,false
38,23:11:23.041,target,BB Gun,0s,1,1,1,1,1,1,false
39,23:11:23.545,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,23:11:23.804,target,BB Gun,0s,1,1,1,1,1,1,false
41,23:11:24.166,target,BB Gun,0s,1,1,1,1,1,1,false
42,23:11:24.424,target,BB Gun,0s,1,1,1,1,1,1,false
43,23:11:24.773,target,BB Gun,0s,1,1,1,1,1,1,false
44,23:11:25.032,target,BB Gun,0s,1,1,1,1,1,1,false
45,23:11:25.411,target,BB Gun,0s,1,1,1,1,1,1,false
46,23:11:25.710,target,BB Gun,0.001s,1,1,1,1,1,1,false
47,23:11:25.901,target,BB Gun,0s,1,1,1,1,1,1,false
48,23:11:26.549,target,BB Gun,0.336s,2,1,0.5,1,2,0.5,false
49,23:11:26.787,target,BB Gun,0s,1,1,1,1,1,1,false
50,23:11:27.076,target,BB Gun,0s,1,1,1,1,1,1,false
51,23:11:27.379,target,BB Gun,0s,1,1,1,1,1,1,false
52,23:11:27.707,target,BB Gun,0s,1,1,1,1,1,1,false
53,23:11:27.963,target,BB Gun,0s,1,1,1,1,1,1,false
54,23:11:28.489,target,BB Gun,0s,1,1,1,1,1,1,false
55,23:11:28.755,target,BB Gun,0s,1,1,1,1,1,1,false
56,23:11:28.993,target,BB Gun,0s,1,1,1,1,1,1,false
57,23:11:29.219,target,BB Gun,0.001s,1,1,1,1,1,1,false
58,23:11:29.548,target,BB Gun,0s,1,1,1,1,1,1,false
59,23:11:29.769,target,BB Gun,0s,1,1,1,1,1,1,false
60,23:11:30.065,target,BB Gun,0s,1,1,1,1,1,1,false
61,23:11:30.307,target,BB Gun,0s,1,1,1,1,1,1,false
62,23:11:30.706,target,BB Gun,0s,1,1,1,1,1,1,false
63,23:11:30.917,target,BB Gun,0s,1,1,1,1,1,1,false
64,23:11:31.407,target,BB Gun,0s,1,1,1,1,1,1,false
