Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:59:45.962,target,pistol,0s,1,1,1,25,50,0.5,false
2,03:59:46.124,target,pistol,0s,1,1,1,25,50,0.5,false
3,03:59:46.309,target,pistol,0.001s,1,1,1,25,50,0.5,false
4,03:59:46.527,target,pistol,0s,1,1,1,25,50,0.5,false
5,03:59:46.713,target,pistol,0s,1,1,1,25,50,0.5,false
6,03:59:46.901,target,pistol,0.001s,1,1,1,25,50,0.5,false
7,03:59:47.116,target,pistol,0s,1,1,1,25,50,0.5,false
8,03:59:47.324,target,pistol,0s,1,1,1,25,50,0.5,false
9,03:59:47.512,target,pistol,0.001s,1,1,1,25,50,0.5,false
10,03:59:47.694,target,pistol,0s,1,1,1,25,50,0.5,false
11,03:59:47.903,target,pistol,0s,1,1,1,25,50,0.5,false
12,03:59:48.104,target,pistol,0s,1,1,1,25,50,0.5,false
13,03:59:48.318,target,pistol,0s,1,1,1,25,50,0.5,false
14,03:59:48.535,target,pistol,0.001s,1,1,1,25,50,0.5,false
15,03:59:48.728,target,pistol,0s,1,1,1,25,50,0.5,false
16,03:59:48.937,target,pistol,0s,1,1,1,25,50,0.5,false
17,03:59:49.170,target,pistol,0s,1,1,1,25,50,0.5,false
18,03:59:49.377,target,pistol,0s,1,1,1,25,50,0.5,false
19,03:59:49.583,target,pistol,0s,1,1,1,25,50,0.5,false
20,03:59:49.803,target,pistol,0.001s,1,1,1,25,50,0.5,false
21,03:59:49.948,target,pistol,0s,1,1,1,25,50,0.5,false
22,03:59:50.123,target,pistol,0.001s,1,1,1,25,50,0.5,false
23,03:59:50.310,target,pistol,0s,1,1,1,25,50,0.5,false
24,03:59:50.512,target,pistol,0s,1,1,1,25,50,0.5,false
25,03:59:50.675,target,pistol,0.001s,1,1,1,25,50,0.5,false
26,03:59:50.862,target,pistol,0s,1,1,1,25,50,0.5,false
27,03:59:51.046,target,pistol,0s,1,1,1,25,50,0.5,false
28,03:59:51.219,target,pistol,0s,1,1,1,25,50,0.5,false
29,03:59:51.429,target,pistol,0s,1,1,1,25,50,0.5,false
30,03:59:51.594,target,pistol,0s,1,1,1,25,50,0.5,false
31,03:59:51.990,target,pistol,0.216s,2,1,0.5,25,100,0.25,false
32,03:59:52.138,target,pistol,0s,1,1,1,25,50,0.5,false
33,03:59:52.356,target,pistol,0.001s,1,1,1,25,50,0.5,false
34,03:59:52.736,target,pistol,0.148s,2,1,0.5,25,100,0.25,false
35,03:59:52.954,target,pistol,0s,1,1,1,25,50,0.5,false
36,03:59:53.112,target,pistol,0s,1,1,1,25,50,0.5,false
37,03:59:53.306,target,pistol,0.001s,1,1,1,25,50,0.5,false
38,03:59:53.497,target,pistol,0s,1,1,1,25,50,0.5,false
39,03:59:53.669,target,pistol,0s,1,1,1,25,50,0.5,false
40,03:59:53.847,target,pistol,0s,1,1,1,25,50,0.5,false
41,03:59:54.005,target,pistol,0s,1,1,1,25,50,0.5,false
42,03:59:54.191,target,pistol,0s,1,1,1,25,50,0.5,false
43,03:59:54.372,target,pistol,0.001s,1,1,1,25,50,0.5,false
44,03:59:54.574,target,pistol,0s,1,1,1,25,50,0.5,false
45,03:59:54.755,target,pistol,0.001s,1,1,1,25,50,0.5,false
46,03:59:54.974,target,pistol,0s,1,1,1,25,50,0.5,false
47,03:59:55.154,target,pistol,0s,1,1,1,25,50,0.5,false
48,03:59:55.356,target,pistol,0s,1,1,1,25,50,0.5,false
49,03:59:55.547,target,pistol,0s,1,1,1,25,50,0.5,false
50,03:59:55.697,target,pistol,0s,1,1,1,25,50,0.5,false
51,03:59:55.949,target,pistol,0.001s,1,1,1,25,50,0.5,false
52,03:59:56.143,target,pistol,0s,1,1,1,25,50,0.5,false
53,03:59:56.336,target,pistol,0s,1,1,1,25,50,0.5,false
54,03:59:56.544,target,pistol,0.001s,1,1,1,25,50,0.5,false
55,03:59:56.716,target,pistol,0.001s,1,1,1,25,50,0.5,false
56,03:59:56.894,target,pistol,0s,1,1,1,25,50,0.5,false
57,03:59:57.093,target,pistol,0.001s,1,1,1,25,50,0.5,false
58,03:59:57.276,target,pistol,0s,1,1,1,25,50,0.5,false
59,03:59:57.428,target,pistol,0s,1,1,1,25,50,0.5,false
60,03:59:57.657,target,pistol,0s,1,1,1,25,50,0.5,false
61,03:59:57.835,target,pistol,0s,1,1,1,25,50,0.5,false
62,03:59:58.228,target,pistol,0.269s,2,1,0.5,25,100,0.25,false
63,03:59:58.619,target,pistol,0.212s,2,1,0.5,25,100,0.25,false
64,03:59:58.819,target,pistol,0.001s,1,1,1,25,50,0.5,false
65,03:59:58.991,target,pistol,0.001s,1,1,1,25,50,0.5,false
66,03:59:59.176,target,pistol,0s,1,1,1,25,50,0.5,false
67,03:59:59.390,target,pistol,0s,1,1,1,25,50,0.5,false
68,03:59:59.544,target,pistol,0.001s,1,1,1,25,50,0.5,false
69,03:59:59.738,target,pistol,0s,1,1,1,25,50,0.5,false
70,03:59:59.919,target,pistol,0s,1,1,1,25,50,0.5,false
71,04:00:00.112,target,pistol,0s,1,1,1,25,50,0.5,false
72,04:00:00.283,target,pistol,0.001s,1,1,1,25,50,0.5,false
73,04:00:00.444,target,pistol,0s,1,1,1,25,50,0.5,false
74,04:00:00.636,target,pistol,0s,1,1,1,25,50,0.5,false
75,04:00:00.823,target,pistol,0s,1,1,1,25,50,0.5,false
76,04:00:01.041,target,pistol,0s,1,1,1,25,50,0.5,false
77,04:00:01.223,target,pistol,0s,1,1,1,25,50,0.5,false
78,04:00:01.421,target,pistol,0s,1,1,1,25,50,0.5,false
79,04:00:01.607,target,pistol,0s,1,1,1,25,50,0.5,false
80,04:00:01.797,target,pistol,0.001s,1,1,1,25,50,0.5,false
81,04:00:01.986,target,pistol,0s,1,1,1,25,50,0.5,false
82,04:00:02.150,target,pistol,0s,1,1,1,25,50,0.5,false
83,04:00:02.335,target,pistol,0s,1,1,1,25,50,0.5,false
84,04:00:02.523,target,pistol,0s,1,1,1,25,50,0.5,false
85,04:00:02.762,target,pistol,0s,1,1,1,25,50,0.5,false
86,04:00:02.934,target,pistol,0.001s,1,1,1,25,50,0.5,false
87,04:00:03.115,target,pistol,0s,1,1,1,25,50,0.5,false
88,04:00:03.314,target,pistol,0.001s,1,1,1,25,50,0.5,false
89,04:00:03.509,target,pistol,0s,1,1,1,25,50,0.5,false
90,04:00:03.686,target,pistol,0s,1,1,1,25,50,0.5,false
91,04:00:03.878,target,pistol,0s,1,1,1,25,50,0.5,false
92,04:00:04.050,target,pistol,0s,1,1,1,25,50,0.5,false
93,04:00:04.489,target,pistol,0.215s,2,1,0.5,25,100,0.25,false
94,04:00:04.672,target,pistol,0s,1,1,1,25,50,0.5,false
95,04:00:04.849,target,pistol,0s,1,1,1,25,50,0.5,false
96,04:00:05.249,target,pistol,0.197s,2,1,0.5,25,100,0.25,false
97,04:00:05.427,target,pistol,0s,1,1,1,25,50,0.5,false
98,04:00:05.613,target,pistol,0s,1,1,1,25,50,0.5,false
99,04:00:05.845,target,pistol,0s,1,1,1,25,50,0.5,false
100,04:00:06.015,target,pistol,0s,1,1,1,25,50,0.5,false
101,04:00:06.200,target,pistol,0s,1,1,1,25,50,0.5,false
102,04:00:06.376,target,pistol,0s,1,1,1,25,50,0.5,false
103,04:00:06.581,target,pistol,0s,1,1,1,25,50,0.5,false
104,04:00:06.790,target,pistol,0s,1,1,1,25,50,0.5,false
105,04:00:06.965,target,pistol,0s,1,1,1,25,50,0.5,false
106,04:00:07.144,target,pistol,0s,1,1,1,25,50,0.5,false
107,04:00:07.538,target,pistol,0.19s,2,1,0.5,25,100,0.25,false
108,04:00:07.759,target,pistol,0s,1,1,1,25,50,0.5,false
109,04:00:07.914,target,pistol,0s,1,1,1,25,50,0.5,false
110,04:00:08.109,target,pistol,0s,1,1,1,25,50,0.5,false
111,04:00:08.302,target,pistol,0s,1,1,1,25,50,0.5,false
112,04:00:08.449,target,pistol,0s,1,1,1,25,50,0.5,false
113,04:00:08.889,target,pistol,0.185s,2,1,0.5,25,100,0.25,false
114,04:00:09.043,target,pistol,0s,1,1,1,25,50,0.5,false
115,04:00:09.272,target,pistol,0s,1,1,1,25,50,0.5,false
116,04:00:09.465,target,pistol,0s,1,1,1,25,50,0.5,false
117,04:00:09.631,target,pistol,0s,1,1,1,25,50,0.5,false
118,04:00:09.831,target,pistol,0s,1,1,1,25,50,0.5,false
119,04:00:10.040,target,pistol,0s,1,1,1,25,50,0.5,false
120,04:00:10.261,target,pistol,0s,1,1,1,25,50,0.5,false
121,04:00:10.487,target,pistol,0.001s,1,1,1,25,50,0.5,false
122,04:00:10.663,target,pistol,0.001s,1,1,1,25,50,0.5,false
123,04:00:10.858,target,pistol,0s,1,1,1,25,50,0.5,false
124,04:00:11.057,target,pistol,0s,1,1,1,25,50,0.5,false
125,04:00:11.330,target,pistol,0s,1,1,1,25,50,0.5,false
126,04:00:11.512,target,pistol,0s,1,1,1,25,50,0.5,false
127,04:00:11.714,target,pistol,0s,1,1,1,25,50,0.5,false
128,04:00:11.911,target,pistol,0s,1,1,1,25,50,0.5,false
129,04:00:12.121,target,pistol,0s,1,1,1,25,50,0.5,false
130,04:00:12.297,target,pistol,0s,1,1,1,25,50,0.5,false
131,04:00:12.483,target,pistol,0s,1,1,1,25,50,0.5,false
132,04:00:12.699,target,pistol,0s,1,1,1,25,50,0.5,false
133,04:00:12.887,target,pistol,0.001s,1,1,1,25,50,0.5,false
134,04:00:13.094,target,pistol,0s,1,1,1,25,50,0.5,false
135,04:00:13.496,target,pistol,0.181s,2,1,0.5,25,100,0.25,false
136,04:00:13.680,target,pistol,0.001s,1,1,1,25,50,0.5,false
137,04:00:13.862,target,pistol,0s,1,1,1,25,50,0.5,false
138,04:00:14.070,target,pistol,0s,1,1,1,25,50,0.5,false
139,04:00:14.249,target,pistol,0s,1,1,1,25,50,0.5,false
140,04:00:14.467,target,pistol,0s,1,1,1,25,50,0.5,false
141,04:00:14.641,target,pistol,0s,1,1,1,25,50,0.5,false
142,04:00:14.863,target,pistol,0s,1,1,1,25,50,0.5,false
143,04:00:15.067,target,pistol,0s,1,1,1,25,50,0.5,false
144,04:00:15.286,target,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,153,144,3600.0,7650.0,

Kills:,144
Deaths:,0
Fight Time:,1.839
Avg TTK:,0.208
Damage Done:,3600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,144.0
Scenario:,3 Tile Jumbo Tile Frenzy
Hash:,49808131d2aaf9e806b6693c53ed4961
Game Version:,v2.8.6
Challenge Start:,03:59:45.465
Pause Count:,33
Pause Duration:,645

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,295.947632
Resolution Scale,100.0
