Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:06:06.912,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,22:06:07.377,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
3,22:06:07.847,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
4,22:06:08.307,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,22:06:08.969,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,22:06:09.487,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,22:06:09.961,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
8,22:06:10.430,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,22:06:10.806,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,22:06:11.322,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
11,22:06:11.757,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,22:06:12.609,TileFrenzy Sphere,16ML9 - 080,0.426s,2,1,0.5,1,2,0.5,false
13,22:06:13.048,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
14,22:06:13.443,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,22:06:13.928,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,22:06:14.392,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,22:06:14.886,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,22:06:15.357,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,22:06:15.822,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,22:06:16.643,TileFrenzy Sphere,16ML9 - 080,0.44s,2,1,0.5,1,2,0.5,false
21,22:06:17.058,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
22,22:06:17.551,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
23,22:06:17.980,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
24,22:06:18.366,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
25,22:06:18.827,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
26,22:06:19.315,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
27,22:06:19.749,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
28,22:06:21.483,TileFrenzy Sphere,16ML9 - 080,1.293s,4,1,0.25,1,4,0.25,false
29,22:06:21.904,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
30,22:06:22.380,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
31,22:06:22.778,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
32,22:06:23.196,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,22:06:23.912,TileFrenzy Sphere,16ML9 - 080,0.218s,2,1,0.5,1,2,0.5,false
34,22:06:24.444,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
35,22:06:25.913,TileFrenzy Sphere,16ML9 - 080,1.038s,3,1,0.333,1,3,0.333,false
36,22:06:26.427,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
37,22:06:26.876,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
38,22:06:27.226,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
39,22:06:27.628,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
40,22:06:28.073,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
41,22:06:29.119,TileFrenzy Sphere,16ML9 - 080,0.491s,2,1,0.5,1,2,0.5,false
42,22:06:29.575,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
43,22:06:29.978,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
44,22:06:30.523,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
45,22:06:30.993,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
46,22:06:31.421,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
47,22:06:31.840,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
48,22:06:32.311,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
49,22:06:33.258,TileFrenzy Sphere,16ML9 - 080,0.525s,2,1,0.5,1,2,0.5,false
50,22:06:33.662,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
51,22:06:34.247,TileFrenzy Sphere,16ML9 - 080,0.188s,2,1,0.5,1,2,0.5,false
52,22:06:34.703,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
53,22:06:35.093,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
54,22:06:35.573,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
55,22:06:36.257,TileFrenzy Sphere,16ML9 - 080,0.211s,2,1,0.5,1,2,0.5,false
56,22:06:37.181,TileFrenzy Sphere,16ML9 - 080,0.426s,2,1,0.5,1,2,0.5,false
57,22:06:37.584,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
58,22:06:38.008,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
59,22:06:38.414,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
60,22:06:38.885,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
61,22:06:39.302,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
62,22:06:41.100,TileFrenzy Sphere,16ML9 - 080,1.392s,4,1,0.25,1,4,0.25,false
63,22:06:41.523,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
64,22:06:42.568,TileFrenzy Sphere,16ML9 - 080,0.554s,2,1,0.5,1,2,0.5,false
65,22:06:43.018,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
66,22:06:43.387,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
67,22:06:43.782,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
68,22:06:44.255,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
69,22:06:44.651,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
70,22:06:45.068,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
71,22:06:45.621,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
72,22:06:45.974,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
73,22:06:46.491,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
74,22:06:47.071,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
75,22:06:47.530,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
76,22:06:48.004,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
77,22:06:48.437,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
78,22:06:49.084,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
79,22:06:49.461,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
80,22:06:49.929,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
81,22:06:50.328,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
82,22:06:50.722,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
83,22:06:51.328,TileFrenzy Sphere,16ML9 - 080,0.179s,2,1,0.5,1,2,0.5,false
84,22:06:51.803,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
85,22:06:52.675,TileFrenzy Sphere,16ML9 - 080,0.46s,2,1,0.5,1,2,0.5,false
86,22:06:53.107,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
87,22:06:53.581,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
