Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:07:44.363,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,03:07:44.806,TileFrenzy Sphere,16ML9 - 080,0.334s,2,1,0.5,1,2,0.5,false
3,03:07:45.242,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
4,03:07:45.525,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,03:07:45.831,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
6,03:07:46.202,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,03:07:46.544,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
8,03:07:46.896,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,03:07:47.275,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,03:07:47.593,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,03:07:47.920,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,03:07:48.299,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
13,03:07:48.586,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,03:07:49.331,TileFrenzy Sphere,16ML9 - 080,0.413s,2,1,0.5,1,2,0.5,false
15,03:07:50.202,TileFrenzy Sphere,16ML9 - 080,0.465s,2,1,0.5,1,2,0.5,false
16,03:07:50.545,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
17,03:07:50.808,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,03:07:51.134,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,03:07:51.417,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,03:07:51.751,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
21,03:07:52.411,TileFrenzy Sphere,16ML9 - 080,0.297s,2,1,0.5,1,2,0.5,false
