Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:00:15.107,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,17:00:15.908,TileFrenzy Sphere,16ML9 - 080,0.354s,2,1,0.5,1,2,0.5,false
3,17:00:16.280,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
4,17:00:16.559,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,17:00:16.921,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,17:00:17.243,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,17:00:17.522,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
8,17:00:17.888,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,17:00:18.270,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,17:00:18.576,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,17:00:18.939,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,17:00:19.678,TileFrenzy Sphere,16ML9 - 080,0.424s,2,1,0.5,1,2,0.5,false
13,17:00:19.886,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,17:00:20.238,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,17:00:20.752,TileFrenzy Sphere,16ML9 - 080,0.306s,2,1,0.5,1,2,0.5,false
16,17:00:21.107,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,17:00:21.356,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,17:00:21.671,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,17:00:22.129,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,17:00:22.863,TileFrenzy Sphere,16ML9 - 080,0.416s,2,1,0.5,1,2,0.5,false
21,17:00:23.436,TileFrenzy Sphere,16ML9 - 080,0.264s,2,1,0.5,1,2,0.5,false
22,17:00:23.802,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
23,17:00:24.618,TileFrenzy Sphere,16ML9 - 080,0.453s,2,1,0.5,1,2,0.5,false
24,17:00:24.970,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
25,17:00:25.382,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
26,17:00:27.923,TileFrenzy Sphere,16ML9 - 080,2.211s,2,1,0.5,1,2,0.5,false
27,17:00:28.880,TileFrenzy Sphere,16ML9 - 080,0.289s,2,1,0.5,1,2,0.5,false
28,17:00:29.165,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
29,17:00:29.504,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
30,17:00:30.282,TileFrenzy Sphere,16ML9 - 080,0.409s,2,1,0.5,1,2,0.5,false
31,17:00:30.702,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
32,17:00:31.182,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,17:00:31.502,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
34,17:00:31.857,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
35,17:00:32.928,TileFrenzy Sphere,16ML9 - 080,0.642s,2,1,0.5,1,2,0.5,false
36,17:00:33.277,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
37,17:00:33.996,TileFrenzy Sphere,16ML9 - 080,0.367s,2,1,0.5,1,2,0.5,false
38,17:00:34.308,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
39,17:00:34.708,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
40,17:00:35.044,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
41,17:00:35.330,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
42,17:00:35.615,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
43,17:00:35.954,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
44,17:00:36.196,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
45,17:00:36.492,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
46,17:00:37.009,TileFrenzy Sphere,16ML9 - 080,0.221s,2,1,0.5,1,2,0.5,false
47,17:00:37.287,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
48,17:00:37.626,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
49,17:00:37.943,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
50,17:00:38.717,TileFrenzy Sphere,16ML9 - 080,0.443s,2,1,0.5,1,2,0.5,false
51,17:00:39.077,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
52,17:00:39.503,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
53,17:00:39.885,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
54,17:00:40.193,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
55,17:00:40.577,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
56,17:00:40.898,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
57,17:00:41.254,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
58,17:00:41.942,TileFrenzy Sphere,16ML9 - 080,0.386s,2,1,0.5,1,2,0.5,false
59,17:00:42.164,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
60,17:00:42.553,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
61,17:00:42.898,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
62,17:00:43.187,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
63,17:00:43.835,TileFrenzy Sphere,16ML9 - 080,0.309s,2,1,0.5,1,2,0.5,false
64,17:00:44.134,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
65,17:00:44.503,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
66,17:00:44.808,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
67,17:00:45.185,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
68,17:00:45.611,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
69,17:00:45.906,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
70,17:00:47.044,TileFrenzy Sphere,16ML9 - 080,0.729s,3,1,0.333,1,3,0.333,false
71,17:00:47.372,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
72,17:00:47.695,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
73,17:00:47.983,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
74,17:00:48.363,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
75,17:00:48.755,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
76,17:00:49.399,TileFrenzy Sphere,16ML9 - 080,0.309s,2,1,0.5,1,2,0.5,false
77,17:00:49.708,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
78,17:00:50.028,TileFrenzy Sphere,16ML9 - 080,0.002s,1,1,1,1,1,1,false
79,17:00:50.655,TileFrenzy Sphere,16ML9 - 080,0.315s,2,1,0.5,1,2,0.5,false
80,17:00:50.921,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
81,17:00:51.558,TileFrenzy Sphere,16ML9 - 080,0.331s,2,1,0.5,1,2,0.5,false
82,17:00:51.887,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
83,17:00:52.259,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
84,17:00:53.006,TileFrenzy Sphere,16ML9 - 080,0.336s,2,1,0.5,1,2,0.5,false
85,17:00:53.342,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
