Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:10:41.978,offsx-y-z-,BB Gun,0.419s,2,1,0.5,1,2,0.5,false
2,22:10:42.465,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
3,22:10:42.975,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
4,22:10:43.536,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
5,22:10:44.068,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
6,22:10:44.492,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
7,22:10:44.917,offsx+y+z+,BB Gun,0.001s,1,1,1,1,1,1,false
8,22:10:45.272,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
9,22:10:46.014,offsx-y+z+,BB Gun,0.399s,2,1,0.5,1,2,0.5,false
10,22:10:46.407,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
11,22:10:46.878,offsx-y+z+,BB Gun,0.339s,2,1,0.5,1,2,0.5,false
12,22:10:47.555,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
13,22:10:48.427,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
14,22:10:48.843,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
15,22:10:49.533,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
16,22:10:50.439,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
17,22:10:50.850,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
18,22:10:51.545,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
19,22:10:52.334,offsx-y-z-,BB Gun,0.194s,2,1,0.5,1,2,0.5,false
20,22:10:52.825,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
21,22:10:53.347,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
22,22:10:53.907,offsx+y+z+,BB Gun,0.462s,2,1,0.5,1,2,0.5,false
23,22:10:54.723,offs,BB Gun,0s,1,1,1,1,1,1,false
24,22:10:55.097,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
25,22:10:55.516,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
26,22:10:55.976,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
27,22:10:56.471,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
28,22:10:56.898,offs,BB Gun,0s,1,1,1,1,1,1,false
29,22:10:57.355,offsx-y-z+,BB Gun,0.001s,1,1,1,1,1,1,false
30,22:10:57.837,offsx+y+z+,BB Gun,0.001s,1,1,1,1,1,1,false
31,22:10:58.257,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
32,22:10:58.651,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
33,22:10:59.068,offsx+y-z-,BB Gun,0.001s,1,1,1,1,1,1,false
34,22:10:59.463,offsx-y+z-,BB Gun,0.001s,1,1,1,1,1,1,false
35,22:10:59.948,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
36,22:11:00.360,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
37,22:11:01.586,offsx-y-z+,BB Gun,0.761s,3,1,0.333,1,3,0.333,false
38,22:11:01.961,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
39,22:11:02.346,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
40,22:11:03.399,offsx-y-z-,BB Gun,0.658s,2,1,0.5,1,2,0.5,false
41,22:11:03.783,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
42,22:11:04.235,offsx+y+z-,BB Gun,0.001s,1,1,1,1,1,1,false
43,22:11:05.060,offsx+y+z-,BB Gun,0.001s,1,1,1,1,1,1,false
44,22:11:05.600,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
45,22:11:06.004,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
46,22:11:06.443,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
47,22:11:06.995,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
48,22:11:07.478,offsx+y+z+,BB Gun,0.001s,1,1,1,1,1,1,false
49,22:11:08.377,offsx-y+z-,BB Gun,0.256s,2,1,0.5,1,2,0.5,false
50,22:11:08.893,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
51,22:11:09.829,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
52,22:11:10.276,offs,BB Gun,0s,1,1,1,1,1,1,false
53,22:11:10.882,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
54,22:11:11.692,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
55,22:11:13.674,offsx-y-z-,BB Gun,1.572s,3,1,0.333,1,3,0.333,false
