Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:45:48.834,air1_far_long,Track Master 100,14.879s,1489,1000,0.672,1000,1489,0.672,false
2,19:46:17.870,air1_far_short,Track Master 100,28.779s,2741,1000,0.365,1000,2741,0.365,false
3,19:46:50.650,air1F_close_long,Track Master 100,32.528s,2965,1000,0.337,1000,2965,0.337,false
4,19:48:02.847,air1F_close_short 7,Track Master 100,71.938s,3729,1000,0.268,1000,3729,0.268,false
5,19:48:36.229,air1F_far_long,Track Master 100,33.125s,3166,1000,0.316,1000,3166,0.316,false
6,19:49:02.040,air_close_short,Track Master 100,25.549s,2350,1000,0.426,1000,2350,0.426,false
7,19:49:44.261,air1F_far_short,Track Master 100,42.201s,4079,1000,0.245,1000,4079,0.245,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,20520,7001,7001.0,20520.0,

Kills:,7
Deaths:,0
Fight Time:,248.998993
Avg TTK:,0
Damage Done:,7001.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
Score:,781.644531
Scenario:,Air Voltaic
Hash:,0d45053cc58f27dda5a5d6fe30ad780d
Game Version:,v2.6.1
Challenge Start:,19:47:24.092
Pause Count:,48
Pause Duration:,899

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,295.31781
Resolution Scale,100.0
