Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:11:59.154,air1_close_long,Track Master 100,15.746s,1576,1000,0.635,1000,1576,0.635,false
2,17:12:19.151,air1_far_long,Track Master 100,19.762s,1731,1000,0.578,1000,1731,0.578,false
3,17:12:46.839,air_close_short,Track Master 100,25.807s,2582,1000,0.387,1000,2582,0.387,false
4,17:13:19.609,air1_far_short,Track Master 100,30.65s,3066,1000,0.326,1000,3066,0.326,false
5,17:13:41.746,air1F_close_long,Track Master 100,20.206s,2022,1000,0.495,1000,2022,0.495,false
6,17:14:03.998,air1F_far_long,Track Master 100,20.286s,2030,1000,0.493,1000,2030,0.493,false
7,17:14:34.072,air1F_close_short,Track Master 100,27.6s,2761,1000,0.362,1000,2761,0.362,false
8,17:15:08.791,air1F_far_short,Track Master 100,32.521s,3220,1000,0.311,1000,3220,0.311,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,18989,8001,8001.0,18989.0,

Kills:,8
Deaths:,0
Fight Time:,192.578003
Avg TTK:,125
Damage Done:,8001.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,793.684631
Scenario:,Air no UFO no SKYBOTS
Hash:,981909ac0525e28575755aed615eef63
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
