Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:50:06.813,High,b180 pistol,0s,1,1,1,50,125,0.4,false
2,18:50:07.890,Low,b180 pistol,0.612s,2,1,0.5,50,250,0.2,false
3,18:50:08.845,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
4,18:50:12.046,Low,b180 pistol,2.692s,4,1,0.25,50,500,0.1,false
5,18:50:12.817,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
6,18:50:13.445,Mid,b180 pistol,0.001s,1,1,1,50,125,0.4,false
7,18:50:14.287,High,b180 pistol,0s,1,1,1,50,125,0.4,false
8,18:50:15.674,Mid,b180 pistol,0.603s,2,1,0.5,50,250,0.2,false
9,18:50:16.509,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
10,18:50:17.198,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
11,18:50:17.824,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
12,18:50:18.479,High,b180 pistol,0s,1,1,1,50,125,0.4,false
13,18:50:19.000,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
14,18:50:19.966,Mid,b180 pistol,0.531s,2,1,0.5,50,250,0.2,false
15,18:50:20.616,High,b180 pistol,0s,1,1,1,50,125,0.4,false
16,18:50:21.475,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
17,18:50:22.909,Low,b180 pistol,0.705s,3,1,0.333,50,375,0.133,false
18,18:50:23.590,Mid,b180 pistol,0.001s,1,1,1,50,125,0.4,false
19,18:50:24.269,Mid,b180 pistol,0.479s,2,1,0.5,50,250,0.2,false
20,18:50:25.655,Low,b180 pistol,0.866s,3,1,0.333,50,375,0.133,false
21,18:50:26.768,High,b180 pistol,0s,1,1,1,50,125,0.4,false
22,18:50:27.252,High,b180 pistol,0s,1,1,1,50,125,0.4,false
23,18:50:28.328,Mid,b180 pistol,0.303s,2,1,0.5,50,250,0.2,false
24,18:50:29.259,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
25,18:50:30.529,Mid,b180 pistol,0.876s,2,1,0.5,50,250,0.2,false
26,18:50:31.021,High,b180 pistol,0.001s,1,1,1,50,125,0.4,false
27,18:50:31.546,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
28,18:50:32.605,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
29,18:50:34.026,High,b180 pistol,0.563s,2,1,0.5,50,250,0.2,false
30,18:50:35.226,Mid,b180 pistol,0.251s,2,1,0.5,50,250,0.2,false
31,18:50:35.601,Mid,b180 pistol,0.001s,1,1,1,50,125,0.4,false
32,18:50:36.076,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
33,18:50:36.854,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
34,18:50:37.779,Low,b180 pistol,0.294s,2,1,0.5,50,250,0.2,false
35,18:50:38.594,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
36,18:50:41.836,High,b180 pistol,2.572s,5,1,0.2,50,625,0.08,false
37,18:50:42.299,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
38,18:50:44.057,Low,b180 pistol,1.146s,3,1,0.333,50,375,0.133,false
39,18:50:45.928,High,b180 pistol,1.408s,3,1,0.333,50,375,0.133,false
40,18:50:47.144,High,b180 pistol,0.563s,3,1,0.333,50,375,0.133,false
41,18:50:49.883,Mid,b180 pistol,2.271s,4,1,0.25,50,500,0.1,false
42,18:50:50.668,Mid,b180 pistol,0.238s,2,1,0.5,50,250,0.2,false
43,18:50:51.351,Low,b180 pistol,0.001s,1,1,1,50,125,0.4,false
44,18:50:52.492,Mid,b180 pistol,0.337s,2,1,0.5,50,250,0.2,false
45,18:50:53.015,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
46,18:50:54.151,Low,b180 pistol,0.451s,2,1,0.5,50,250,0.2,false
47,18:50:55.542,Mid,b180 pistol,0.863s,3,1,0.333,50,375,0.133,false
48,18:50:56.056,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
49,18:50:56.640,High,b180 pistol,0s,1,1,1,50,125,0.4,false
50,18:50:57.174,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
51,18:50:57.749,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
52,18:50:58.227,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
53,18:50:58.712,High,b180 pistol,0s,1,1,1,50,125,0.4,false
54,18:50:59.245,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
55,18:51:00.396,High,b180 pistol,0.611s,2,1,0.5,50,250,0.2,false
56,18:51:01.102,High,b180 pistol,0s,1,1,1,50,125,0.4,false
57,18:51:02.068,Mid,b180 pistol,0.563s,2,1,0.5,50,250,0.2,false
58,18:51:02.876,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
