Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:07:06.991,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
2,22:07:07.640,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
3,22:07:09.599,Pigeon,pistol,1.343s,4,1,0.25,1000,10000,0.1,false
4,22:07:10.065,Pigeon,pistol,0.001s,1,1,1,1000,2500,0.4,false
5,22:07:11.092,Pigeon,pistol,0.232s,2,1,0.5,1000,5000,0.2,false
6,22:07:11.978,Pigeon,pistol,0.466s,2,1,0.5,1000,5000,0.2,false
7,22:07:12.411,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
8,22:07:12.860,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
9,22:07:13.429,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
10,22:07:15.793,Pigeon,pistol,1.857s,4,1,0.25,1000,10000,0.1,false
11,22:07:16.349,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
12,22:07:17.639,Pigeon,pistol,0.862s,2,1,0.5,1000,5000,0.2,false
13,22:07:18.875,Pigeon,pistol,0.753s,2,1,0.5,1000,5000,0.2,false
14,22:07:19.524,Pigeon,pistol,0.001s,1,1,1,1000,2500,0.4,false
15,22:07:20.735,Pigeon,pistol,0.72s,2,1,0.5,1000,5000,0.2,false
16,22:07:21.287,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
17,22:07:22.111,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
18,22:07:22.727,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
19,22:07:23.331,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
20,22:07:24.621,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
21,22:07:26.093,Pigeon,pistol,0.948s,3,1,0.333,1000,7500,0.133,false
22,22:07:27.092,Pigeon,pistol,0.581s,2,1,0.5,1000,5000,0.2,false
23,22:07:27.523,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
24,22:07:27.961,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
25,22:07:29.805,Pigeon,pistol,1.356s,3,1,0.333,1000,7500,0.133,false
26,22:07:30.216,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
27,22:07:30.989,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
28,22:07:31.544,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
29,22:07:33.028,Pigeon,pistol,0.669s,3,1,0.333,1000,7500,0.133,false
30,22:07:33.593,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
31,22:07:34.411,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
32,22:07:34.855,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
33,22:07:35.510,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
34,22:07:36.203,Pigeon,pistol,0.272s,2,1,0.5,1000,5000,0.2,false
35,22:07:37.166,Pigeon,pistol,0.486s,2,1,0.5,1000,5000,0.2,false
36,22:07:38.447,Pigeon,pistol,0.777s,2,1,0.5,1000,5000,0.2,false
37,22:07:39.705,Pigeon,pistol,0s,1,1,1,1000,2500,0.4,false
38,22:07:40.864,Pigeon,pistol,0.687s,3,1,0.333,1000,7500,0.133,false
39,22:07:41.775,Pigeon,pistol,0.303s,2,1,0.5,1000,5000,0.2,false
