Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:55:15.388,Pigeon,LG,0.268s,6,5,0.833,30,36,0.833,false
2,07:55:16.174,Pigeon,LG,0.485s,10,5,0.5,30,60,0.5,false
3,07:55:17.391,Pigeon,LG,0.541s,11,5,0.455,30,66,0.455,false
4,07:55:18.372,Pigeon,LG,0.649s,13,5,0.385,30,78,0.385,false
5,07:55:20.058,Pigeon,LG,1.08s,21,5,0.238,30,126,0.238,false
6,07:55:21.937,Pigeon,LG,1.678s,32,5,0.156,30,192,0.156,false
7,07:55:22.820,Pigeon,LG,0.486s,10,5,0.5,30,60,0.5,false
8,07:55:23.556,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
9,07:55:24.439,Pigeon,LG,0.433s,9,5,0.556,30,54,0.556,false
10,07:55:25.524,Pigeon,LG,0.594s,12,5,0.417,30,72,0.417,false
11,07:55:26.645,Pigeon,LG,0.486s,10,5,0.5,30,60,0.5,false
12,07:55:27.374,Pigeon,LG,0.32s,7,5,0.714,30,42,0.714,false
13,07:55:28.276,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
14,07:55:29.612,Pigeon,LG,0.865s,17,5,0.294,30,102,0.294,false
15,07:55:30.780,Pigeon,LG,0.375s,8,5,0.625,30,48,0.625,false
16,07:55:31.682,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
17,07:55:33.092,Pigeon,LG,0.866s,17,5,0.294,30,102,0.294,false
18,07:55:34.290,Pigeon,LG,0.321s,7,5,0.714,30,42,0.714,false
19,07:55:35.328,Pigeon,LG,0.377s,8,5,0.625,30,48,0.625,false
20,07:55:37.335,Pigeon,LG,1.523s,25,8,0.32,48,150,0.32,false
21,07:55:38.029,Pigeon,LG,0.054s,2,2,1,12,12,1,false
22,07:55:39.858,Pigeon,LG,1.393s,12,5,0.417,30,72,0.417,false
23,07:55:41.005,Pigeon,LG,0.433s,9,5,0.556,30,54,0.556,false
24,07:55:42.362,Pigeon,LG,0.701s,14,5,0.357,30,84,0.357,false
