Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:02:34.311,Quaker Bot Fast Strafes,LG,6.016s,114,50,0.439,300,684,0.439,false
2,19:02:43.899,Quaker Bot Fast Strafes,LG,9.406s,172,50,0.291,300,1032,0.291,false
3,19:02:52.163,Quaker Bot Fast Strafes,LG,6.301s,138,50,0.362,300,828,0.362,false
4,19:02:59.462,Quaker Bot Fast Strafes,LG,7.025s,119,50,0.42,300,714,0.42,false
5,19:03:06.677,Quaker Bot Fast Strafes,LG,6.939s,121,50,0.413,300,726,0.413,false
6,19:03:15.219,Quaker Bot Fast Strafes,LG,8.268s,146,50,0.342,300,876,0.342,false
7,19:03:22.503,Quaker Bot Fast Strafes,LG,7.009s,121,50,0.413,300,726,0.413,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1007,379,2274.0,6042.0,

Kills:,7
Deaths:,0
Fight Time:,50.964001
Avg TTK:,0
Damage Done:,2274.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,2567.565186
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.5.3
Challenge Start:,19:02:27.422
Pause Count:,19
Pause Duration:,90

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.446136
Resolution Scale,100.0
