Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:37:07.455,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
2,17:37:07.845,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
3,17:37:08.193,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
4,17:37:08.576,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
5,17:37:08.898,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
6,17:37:09.273,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
7,17:37:09.629,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
8,17:37:10.025,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
9,17:37:10.398,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
10,17:37:10.747,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
11,17:37:11.122,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
12,17:37:11.555,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
13,17:37:11.851,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
14,17:37:12.546,fireworks_target,pistol,0.35s,2,1,0.5,25,100,0.25,false
15,17:37:12.949,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
16,17:37:13.663,fireworks_target,pistol,0.343s,2,1,0.5,25,100,0.25,false
17,17:37:13.985,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
18,17:37:14.720,fireworks_target,pistol,0.338s,2,1,0.5,25,100,0.25,false
19,17:37:15.049,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
20,17:37:15.392,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
21,17:37:15.754,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
22,17:37:16.434,fireworks_target,pistol,0.321s,2,1,0.5,25,100,0.25,false
23,17:37:16.798,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
24,17:37:17.146,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
25,17:37:17.499,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
26,17:37:17.909,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
27,17:37:18.220,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
28,17:37:18.570,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
29,17:37:18.891,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
30,17:37:19.194,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
31,17:37:19.596,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
32,17:37:20.224,fireworks_target,pistol,0.275s,2,1,0.5,25,100,0.25,false
33,17:37:20.572,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
34,17:37:20.891,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
35,17:37:21.693,fireworks_target,pistol,0.423s,2,1,0.5,25,100,0.25,false
36,17:37:22.451,fireworks_target,pistol,0.408s,2,1,0.5,25,100,0.25,false
37,17:37:22.714,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
38,17:37:23.159,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
39,17:37:23.938,fireworks_target,pistol,0.427s,2,1,0.5,25,100,0.25,false
40,17:37:24.616,fireworks_target,pistol,0.412s,2,1,0.5,25,100,0.25,false
41,17:37:24.959,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
42,17:37:25.465,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
43,17:37:25.825,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
44,17:37:26.147,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
45,17:37:26.526,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
46,17:37:26.892,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
47,17:37:27.245,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
48,17:37:27.613,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
49,17:37:27.936,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
50,17:37:28.251,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
51,17:37:28.600,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
52,17:37:29.326,fireworks_target,pistol,0.399s,2,1,0.5,25,100,0.25,false
53,17:37:29.655,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
54,17:37:31.063,fireworks_target,pistol,1.019s,4,1,0.25,25,200,0.125,false
55,17:37:31.396,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
56,17:37:32.181,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
57,17:37:32.583,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
58,17:37:32.967,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
59,17:37:33.279,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
60,17:37:33.645,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
61,17:37:33.984,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
62,17:37:34.262,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
63,17:37:34.675,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
64,17:37:34.983,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
65,17:37:36.393,fireworks_target,pistol,1.105s,4,1,0.25,25,200,0.125,false
66,17:37:36.768,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
67,17:37:37.175,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
68,17:37:37.498,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
69,17:37:37.833,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
70,17:37:38.216,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
71,17:37:38.524,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
72,17:37:38.877,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
73,17:37:39.179,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
74,17:37:39.551,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
75,17:37:39.903,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
76,17:37:40.226,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
77,17:37:40.551,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
78,17:37:40.843,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
79,17:37:41.213,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
80,17:37:41.556,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
81,17:37:42.015,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
82,17:37:42.347,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
83,17:37:42.704,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
84,17:37:42.995,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
85,17:37:43.335,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
86,17:37:43.633,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
87,17:37:43.915,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
88,17:37:44.240,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
89,17:37:44.516,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
90,17:37:45.133,fireworks_target,pistol,0.302s,2,1,0.5,25,100,0.25,false
91,17:37:45.438,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
92,17:37:45.811,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
93,17:37:46.449,fireworks_target,pistol,0.309s,2,1,0.5,25,100,0.25,false
94,17:37:47.161,fireworks_target,pistol,0.379s,2,1,0.5,25,100,0.25,false
95,17:37:47.517,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
96,17:37:48.053,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
97,17:37:48.419,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
98,17:37:48.758,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
99,17:37:49.473,fireworks_target,pistol,0.413s,2,1,0.5,25,100,0.25,false
100,17:37:49.834,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
101,17:37:50.560,fireworks_target,pistol,0.44s,3,1,0.333,25,150,0.167,false
102,17:37:51.563,fireworks_target,pistol,0.652s,3,1,0.333,25,150,0.167,false
103,17:37:51.885,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
104,17:37:52.238,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
105,17:37:52.664,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
106,17:37:53.405,fireworks_target,pistol,0.325s,2,1,0.5,25,100,0.25,false
107,17:37:53.768,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
108,17:37:54.060,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
109,17:37:54.415,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
110,17:37:54.691,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
111,17:37:55.685,fireworks_target,pistol,0.635s,3,1,0.333,25,150,0.167,false
112,17:37:56.041,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
