Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:02:31.150,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
2,23:02:31.698,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
3,23:02:32.180,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
4,23:02:32.711,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
5,23:02:33.641,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
6,23:02:34.167,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
7,23:02:34.624,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
8,23:02:35.149,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
9,23:02:35.783,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
10,23:02:36.929,TileFrenzyStrafing Cube,pistol,0.716s,3,1,0.333,36,216,0.167,false
11,23:02:37.356,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
12,23:02:38.629,TileFrenzyStrafing Cube,pistol,0.614s,2,1,0.5,36,144,0.25,false
13,23:02:39.263,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
14,23:02:40.905,TileFrenzyStrafing Cube,pistol,0.8s,3,1,0.333,36,216,0.167,false
15,23:02:41.322,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
16,23:02:41.795,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
17,23:02:42.285,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
18,23:02:42.853,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
19,23:02:43.488,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
20,23:02:44.139,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
21,23:02:44.952,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
22,23:02:45.507,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
23,23:02:46.290,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
24,23:02:47.788,TileFrenzyStrafing Cube,pistol,0.558s,2,1,0.5,36,144,0.25,false
25,23:02:48.269,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
26,23:02:48.856,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
27,23:02:49.942,TileFrenzyStrafing Cube,pistol,0.401s,2,1,0.5,36,144,0.25,false
28,23:02:50.520,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
29,23:02:51.244,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
30,23:02:52.343,TileFrenzyStrafing Cube,pistol,0.606s,2,1,0.5,36,144,0.25,false
31,23:02:52.866,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
32,23:02:53.417,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
33,23:02:54.503,TileFrenzyStrafing Cube,pistol,0.555s,2,1,0.5,36,144,0.25,false
34,23:02:55.275,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
35,23:02:56.695,TileFrenzyStrafing Cube,pistol,0.577s,2,1,0.5,36,144,0.25,false
36,23:02:57.172,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
37,23:02:58.029,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
38,23:02:58.540,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
39,23:02:59.169,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
40,23:03:00.370,TileFrenzyStrafing Cube,pistol,0.535s,2,1,0.5,36,144,0.25,false
41,23:03:01.015,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
42,23:03:01.547,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
43,23:03:02.176,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
44,23:03:03.658,TileFrenzyStrafing Cube,pistol,0.977s,3,1,0.333,36,216,0.167,false
45,23:03:04.401,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
46,23:03:05.093,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
47,23:03:06.500,TileFrenzyStrafing Cube,pistol,0.806s,2,1,0.5,36,144,0.25,false
48,23:03:07.110,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
49,23:03:07.537,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
50,23:03:08.550,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
51,23:03:09.118,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
52,23:03:09.663,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
53,23:03:11.007,TileFrenzyStrafing Cube,pistol,0.576s,2,1,0.5,36,144,0.25,false
54,23:03:11.582,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
55,23:03:13.841,TileFrenzyStrafing Cube,pistol,1.606s,4,1,0.25,36,288,0.125,false
56,23:03:14.781,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
57,23:03:15.594,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
58,23:03:18.545,TileFrenzyStrafing Cube,pistol,2.444s,5,1,0.2,36,360,0.1,false
59,23:03:19.200,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
60,23:03:20.358,TileFrenzyStrafing Cube,pistol,0.436s,2,1,0.5,36,144,0.25,false
61,23:03:21.248,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
62,23:03:21.890,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
63,23:03:22.457,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
64,23:03:22.998,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
65,23:03:23.578,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
66,23:03:24.117,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
67,23:03:25.083,TileFrenzyStrafing Cube,pistol,0.516s,2,1,0.5,36,144,0.25,false
68,23:03:26.948,TileFrenzyStrafing Cube,pistol,1.354s,3,1,0.333,36,216,0.167,false
69,23:03:28.001,TileFrenzyStrafing Cube,pistol,0.483s,2,1,0.5,36,144,0.25,false
70,23:03:28.592,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
71,23:03:29.919,TileFrenzyStrafing Cube,pistol,0.555s,2,1,0.5,36,144,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,99,71,2556.0,7128.0,

Kills:,71
Deaths:,0
Fight Time:,15.122
Avg TTK:,0.845
Damage Done:,2556.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,2556.0
Scenario:,Floating Heads Timing 400% FIXED
Hash:,cf60a0fe6d24f1560ae743000578bcec
Game Version:,v2.8.6
Challenge Start:,23:02:30.139
Pause Count:,23
Pause Duration:,715

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.247681
Resolution Scale,100.0
