Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:58:56.387,TileFrenzyStrafing Cube,pistol,0.537s,2,1,0.5,36,144,0.25,false
2,17:58:57.416,TileFrenzyStrafing Cube,pistol,0.421s,2,1,0.5,36,144,0.25,false
3,17:58:58.087,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
4,17:58:58.695,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
5,17:58:59.216,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
6,17:59:01.311,TileFrenzyStrafing Cube,pistol,1.526s,3,1,0.333,36,216,0.167,false
7,17:59:02.726,TileFrenzyStrafing Cube,pistol,0.723s,2,1,0.5,36,144,0.25,false
8,17:59:03.810,TileFrenzyStrafing Cube,pistol,0.289s,2,1,0.5,36,144,0.25,false
9,17:59:04.661,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
10,17:59:05.312,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
11,17:59:06.683,TileFrenzyStrafing Cube,pistol,0.638s,2,1,0.5,36,144,0.25,false
12,17:59:07.235,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
13,17:59:08.529,TileFrenzyStrafing Cube,pistol,0.608s,2,1,0.5,36,144,0.25,false
14,17:59:09.165,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
15,17:59:09.927,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
16,17:59:12.144,TileFrenzyStrafing Cube,pistol,1.147s,3,1,0.333,36,216,0.167,false
17,17:59:13.028,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
18,17:59:14.143,TileFrenzyStrafing Cube,pistol,0.458s,2,1,0.5,36,144,0.25,false
19,17:59:15.320,TileFrenzyStrafing Cube,pistol,0.288s,2,1,0.5,36,144,0.25,false
20,17:59:15.914,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
21,17:59:17.190,TileFrenzyStrafing Cube,pistol,0.658s,2,1,0.5,36,144,0.25,false
22,17:59:19.659,TileFrenzyStrafing Cube,pistol,0.911s,4,1,0.25,36,288,0.125,false
23,17:59:20.646,TileFrenzyStrafing Cube,pistol,0.262s,2,1,0.5,36,144,0.25,false
24,17:59:22.140,TileFrenzyStrafing Cube,pistol,1.007s,3,1,0.333,36,216,0.167,false
25,17:59:23.650,TileFrenzyStrafing Cube,pistol,0.946s,3,1,0.333,36,216,0.167,false
26,17:59:24.225,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
27,17:59:24.750,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
28,17:59:26.156,TileFrenzyStrafing Cube,pistol,0.339s,2,1,0.5,36,144,0.25,false
29,17:59:26.753,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
30,17:59:28.517,TileFrenzyStrafing Cube,pistol,0.694s,2,1,0.5,36,144,0.25,false
31,17:59:28.966,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
32,17:59:29.420,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
33,17:59:30.077,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
34,17:59:31.152,TileFrenzyStrafing Cube,pistol,0.46s,2,1,0.5,36,144,0.25,false
35,17:59:31.624,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
36,17:59:32.019,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
37,17:59:32.584,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
38,17:59:35.015,TileFrenzyStrafing Cube,pistol,1.8s,5,1,0.2,36,360,0.1,false
39,17:59:39.906,TileFrenzyStrafing Cube,pistol,0.495s,2,1,0.5,36,144,0.25,false
40,17:59:40.448,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
41,17:59:41.665,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
42,17:59:42.369,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
43,17:59:42.995,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
44,17:59:44.114,TileFrenzyStrafing Cube,pistol,0.329s,2,1,0.5,36,144,0.25,false
45,17:59:45.636,TileFrenzyStrafing Cube,pistol,0.33s,2,1,0.5,36,144,0.25,false
46,17:59:46.713,TileFrenzyStrafing Cube,pistol,0.513s,2,1,0.5,36,144,0.25,false
47,17:59:47.491,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
48,17:59:48.674,TileFrenzyStrafing Cube,pistol,0.482s,2,1,0.5,36,144,0.25,false
49,17:59:49.597,TileFrenzyStrafing Cube,pistol,0.293s,2,1,0.5,36,144,0.25,false
50,17:59:50.023,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
51,17:59:51.057,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
52,17:59:51.517,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
53,17:59:52.673,TileFrenzyStrafing Cube,pistol,0.329s,2,1,0.5,36,144,0.25,false
54,17:59:53.122,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
55,17:59:54.040,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,90,55,1980.0,6480.0,

Kills:,55
Deaths:,0
Fight Time:,16.486
Avg TTK:,0
Damage Done:,1980.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1980.0
Scenario:,Floating Heads Timing 400% no mag
Hash:,519fde9b39300e6258b85dd56d1cf7e7
Game Version:,2.0.4.0
Challenge Start:,17:58:54.339

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,293.694702
Resolution Scale,100.0
