Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:44:14.252,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
2,05:44:14.986,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
3,05:44:15.794,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
4,05:44:16.590,Quaker Bot Decay,pistol,0.628s,2,1,0.5,25,100,0.25,false
5,05:44:17.371,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
6,05:44:18.135,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
7,05:44:19.006,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,05:44:19.782,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
9,05:44:20.599,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
10,05:44:21.422,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
11,05:44:22.241,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
12,05:44:23.113,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
13,05:44:23.897,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
14,05:44:24.700,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
15,05:44:25.433,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
16,05:44:26.215,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
17,05:44:26.966,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
18,05:44:27.736,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
19,05:44:28.511,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
20,05:44:29.158,Quaker Bot Decay,pistol,0.551s,2,1,0.5,25,100,0.25,false
21,05:44:29.990,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
22,05:44:30.618,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
23,05:44:31.375,Quaker Bot Decay,pistol,0.662s,2,1,0.5,25,100,0.25,false
24,05:44:32.035,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
25,05:44:32.873,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
26,05:44:33.564,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
27,05:44:34.229,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
28,05:44:35.026,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
29,05:44:35.729,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
30,05:44:36.498,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
31,05:44:37.318,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
32,05:44:38.101,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
33,05:44:38.829,Quaker Bot Decay,pistol,0.63s,2,1,0.5,25,100,0.25,false
34,05:44:39.608,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
35,05:44:40.352,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
36,05:44:41.108,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
37,05:44:41.827,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
38,05:44:42.622,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
39,05:44:43.452,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
40,05:44:44.259,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
41,05:44:45.006,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
42,05:44:45.742,Quaker Bot Decay,pistol,0.64s,2,1,0.5,25,100,0.25,false
43,05:44:46.507,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
44,05:44:47.222,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
45,05:44:47.973,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
46,05:44:48.732,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
47,05:44:49.494,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
48,05:44:50.236,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
49,05:44:51.066,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
50,05:44:51.794,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
51,05:44:52.581,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
52,05:44:53.397,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
53,05:44:54.202,Quaker Bot Decay,pistol,0.281s,2,1,0.5,25,100,0.25,false
54,05:44:54.986,Quaker Bot Decay,pistol,0.686s,2,1,0.5,25,100,0.25,false
55,05:44:55.603,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
56,05:44:56.409,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
57,05:44:57.144,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false
58,05:44:57.954,Quaker Bot Decay,pistol,0s,1,1,1,25,50,0.5,false
59,05:44:58.635,Quaker Bot Decay,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,59,1475.0,3300.0,

Kills:,59
Deaths:,0
Fight Time:,4.088
Avg TTK:,0.761
Damage Done:,1475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1475.0
Scenario:,Flux Valorant Reflex Flick
Hash:,f7deb22b0a984a2bea2b2cb708987a83
Game Version:,v2.8.6
Challenge Start:,05:44:13.660
Pause Count:,22
Pause Duration:,184

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,282.246979
Resolution Scale,100.0
