Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:19:44.147,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
2,05:19:44.332,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
3,05:19:44.520,TileFrenzy Cube,TileFrenzy Challenge,0.001s,1,1,1,100,200,0.5,false
4,05:19:44.734,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
5,05:19:44.946,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
6,05:19:45.181,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
7,05:19:45.443,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
8,05:19:45.668,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
9,05:19:45.863,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
10,05:19:46.068,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
11,05:19:46.252,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
12,05:19:46.455,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
13,05:19:46.663,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
14,05:19:46.869,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
15,05:19:47.054,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
16,05:19:47.252,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
17,05:19:47.496,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
18,05:19:47.768,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
19,05:19:48.005,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
20,05:19:48.203,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
21,05:19:49.092,TileFrenzy Cube,TileFrenzy Challenge,0.671s,3,1,0.333,100,600,0.167,false
22,05:19:49.252,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
23,05:19:49.441,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
24,05:19:49.653,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
25,05:19:49.826,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
26,05:19:50.043,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
27,05:19:50.432,TileFrenzy Cube,TileFrenzy Challenge,0.164s,2,1,0.5,100,400,0.25,false
28,05:19:50.655,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
29,05:19:50.813,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
30,05:19:51.024,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
31,05:19:51.216,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
32,05:19:51.437,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
33,05:19:51.799,TileFrenzy Cube,TileFrenzy Challenge,0.186s,2,1,0.5,100,400,0.25,false
34,05:19:52.006,TileFrenzy Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
