Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:26:38.328,Watcher Bot Long Strafes,Manwing,0.517s,2,2,1,800,800,1,false
2,04:26:41.527,Watcher Bot Long Strafes,Manwing,2.561s,6,2,0.333,800,2400,0.333,false
3,04:26:43.780,Watcher Bot Long Strafes,Manwing,1.193s,3,2,0.667,800,1200,0.667,false
4,04:26:45.531,Watcher Bot Long Strafes,Manwing,1.003s,3,2,0.667,800,1200,0.667,false
5,04:26:50.639,Watcher Bot Long Strafes,Manwing,4.481s,6,3,0.5,1200,2400,0.5,false
6,04:26:51.585,Watcher Bot Long Strafes,Manwing,0.001s,1,1,1,400,400,1,false
7,04:26:55.251,Watcher Bot Long Strafes,Manwing,2.843s,5,2,0.4,800,2000,0.4,false
8,04:26:57.324,Watcher Bot Long Strafes,Manwing,1.188s,3,2,0.667,800,1200,0.667,false
9,04:27:00.620,Watcher Bot Long Strafes,Manwing,2.705s,4,2,0.5,800,1600,0.5,false
10,04:27:03.006,Watcher Bot Long Strafes,Manwing,1.719s,4,2,0.5,600,1600,0.375,false
11,04:27:05.341,Watcher Bot Long Strafes,Manwing,1.13s,3,2,0.667,800,1200,0.667,false
12,04:27:08.332,Watcher Bot Long Strafes,Manwing,2.209s,4,2,0.5,800,1600,0.5,false
13,04:27:09.704,Watcher Bot Long Strafes,Manwing,0.608s,2,2,1,800,800,1,false
14,04:27:10.989,Watcher Bot Long Strafes,Manwing,0.533s,2,2,1,600,800,0.75,false
15,04:27:13.034,Watcher Bot Long Strafes,Manwing,1.003s,3,2,0.667,600,1200,0.5,false
16,04:27:16.168,Watcher Bot Long Strafes,Manwing,2.178s,4,2,0.5,800,1600,0.5,false
17,04:27:18.376,Watcher Bot Long Strafes,Manwing,1.171s,3,2,0.667,800,1200,0.667,false
18,04:27:20.074,Watcher Bot Long Strafes,Manwing,1.017s,3,2,0.667,800,1200,0.667,false
19,04:27:22.165,Watcher Bot Long Strafes,Manwing,1.426s,4,2,0.5,800,1600,0.5,false
20,04:27:24.096,Watcher Bot Long Strafes,Manwing,0.836s,3,2,0.667,800,1200,0.667,false
21,04:27:26.385,Watcher Bot Long Strafes,Manwing,1.525s,4,2,0.5,800,1600,0.5,false
22,04:27:29.120,Watcher Bot Long Strafes,Manwing,2.164s,5,2,0.4,800,2000,0.4,false
23,04:27:31.492,Watcher Bot Long Strafes,Manwing,1.859s,5,2,0.4,600,2000,0.3,false
24,04:27:33.170,Watcher Bot Long Strafes,Manwing,1.124s,3,2,0.667,800,1200,0.667,false
25,04:27:36.295,Watcher Bot Long Strafes,Manwing,2.23s,6,2,0.333,600,2400,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Manwing,91,50,19000.0,36400.0,

Kills:,25
Deaths:,0
Fight Time:,39.223999
Avg TTK:,0
Damage Done:,19000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,95000.0
Scenario:,Manwing Strafe Gallery V3 Robots
Hash:,d2d81e7e1cb4620856ec143ba80f45fa
Game Version:,2.0.5.3
Challenge Start:,04:26:36.351
Pause Count:,56
Pause Duration:,386

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.863708
Resolution Scale,100.0
