Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:24:23.881,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,00:24:24.355,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
3,00:24:24.756,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
4,00:24:25.116,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,00:24:25.460,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,00:24:25.804,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,00:24:26.337,TileFrenzy Sphere,16ML9 - 080,0.244s,2,1,0.5,1,2,0.5,false
8,00:24:26.627,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,00:24:27.486,TileFrenzy Sphere,16ML9 - 080,0.475s,3,1,0.333,1,3,0.333,false
10,00:24:27.846,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,00:24:28.188,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
12,00:24:28.462,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
13,00:24:28.737,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,00:24:29.035,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,00:24:29.355,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,00:24:29.687,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,00:24:29.932,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,00:24:30.167,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,00:24:30.512,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,00:24:31.197,TileFrenzy Sphere,16ML9 - 080,0.3s,2,1,0.5,1,2,0.5,false
21,00:24:31.773,TileFrenzy Sphere,16ML9 - 080,0.275s,2,1,0.5,1,2,0.5,false
22,00:24:32.085,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
23,00:24:32.670,TileFrenzy Sphere,16ML9 - 080,0.233s,2,1,0.5,1,2,0.5,false
24,00:24:32.920,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
25,00:24:33.575,TileFrenzy Sphere,16ML9 - 080,0.306s,2,1,0.5,1,2,0.5,false
26,00:24:33.811,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
27,00:24:34.142,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
28,00:24:34.439,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
29,00:24:34.774,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
30,00:24:35.088,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
31,00:24:35.368,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
32,00:24:35.703,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,00:24:35.967,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
34,00:24:36.224,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
35,00:24:36.526,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
36,00:24:36.855,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
37,00:24:37.176,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
38,00:24:37.484,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
39,00:24:37.858,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
40,00:24:38.189,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
41,00:24:38.436,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
42,00:24:38.690,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
43,00:24:39.383,TileFrenzy Sphere,16ML9 - 080,0.256s,2,1,0.5,1,2,0.5,false
44,00:24:39.654,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
45,00:24:40.005,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
46,00:24:40.672,TileFrenzy Sphere,16ML9 - 080,0.348s,2,1,0.5,1,2,0.5,false
47,00:24:40.930,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
48,00:24:41.313,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
49,00:24:41.679,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
50,00:24:42.269,TileFrenzy Sphere,16ML9 - 080,0.264s,2,1,0.5,1,2,0.5,false
51,00:24:42.930,TileFrenzy Sphere,16ML9 - 080,0.367s,2,1,0.5,1,2,0.5,false
52,00:24:43.255,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
53,00:24:43.554,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
54,00:24:43.863,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
55,00:24:44.258,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
56,00:24:44.600,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
57,00:24:45.462,TileFrenzy Sphere,16ML9 - 080,0.579s,3,1,0.333,1,3,0.333,false
58,00:24:45.739,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
59,00:24:46.392,TileFrenzy Sphere,16ML9 - 080,0.384s,2,1,0.5,1,2,0.5,false
60,00:24:47.062,TileFrenzy Sphere,16ML9 - 080,0.348s,2,1,0.5,1,2,0.5,false
61,00:24:47.362,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
62,00:24:47.667,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
63,00:24:47.984,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
64,00:24:48.515,TileFrenzy Sphere,16ML9 - 080,0.225s,2,1,0.5,1,2,0.5,false
65,00:24:48.770,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
66,00:24:49.094,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
67,00:24:49.359,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
68,00:24:49.943,TileFrenzy Sphere,16ML9 - 080,0.298s,2,1,0.5,1,2,0.5,false
69,00:24:50.586,TileFrenzy Sphere,16ML9 - 080,0.345s,2,1,0.5,1,2,0.5,false
70,00:24:51.246,TileFrenzy Sphere,16ML9 - 080,0.38s,2,1,0.5,1,2,0.5,false
71,00:24:51.540,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
72,00:24:51.851,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
73,00:24:52.192,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
74,00:24:52.544,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
75,00:24:52.816,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
76,00:24:53.100,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
77,00:24:53.462,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
78,00:24:53.776,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
79,00:24:54.093,TileFrenzy Sphere,16ML9 - 080,0.206s,2,1,0.5,1,2,0.5,false
80,00:24:54.412,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
81,00:24:54.731,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
82,00:24:55.081,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
83,00:24:55.690,TileFrenzy Sphere,16ML9 - 080,0.308s,2,1,0.5,1,2,0.5,false
84,00:24:55.971,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
85,00:24:56.305,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
86,00:24:56.822,TileFrenzy Sphere,16ML9 - 080,0.251s,2,1,0.5,1,2,0.5,false
87,00:24:57.134,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
88,00:24:57.470,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
89,00:24:57.764,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
90,00:24:59.025,TileFrenzy Sphere,16ML9 - 080,0.774s,3,1,0.333,1,3,0.333,false
91,00:24:59.285,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
92,00:24:59.615,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
93,00:24:59.907,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
94,00:25:00.205,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
95,00:25:00.468,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
96,00:25:00.789,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
97,00:25:01.468,TileFrenzy Sphere,16ML9 - 080,0.34s,2,1,0.5,1,2,0.5,false
98,00:25:01.872,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
99,00:25:02.240,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
100,00:25:03.741,TileFrenzy Sphere,16ML9 - 080,1.221s,5,1,0.2,1,5,0.2,false
101,00:25:04.035,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
102,00:25:04.336,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
103,00:25:05.038,TileFrenzy Sphere,16ML9 - 080,0.241s,2,1,0.5,1,2,0.5,false
104,00:25:05.338,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
105,00:25:05.727,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
106,00:25:07.009,TileFrenzy Sphere,16ML9 - 080,0.989s,4,1,0.25,1,4,0.25,false
107,00:25:07.302,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
108,00:25:07.707,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
109,00:25:08.354,TileFrenzy Sphere,16ML9 - 080,0.317s,2,1,0.5,1,2,0.5,false
110,00:25:08.870,TileFrenzy Sphere,16ML9 - 080,0.207s,2,1,0.5,1,2,0.5,false
111,00:25:09.220,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
112,00:25:09.573,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
113,00:25:09.868,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
114,00:25:10.219,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
115,00:25:10.604,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
116,00:25:10.916,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
117,00:25:11.232,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
118,00:25:11.572,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
119,00:25:11.902,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
120,00:25:12.186,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
121,00:25:12.524,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
122,00:25:12.860,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
123,00:25:13.187,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
124,00:25:13.545,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
125,00:25:13.881,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
126,00:25:14.246,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
127,00:25:14.604,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
128,00:25:14.940,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
129,00:25:15.309,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
130,00:25:15.689,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
131,00:25:16.024,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
132,00:25:16.325,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
133,00:25:16.887,TileFrenzy Sphere,16ML9 - 080,0.278s,2,1,0.5,1,2,0.5,false
134,00:25:17.219,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
135,00:25:17.477,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
