Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:56:36.695,Quaker Bot Fast Strafes,LG,5.612s,123,50,0.407,300,738,0.407,false
2,04:56:45.807,Quaker Bot Fast Strafes,LG,8.837s,170,50,0.294,300,1020,0.294,false
3,04:56:56.026,Quaker Bot Fast Strafes,LG,9.943s,193,50,0.259,300,1158,0.259,false
4,04:57:03.892,Quaker Bot Fast Strafes,LG,7.59s,144,50,0.347,300,864,0.347,false
5,04:57:12.315,Quaker Bot Fast Strafes,LG,8.148s,156,50,0.321,300,936,0.321,false
6,04:57:21.483,Quaker Bot Fast Strafes,LG,8.893s,163,50,0.307,300,978,0.307,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1113,349,2094.0,6678.0,

Kills:,6
Deaths:,0
Fight Time:,49.022999
Avg TTK:,0
Damage Done:,2094.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,6282.0
Scenario:,Midrange Fast Strafes V2
Hash:,f8b3a53c2d64810c6b74f5d69474f711
Game Version:,2.0.5.3
Challenge Start:,04:56:30.101
Pause Count:,43
Pause Duration:,87

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.229767
Resolution Scale,100.0
