Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:36:28.840,narrow_flick_bot,pistol HS,0.524s,2,2,1,50,50,1,false
2,04:36:30.969,narrow_flick_bot,pistol HS,1.517s,5,2,0.4,50,125,0.4,false
3,04:36:32.465,narrow_flick_bot,pistol HS,0.914s,3,2,0.667,50,75,0.667,false
4,04:36:35.744,narrow_flick_bot,pistol HS,2.682s,8,2,0.25,50,200,0.25,false
5,04:36:39.999,narrow_flick_bot,pistol HS,3.869s,9,3,0.333,55,225,0.244,false
6,04:36:42.039,narrow_flick_bot,pistol HS,1.521s,5,2,0.4,50,125,0.4,false
7,04:36:44.388,narrow_flick_bot,pistol HS,1.732s,5,2,0.4,50,125,0.4,false
8,04:36:46.023,narrow_flick_bot,pistol HS,1.077s,3,2,0.667,50,75,0.667,false
9,04:36:49.778,narrow_flick_bot,pistol HS,3.057s,7,2,0.286,50,175,0.286,false
10,04:36:53.322,narrow_flick_bot,pistol HS,2.982s,8,4,0.5,60,200,0.3,false
11,04:36:55.464,narrow_flick_bot,pistol HS,1.534s,3,2,0.667,50,75,0.667,false
12,04:36:57.907,narrow_flick_bot,pistol HS,1.873s,5,2,0.4,50,125,0.4,false
13,04:37:02.665,narrow_flick_bot,pistol HS,4.178s,6,2,0.333,50,150,0.333,false
14,04:37:04.427,narrow_flick_bot,pistol HS,1.124s,3,2,0.667,50,75,0.667,false
15,04:37:06.824,narrow_flick_bot,pistol HS,1.795s,4,3,0.75,55,100,0.55,false
16,04:37:12.623,narrow_flick_bot,pistol HS,4.886s,11,2,0.182,50,275,0.182,false
17,04:37:14.563,narrow_flick_bot,pistol HS,0.924s,3,2,0.667,50,75,0.667,false
18,04:37:19.202,narrow_flick_bot,pistol HS,3.866s,8,2,0.25,50,200,0.25,false
19,04:37:24.523,narrow_flick_bot,pistol HS,4.771s,8,2,0.25,50,200,0.25,false
20,04:37:26.134,narrow_flick_bot,pistol HS,0.922s,2,2,1,50,50,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol HS,109,45,1045.0,2725.0,

Kills:,20
Deaths:,0
Fight Time:,45.748001
Avg TTK:,0
Damage Done:,1045.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,2239.678955
Scenario:,Narrow Strafe Flick
Hash:,bf83e2deac1b36853af14f45318561de
Game Version:,2.0.5.3
Challenge Start:,04:36:27.682
Pause Count:,65
Pause Duration:,393

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.870056
Resolution Scale,100.0
