Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:44:24.457,Pigeon4,pistol,2.267s,3,1,0.333,100,600,0.167,false
2,18:44:25.849,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
3,18:44:28.597,Pigeon2,pistol,0.896s,2,1,0.5,100,400,0.25,false
4,18:44:31.333,Pigeon4,pistol,0.588s,3,1,0.333,100,600,0.167,false
5,18:44:39.220,Pigeon4,pistol,5.828s,7,1,0.143,100,1400,0.071,false
6,18:44:43.732,Pigeon3,pistol,1.783s,4,1,0.25,100,800,0.125,false
7,18:44:46.522,Pigeon5,pistol,1.548s,3,1,0.333,100,600,0.167,false
8,18:44:48.896,Pigeon4,pistol,1.388s,3,1,0.333,100,600,0.167,false
9,18:44:50.162,Pigeon5,pistol,0.317s,2,1,0.5,100,400,0.25,false
10,18:44:54.265,Pigeon3,pistol,2.558s,4,1,0.25,100,800,0.125,false
11,18:44:59.112,Pigeon2,pistol,3.122s,4,1,0.25,100,800,0.125,false
12,18:45:13.329,Pigeon4,pistol,11.188s,11,1,0.091,100,2200,0.045,false
13,18:45:17.563,Pigeon5,pistol,2.167s,5,1,0.2,100,1000,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,56,13,1300.0,11200.0,
LG,0,0,0.0,0.0,

Kills:,13
Deaths:,0
Fight Time:,33.650002
Avg TTK:,0
Damage Done:,1300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,331.964264
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.5.3
Challenge Start:,18:44:21.056
Pause Count:,4
Pause Duration:,28

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.71936
Resolution Scale,100.0
