Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:24:53.651,test360,pistol,1.334s,4,1,0.25,1000,10000,0.1,false
2,20:24:54.458,test360,pistol,0.363s,2,1,0.5,1000,5000,0.2,false
3,20:24:55.858,test360,pistol,0.945s,3,1,0.333,1000,7500,0.133,false
4,20:24:56.386,test360,pistol,0s,1,1,1,1000,2500,0.4,false
5,20:24:57.748,test360,pistol,0.4s,2,1,0.5,1000,5000,0.2,false
6,20:24:58.327,test360,pistol,0s,1,1,1,1000,2500,0.4,false
7,20:24:59.423,test360,pistol,0s,1,1,1,1000,2500,0.4,false
8,20:25:00.177,test360,pistol,0s,1,1,1,1000,2500,0.4,false
9,20:25:00.990,test360,pistol,0.366s,2,1,0.5,1000,5000,0.2,false
10,20:25:01.801,test360,pistol,0s,1,1,1,1000,2500,0.4,false
11,20:25:02.480,test360,pistol,0.243s,2,1,0.5,1000,5000,0.2,false
12,20:25:03.472,test360,pistol,0.662s,4,1,0.25,1000,10000,0.1,false
13,20:25:04.315,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
14,20:25:06.160,test360,pistol,1.419s,4,1,0.25,1000,10000,0.1,false
15,20:25:06.704,test360,pistol,0s,1,1,1,1000,2500,0.4,false
16,20:25:07.223,test360,pistol,0s,1,1,1,1000,2500,0.4,false
17,20:25:09.887,test360,pistol,1.775s,4,1,0.25,1000,10000,0.1,false
18,20:25:11.413,test360,pistol,1.104s,3,1,0.333,1000,7500,0.133,false
19,20:25:12.105,test360,pistol,0s,1,1,1,1000,2500,0.4,false
20,20:25:12.683,test360,pistol,0s,1,1,1,1000,2500,0.4,false
21,20:25:13.677,test360,pistol,0s,1,1,1,1000,2500,0.4,false
22,20:25:15.038,test360,pistol,0.566s,2,1,0.5,1000,5000,0.2,false
23,20:25:15.911,test360,pistol,0.38s,2,1,0.5,1000,5000,0.2,false
24,20:25:18.053,test360,pistol,1.151s,3,1,0.333,1000,7500,0.133,false
25,20:25:19.495,test360,pistol,0.916s,3,1,0.333,1000,7500,0.133,false
26,20:25:20.036,test360,pistol,0s,1,1,1,1000,2500,0.4,false
27,20:25:20.912,test360,pistol,0s,1,1,1,1000,2500,0.4,false
28,20:25:22.060,test360,pistol,0.721s,3,1,0.333,1000,7500,0.133,false
29,20:25:22.935,test360,pistol,0.352s,2,1,0.5,1000,5000,0.2,false
30,20:25:23.802,test360,pistol,0s,1,1,1,1000,2500,0.4,false
31,20:25:24.371,test360,pistol,0s,1,1,1,1000,2500,0.4,false
32,20:25:26.557,test360,pistol,1.327s,3,1,0.333,1000,7500,0.133,false
33,20:25:27.993,test360,pistol,1.021s,4,1,0.25,1000,10000,0.1,false
34,20:25:28.901,test360,pistol,0.309s,2,1,0.5,1000,5000,0.2,false
35,20:25:29.394,test360,pistol,0s,1,1,1,1000,2500,0.4,false
36,20:25:31.020,test360,pistol,0.904s,3,1,0.333,1000,7500,0.133,false
37,20:25:31.516,test360,pistol,0s,1,1,1,1000,2500,0.4,false
38,20:25:32.192,test360,pistol,0s,1,1,1,1000,2500,0.4,false
39,20:25:32.788,test360,pistol,0s,1,1,1,1000,2500,0.4,false
40,20:25:34.869,test360,pistol,1.518s,4,1,0.25,1000,10000,0.1,false
41,20:25:35.520,test360,pistol,0s,1,1,1,1000,2500,0.4,false
42,20:25:36.124,test360,pistol,0s,1,1,1,1000,2500,0.4,false
43,20:25:37.314,test360,pistol,0s,1,1,1,1000,2500,0.4,false
44,20:25:37.821,test360,pistol,0s,1,1,1,1000,2500,0.4,false
45,20:25:38.972,test360,pistol,0s,1,1,1,1000,2500,0.4,false
46,20:25:39.692,test360,pistol,0s,1,1,1,1000,2500,0.4,false
47,20:25:42.157,test360,pistol,1.815s,5,1,0.2,1000,12500,0.08,false
48,20:25:42.565,test360,pistol,0s,1,1,1,1000,2500,0.4,false
49,20:25:42.938,test360,pistol,0s,1,1,1,1000,2500,0.4,false
50,20:25:43.632,test360,pistol,0.345s,2,1,0.5,1000,5000,0.2,false
51,20:25:44.022,test360,pistol,0s,1,1,1,1000,2500,0.4,false
52,20:25:44.616,test360,pistol,0s,1,1,1,1000,2500,0.4,false
53,20:25:45.771,test360,pistol,0.489s,2,1,0.5,1000,5000,0.2,false
54,20:25:47.377,test360,pistol,1.213s,3,1,0.333,1000,7500,0.133,false
55,20:25:48.049,test360,pistol,0s,1,1,1,1000,2500,0.4,false
56,20:25:49.040,test360,pistol,0.299s,2,1,0.5,1000,5000,0.2,false
57,20:25:50.020,test360,pistol,0.356s,2,1,0.5,1000,5000,0.2,false
58,20:25:50.666,test360,pistol,0s,1,1,1,1000,2500,0.4,false

