Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:56:32.631,test360,pistol,0s,1,1,1,1000,2500,0.4,false
2,21:56:35.191,test360,pistol,1.957s,3,1,0.333,1000,7500,0.133,false
3,21:56:36.624,test360,pistol,0.838s,3,1,0.333,1000,7500,0.133,false
4,21:56:37.639,test360,pistol,0s,1,1,1,1000,2500,0.4,false
5,21:56:38.832,test360,pistol,0s,1,1,1,1000,2500,0.4,false
6,21:56:39.838,test360,pistol,0.294s,2,1,0.5,1000,5000,0.2,false
7,21:56:40.711,test360,pistol,0.357s,2,1,0.5,1000,5000,0.2,false
8,21:56:42.261,test360,pistol,0.926s,3,1,0.333,1000,7500,0.133,false
9,21:56:43.762,test360,pistol,1.016s,3,1,0.333,1000,7500,0.133,false
10,21:56:45.015,test360,pistol,0.479s,2,1,0.5,1000,5000,0.2,false
11,21:56:46.883,test360,pistol,1.357s,5,1,0.2,1000,12500,0.08,false
12,21:56:48.306,test360,pistol,0.876s,3,1,0.333,1000,7500,0.133,false
13,21:56:48.760,test360,pistol,0s,1,1,1,1000,2500,0.4,false
14,21:56:50.205,test360,pistol,0.883s,3,1,0.333,1000,7500,0.133,false
15,21:56:51.849,test360,pistol,0.819s,3,1,0.333,1000,7500,0.133,false
16,21:56:53.875,test360,pistol,1.445s,3,1,0.333,1000,7500,0.133,false
17,21:56:55.850,test360,pistol,1.504s,4,1,0.25,1000,10000,0.1,false
18,21:56:56.943,test360,pistol,0.404s,2,1,0.5,1000,5000,0.2,false
19,21:56:57.751,test360,pistol,0s,1,1,1,1000,2500,0.4,false
20,21:56:58.405,test360,pistol,0s,1,1,1,1000,2500,0.4,false
21,21:56:59.754,test360,pistol,0s,1,1,1,1000,2500,0.4,false
22,21:57:01.359,test360,pistol,0.828s,3,1,0.333,1000,7500,0.133,false
23,21:57:02.963,test360,pistol,0s,1,1,1,1000,2500,0.4,false
24,21:57:04.567,test360,pistol,1.032s,3,1,0.333,1000,7500,0.133,false
25,21:57:06.017,test360,pistol,0.416s,2,1,0.5,1000,5000,0.2,false
26,21:57:06.620,test360,pistol,0s,1,1,1,1000,2500,0.4,false
27,21:57:07.246,test360,pistol,0s,1,1,1,1000,2500,0.4,false
28,21:57:07.853,test360,pistol,0s,1,1,1,1000,2500,0.4,false
29,21:57:08.499,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
30,21:57:10.690,test360,pistol,1.568s,4,1,0.25,1000,10000,0.1,false
31,21:57:11.446,test360,pistol,0s,1,1,1,1000,2500,0.4,false
32,21:57:12.560,test360,pistol,0.319s,2,1,0.5,1000,5000,0.2,false
33,21:57:13.406,test360,pistol,0s,1,1,1,1000,2500,0.4,false
34,21:57:14.624,test360,pistol,0.511s,2,1,0.5,1000,5000,0.2,false
35,21:57:15.163,test360,pistol,0s,1,1,1,1000,2500,0.4,false
36,21:57:16.530,test360,pistol,0.746s,3,1,0.333,1000,7500,0.133,false
37,21:57:18.386,test360,pistol,1.358s,4,1,0.25,1000,10000,0.1,false
38,21:57:24.392,test360,pistol,5.259s,8,1,0.125,1000,20000,0.05,false
39,21:57:25.082,test360,pistol,0s,1,1,1,1000,2500,0.4,false
40,21:57:25.617,test360,pistol,0s,1,1,1,1000,2500,0.4,false
41,21:57:26.805,test360,pistol,0.55s,2,1,0.5,1000,5000,0.2,false
42,21:57:28.649,test360,pistol,1.007s,4,1,0.25,1000,10000,0.1,false
43,21:57:30.617,test360,pistol,1.186s,3,1,0.333,1000,7500,0.133,false
44,21:57:31.247,test360,pistol,0s,1,1,1,1000,2500,0.4,false
45,21:57:33.379,test360,pistol,1.491s,3,1,0.333,1000,7500,0.133,false
46,21:57:34.230,test360,pistol,0s,1,1,1,1000,2500,0.4,false
47,21:57:35.186,test360,pistol,0s,1,1,1,1000,2500,0.4,false
48,21:57:37.022,test360,pistol,1.197s,2,1,0.5,1000,5000,0.2,false
49,21:57:38.775,test360,pistol,0.64s,3,1,0.333,1000,7500,0.133,false
50,21:57:39.522,test360,pistol,0s,1,1,1,1000,2500,0.4,false
51,21:57:41.633,test360,pistol,1.488s,4,1,0.25,1000,10000,0.1,false
52,21:57:43.363,test360,pistol,1.157s,3,1,0.333,1000,7500,0.133,false
53,21:57:44.124,test360,pistol,0s,1,1,1,1000,2500,0.4,false
54,21:57:46.256,test360,pistol,1.193s,3,1,0.333,1000,7500,0.133,false
55,21:57:47.872,test360,pistol,0.844s,3,1,0.333,1000,7500,0.133,false
56,21:57:50.544,test360,pistol,1.468s,2,1,0.5,1000,5000,0.2,false
57,21:57:52.066,test360,pistol,0.678s,2,1,0.5,1000,5000,0.2,false
