Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:50:34.048,test360,pistol,0s,1,1,1,1000,2500,0.4,false
2,23:50:35.030,test360,pistol,0.349s,2,1,0.5,1000,5000,0.2,false
3,23:50:35.539,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
4,23:50:36.131,test360,pistol,0s,1,1,1,1000,2500,0.4,false
5,23:50:37.847,test360,pistol,0.833s,3,1,0.333,1000,7500,0.133,false
6,23:50:38.406,test360,pistol,0s,1,1,1,1000,2500,0.4,false
7,23:50:38.898,test360,pistol,0s,1,1,1,1000,2500,0.4,false
8,23:50:39.748,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
9,23:50:40.297,test360,pistol,0s,1,1,1,1000,2500,0.4,false
10,23:50:41.239,test360,pistol,0.299s,2,1,0.5,1000,5000,0.2,false
11,23:50:41.706,test360,pistol,0s,1,1,1,1000,2500,0.4,false
12,23:50:42.256,test360,pistol,0s,1,1,1,1000,2500,0.4,false
13,23:50:42.848,test360,pistol,0s,1,1,1,1000,2500,0.4,false
14,23:50:44.156,test360,pistol,0.692s,3,1,0.333,1000,7500,0.133,false
15,23:50:45.790,test360,pistol,1.225s,3,1,0.333,1000,7500,0.133,false
16,23:50:47.598,test360,pistol,0.984s,3,1,0.333,1000,7500,0.133,false
17,23:50:49.165,test360,pistol,0.566s,2,1,0.5,1000,5000,0.2,false
18,23:50:49.631,test360,pistol,0s,1,1,1,1000,2500,0.4,false
19,23:50:51.424,test360,pistol,1.234s,4,1,0.25,1000,10000,0.1,false
20,23:50:51.957,test360,pistol,0s,1,1,1,1000,2500,0.4,false
21,23:50:52.565,test360,pistol,0s,1,1,1,1000,2500,0.4,false
22,23:50:53.107,test360,pistol,0s,1,1,1,1000,2500,0.4,false
23,23:50:54.223,test360,pistol,0.292s,2,1,0.5,1000,5000,0.2,false
24,23:50:55.182,test360,pistol,0s,1,1,1,1000,2500,0.4,false
25,23:50:55.790,test360,pistol,0s,1,1,1,1000,2500,0.4,false
26,23:50:56.565,test360,pistol,0.284s,2,1,0.5,1000,5000,0.2,false
27,23:50:57.148,test360,pistol,0s,1,1,1,1000,2500,0.4,false
28,23:50:57.549,test360,pistol,0s,1,1,1,1000,2500,0.4,false
29,23:50:58.041,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
30,23:50:59.607,test360,pistol,1.025s,3,1,0.333,1000,7500,0.133,false
31,23:51:00.115,test360,pistol,0s,1,1,1,1000,2500,0.4,false
32,23:51:01.015,test360,pistol,0.349s,2,1,0.5,1000,5000,0.2,false
33,23:51:02.841,test360,pistol,0.801s,2,1,0.5,1000,5000,0.2,false
34,23:51:03.499,test360,pistol,0s,1,1,1,1000,2500,0.4,false
35,23:51:04.099,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
36,23:51:05.582,test360,pistol,0.709s,3,1,0.333,1000,7500,0.133,false
37,23:51:06.191,test360,pistol,0s,1,1,1,1000,2500,0.4,false
38,23:51:06.682,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
39,23:51:07.191,test360,pistol,0s,1,1,1,1000,2500,0.4,false
40,23:51:08.499,test360,pistol,0.583s,2,1,0.5,1000,5000,0.2,false
41,23:51:09.582,test360,pistol,0s,1,1,1,1000,2500,0.4,false
42,23:51:10.924,test360,pistol,0.692s,3,1,0.333,1000,7500,0.133,false
43,23:51:12.441,test360,pistol,0.868s,4,1,0.25,1000,10000,0.1,false
44,23:51:12.948,test360,pistol,0s,1,1,1,1000,2500,0.4,false
45,23:51:13.474,test360,pistol,0s,1,1,1,1000,2500,0.4,false
46,23:51:14.267,test360,pistol,0s,1,1,1,1000,2500,0.4,false
47,23:51:14.842,test360,pistol,0s,1,1,1,1000,2500,0.4,false
48,23:51:15.416,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
49,23:51:17.524,test360,pistol,1.266s,4,1,0.25,1000,10000,0.1,false
50,23:51:18.717,test360,pistol,0.401s,2,1,0.5,1000,5000,0.2,false
51,23:51:19.816,test360,pistol,0.367s,2,1,0.5,1000,5000,0.2,false
52,23:51:20.633,test360,pistol,0s,1,1,1,1000,2500,0.4,false
53,23:51:21.133,test360,pistol,0s,1,1,1,1000,2500,0.4,false
54,23:51:22.125,test360,pistol,0s,1,1,1,1000,2500,0.4,false
55,23:51:22.633,test360,pistol,0s,1,1,1,1000,2500,0.4,false
56,23:51:23.292,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
57,23:51:25.308,test360,pistol,1.376s,4,1,0.25,1000,10000,0.1,false
58,23:51:25.983,test360,pistol,0s,1,1,1,1000,2500,0.4,false
59,23:51:26.866,test360,pistol,0.349s,2,1,0.5,1000,5000,0.2,false
60,23:51:27.692,test360,pistol,0.349s,2,1,0.5,1000,5000,0.2,false
61,23:51:29.476,test360,pistol,0.393s,2,1,0.5,1000,5000,0.2,false
62,23:51:30.059,test360,pistol,0s,1,1,1,1000,2500,0.4,false
63,23:51:30.801,test360,pistol,0s,1,1,1,1000,2500,0.4,false
64,23:51:31.659,test360,pistol,0s,1,1,1,1000,2500,0.4,false
65,23:51:33.159,test360,pistol,1.017s,3,1,0.333,1000,7500,0.133,false
66,23:51:33.610,test360,pistol,0s,1,1,1,1000,2500,0.4,false
67,23:51:34.151,test360,pistol,0s,1,1,1,1000,2500,0.4,false
68,23:51:35.035,test360,pistol,0.292s,2,1,0.5,1000,5000,0.2,false
69,23:51:36.876,test360,pistol,0.825s,3,1,0.333,1000,7500,0.133,false
70,23:51:37.660,test360,pistol,0s,1,1,1,1000,2500,0.4,false
71,23:51:38.677,test360,pistol,0.35s,2,1,0.5,1000,5000,0.2,false
72,23:51:39.460,test360,pistol,0s,1,1,1,1000,2500,0.4,false
73,23:51:40.444,test360,pistol,0.282s,2,1,0.5,1000,5000,0.2,false
74,23:51:41.410,test360,pistol,0s,1,1,1,1000,2500,0.4,false
75,23:51:42.044,test360,pistol,0s,1,1,1,1000,2500,0.4,false
76,23:51:44.335,test360,pistol,0.566s,3,1,0.333,1000,7500,0.133,false
77,23:51:44.852,test360,pistol,0s,1,1,1,1000,2500,0.4,false
78,23:51:45.302,test360,pistol,0s,1,1,1,1000,2500,0.4,false
79,23:51:46.126,test360,pistol,0.283s,2,1,0.5,1000,5000,0.2,false
80,23:51:47.686,test360,pistol,0.717s,3,1,0.333,1000,7500,0.133,false
81,23:51:48.186,test360,pistol,0s,1,1,1,1000,2500,0.4,false
82,23:51:49.485,test360,pistol,0.783s,3,1,0.333,1000,7500,0.133,false
83,23:51:50.503,test360,pistol,0.484s,2,1,0.5,1000,5000,0.2,false
84,23:51:51.004,test360,pistol,0s,1,1,1,1000,2500,0.4,false
85,23:51:53.221,test360,pistol,1.752s,5,1,0.2,1000,12500,0.08,false
86,23:51:53.820,test360,pistol,0s,1,1,1,1000,2500,0.4,false
87,23:51:54.637,test360,pistol,0s,1,1,1,1000,2500,0.4,false
88,23:51:56.387,test360,pistol,0.616s,3,1,0.333,1000,7500,0.133,false
89,23:51:58.571,test360,pistol,1.184s,5,1,0.2,1000,12500,0.08,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,153,89,89000.0,382500.0,

Kills:,89
Deaths:,0
Fight Time:,25.444
Avg TTK:,0
Damage Done:,89000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,267000.0
Scenario:,Pasu Dodge Easy
Hash:,44c7669019c230e7337c2b3835e942dc
Game Version:,2.0.4.0
Challenge Start:,23:50:33.221

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,171.414688
Resolution Scale,100.0
