Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:51:34.168,test,pistol,0.533s,2,1,0.5,1000,4000,0.25,false
2,17:51:35.948,test,pistol,1.258s,4,1,0.25,1000,8000,0.125,false
3,17:51:36.643,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,17:51:38.590,test,pistol,0.289s,2,1,0.5,1000,4000,0.25,false
5,17:51:39.319,test,pistol,0.215s,2,1,0.5,1000,4000,0.25,false
6,17:51:40.318,test,pistol,0.545s,2,1,0.5,1000,4000,0.25,false
7,17:51:40.834,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,17:51:42.250,test,pistol,0.843s,3,1,0.333,1000,6000,0.167,false
9,17:51:43.697,test,pistol,0.853s,3,1,0.333,1000,6000,0.167,false
10,17:51:44.423,test,pistol,0.292s,2,1,0.5,1000,4000,0.25,false
11,17:51:44.984,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,17:51:46.400,test,pistol,0.863s,3,1,0.333,1000,6000,0.167,false
13,17:51:47.225,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,17:51:48.596,test,pistol,0.667s,2,1,0.5,1000,4000,0.25,false
15,17:51:49.107,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,17:51:49.767,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,17:51:50.481,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,17:51:51.622,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,17:51:52.352,test,pistol,0.297s,2,1,0.5,1000,4000,0.25,false
20,17:51:52.768,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,17:51:53.846,test,pistol,0.427s,2,1,0.5,1000,4000,0.25,false
22,17:51:55.301,test,pistol,0.902s,3,1,0.333,1000,6000,0.167,false
23,17:51:55.751,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,17:51:56.228,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
25,17:51:56.743,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
26,17:51:57.201,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,17:51:57.991,test,pistol,0.274s,2,1,0.5,1000,4000,0.25,false
28,17:51:59.207,test,pistol,0.516s,2,1,0.5,1000,4000,0.25,false
29,17:52:00.016,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,17:52:01.813,test,pistol,1.027s,3,1,0.333,1000,6000,0.167,false
31,17:52:03.451,test,pistol,0.957s,3,1,0.333,1000,6000,0.167,false
32,17:52:06.193,test,pistol,1.909s,5,1,0.2,1000,10000,0.1,false
33,17:52:07.535,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,17:52:08.253,test,pistol,0.206s,2,1,0.5,1000,4000,0.25,false
35,17:52:09.019,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
36,17:52:09.876,test,pistol,0.363s,2,1,0.5,1000,4000,0.25,false
37,17:52:10.678,test,pistol,0.314s,2,1,0.5,1000,4000,0.25,false
38,17:52:11.124,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,17:52:11.858,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,17:52:12.727,test,pistol,0.287s,2,1,0.5,1000,4000,0.25,false
41,17:52:13.469,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,17:52:13.977,test,pistol,0s,1,1,1,1000,2000,0.5,false
43,17:52:15.181,test,pistol,0.463s,2,1,0.5,1000,4000,0.25,false
44,17:52:15.807,test,pistol,0s,1,1,1,1000,2000,0.5,false
