Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:49:21.404,test,pistol,0.278s,2,1,0.5,1000,4000,0.25,false
2,23:49:22.655,test,pistol,0.635s,2,1,0.5,1000,4000,0.25,false
3,23:49:23.236,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,23:49:23.828,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
5,23:49:24.885,test,pistol,0.471s,2,1,0.5,1000,4000,0.25,false
6,23:49:25.823,test,pistol,0.379s,2,1,0.5,1000,4000,0.25,false
7,23:49:26.488,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,23:49:27.070,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,23:49:27.520,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,23:49:28.018,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,23:49:28.664,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,23:49:30.467,test,pistol,1.185s,3,1,0.333,1000,6000,0.167,false
13,23:49:30.996,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,23:49:31.726,test,pistol,0.262s,2,1,0.5,1000,4000,0.25,false
15,23:49:32.668,test,pistol,0.544s,2,1,0.5,1000,4000,0.25,false
16,23:49:33.167,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,23:49:34.575,test,pistol,0.862s,3,1,0.333,1000,6000,0.167,false
18,23:49:37.534,test,pistol,2.331s,3,1,0.333,1000,6000,0.167,false
19,23:49:38.222,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,23:49:38.734,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,23:49:39.491,test,pistol,0.265s,2,1,0.5,1000,4000,0.25,false
22,23:49:40.311,test,pistol,0.266s,2,1,0.5,1000,4000,0.25,false
23,23:49:41.410,test,pistol,0.523s,2,1,0.5,1000,4000,0.25,false
24,23:49:42.919,test,pistol,0.744s,3,1,0.333,1000,6000,0.167,false
25,23:49:43.515,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,23:49:44.173,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,23:49:45.191,test,pistol,0.345s,2,1,0.5,1000,4000,0.25,false
28,23:49:45.635,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
29,23:49:46.392,test,pistol,0.305s,2,1,0.5,1000,4000,0.25,false
30,23:49:47.001,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,23:49:47.926,test,pistol,0.337s,2,1,0.5,1000,4000,0.25,false
32,23:49:49.078,test,pistol,0.51s,2,1,0.5,1000,4000,0.25,false
33,23:49:49.757,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,23:49:50.400,test,pistol,0s,1,1,1,1000,2000,0.5,false
35,23:49:51.079,test,pistol,0s,1,1,1,1000,2000,0.5,false
36,23:49:52.057,test,pistol,0.271s,2,1,0.5,1000,4000,0.25,false
37,23:49:52.669,test,pistol,0s,1,1,1,1000,2000,0.5,false
38,23:49:55.107,test,pistol,1.821s,4,1,0.25,1000,8000,0.125,false
39,23:49:55.621,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,23:49:56.223,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,23:49:56.949,test,pistol,0.288s,2,1,0.5,1000,4000,0.25,false
42,23:49:59.748,test,pistol,2.331s,4,1,0.25,1000,8000,0.125,false
43,23:50:00.401,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
44,23:50:00.964,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,23:50:01.668,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,23:50:02.457,test,pistol,0s,1,1,1,1000,2000,0.5,false
47,23:50:02.970,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,23:50:03.566,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,23:50:04.094,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,23:50:04.599,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
51,23:50:05.168,test,pistol,0s,1,1,1,1000,2000,0.5,false
52,23:50:05.681,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,23:50:06.195,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,23:50:06.673,test,pistol,0s,1,1,1,1000,2000,0.5,false
55,23:50:07.160,test,pistol,0s,1,1,1,1000,2000,0.5,false
56,23:50:07.636,test,pistol,0s,1,1,1,1000,2000,0.5,false
