Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:29:56.025,Watcher Bot Long Strafes,pistol,1.301s,4,2,0.5,800,1600,0.5,false
2,22:29:57.378,Watcher Bot Long Strafes,pistol,0.838s,3,2,0.667,800,1200,0.667,false
3,22:29:58.771,Watcher Bot Long Strafes,pistol,0.884s,3,2,0.667,800,1200,0.667,false
4,22:30:01.392,Watcher Bot Long Strafes,pistol,1.889s,5,2,0.4,800,2000,0.4,false
5,22:30:02.967,Watcher Bot Long Strafes,pistol,0.557s,2,2,1,800,800,1,false
6,22:30:05.741,Watcher Bot Long Strafes,pistol,2.032s,5,2,0.4,800,2000,0.4,false
7,22:30:14.570,Watcher Bot Long Strafes,pistol,8.112s,12,3,0.25,800,4800,0.167,false
8,22:30:17.014,Watcher Bot Long Strafes,pistol,1.597s,4,2,0.5,800,1600,0.5,false
9,22:30:18.560,Watcher Bot Long Strafes,pistol,0.776s,3,2,0.667,600,1200,0.5,false
10,22:30:21.723,Watcher Bot Long Strafes,pistol,2.49s,6,2,0.333,800,2400,0.333,false
11,22:30:23.753,Watcher Bot Long Strafes,pistol,1.433s,4,2,0.5,800,1600,0.5,false
12,22:30:25.958,Watcher Bot Long Strafes,pistol,1.438s,4,2,0.5,600,1600,0.375,false
13,22:30:28.123,Watcher Bot Long Strafes,pistol,1.006s,3,2,0.667,800,1200,0.667,false
14,22:30:34.548,Watcher Bot Long Strafes,pistol,5.76s,8,3,0.375,1200,3200,0.375,false
15,22:30:35.566,Watcher Bot Long Strafes,pistol,0.515s,2,2,1,800,800,1,false
16,22:30:36.890,Watcher Bot Long Strafes,pistol,0.685s,2,2,1,600,800,0.75,false
17,22:30:37.942,Watcher Bot Long Strafes,pistol,0.408s,2,1,0.5,400,800,0.5,false
18,22:30:41.096,Watcher Bot Long Strafes,pistol,2.429s,5,3,0.6,1200,2000,0.6,false
19,22:30:42.786,Watcher Bot Long Strafes,pistol,1.116s,3,1,0.333,200,1200,0.167,false
20,22:30:45.037,Watcher Bot Long Strafes,pistol,1.719s,4,2,0.5,800,1600,0.5,false
21,22:30:47.476,Watcher Bot Long Strafes,pistol,1.875s,5,2,0.4,600,2000,0.3,false
22,22:30:49.950,Watcher Bot Long Strafes,pistol,1.591s,4,2,0.5,800,1600,0.5,false
23,22:30:51.669,Watcher Bot Long Strafes,pistol,0.9s,3,2,0.667,800,1200,0.667,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,99,48,17800.0,39600.0,

Kills:,23
Deaths:,0
Fight Time:,41.351002
Avg TTK:,2.609
Damage Done:,17800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,89000.0
Scenario:,Pistol Strafe Gallery Small
Hash:,aa2c9f835e32f48136aaf900b8ac692f
Game Version:,v2.8.6
Challenge Start:,22:29:53.747
Pause Count:,40
Pause Duration:,195

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.275665
Resolution Scale,100.0
