Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:44:23.700,TileFrenzy Sphere,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
2,10:44:24.218,TileFrenzy Sphere,Poke-Drill,0.27s,28,7,0.25,1.4,5.6,0.25,false
3,10:44:24.841,TileFrenzy Sphere,Poke-Drill,0.538s,55,9,0.164,1.8,11,0.164,false
4,10:44:25.008,TileFrenzy Sphere,Poke-Drill,0.119s,13,10,0.769,2,2.6,0.769,false
5,10:44:25.738,TileFrenzy Sphere,Poke-Drill,0.48s,49,6,0.122,1.2,9.8,0.122,false
6,10:44:26.230,TileFrenzy Sphere,Poke-Drill,0.24s,25,6,0.24,1.2,5,0.24,false
7,10:44:27.001,TileFrenzy Sphere,Poke-Drill,0.512s,52,12,0.231,2.4,10.4,0.231,false
8,10:44:27.537,TileFrenzy Sphere,Poke-Drill,0.278s,29,6,0.207,1.2,5.8,0.207,false
9,10:44:27.917,TileFrenzy Sphere,Poke-Drill,0.129s,14,6,0.429,1.2,2.8,0.429,false
10,10:44:28.400,TileFrenzy Sphere,Poke-Drill,0.231s,24,11,0.458,2.2,4.8,0.458,false
11,10:44:28.852,TileFrenzy Sphere,Poke-Drill,0.24s,25,11,0.44,2.2,5,0.44,false
12,10:44:29.437,TileFrenzy Sphere,Poke-Drill,0.338s,35,7,0.2,1.4,7,0.2,false
13,10:44:29.739,TileFrenzy Sphere,Poke-Drill,0.051s,6,6,1,1.2,1.2,1,false
14,10:44:30.591,TileFrenzy Sphere,Poke-Drill,0.657s,67,9,0.134,1.8,13.4,0.134,false
15,10:44:30.899,TileFrenzy Sphere,Poke-Drill,0.06s,7,7,1,1.4,1.4,1,false
16,10:44:31.396,TileFrenzy Sphere,Poke-Drill,0.24s,25,7,0.28,1.4,5,0.28,false
17,10:44:31.897,TileFrenzy Sphere,Poke-Drill,0.251s,26,7,0.269,1.4,5.2,0.269,false
18,10:44:32.299,TileFrenzy Sphere,Poke-Drill,0.15s,16,6,0.375,1.2,3.2,0.375,false
19,10:44:32.641,TileFrenzy Sphere,Poke-Drill,0.159s,17,6,0.353,1.2,3.4,0.353,false
20,10:44:32.708,TileFrenzy Sphere,Poke-Drill,0.051s,6,6,1,1.2,1.2,1,false
21,10:44:33.307,TileFrenzy Sphere,Poke-Drill,0.347s,36,6,0.167,1.2,7.2,0.167,false
22,10:44:33.999,TileFrenzy Sphere,Poke-Drill,0.441s,45,8,0.178,1.6,9,0.178,false
23,10:44:34.630,TileFrenzy Sphere,Poke-Drill,0.371s,38,8,0.211,1.6,7.6,0.211,false
24,10:44:35.208,TileFrenzy Sphere,Poke-Drill,0.318s,33,8,0.242,1.6,6.6,0.242,false
25,10:44:36.218,TileFrenzy Sphere,Poke-Drill,0.76s,77,6,0.078,1.2,15.4,0.078,false
26,10:44:36.597,TileFrenzy Sphere,Poke-Drill,0.126s,14,11,0.786,2.2,2.8,0.786,false
27,10:44:36.909,TileFrenzy Sphere,Poke-Drill,0.061s,7,6,0.857,1.2,1.4,0.857,false
28,10:44:37.792,TileFrenzy Sphere,Poke-Drill,0.737s,75,13,0.173,2.6,15,0.173,false
29,10:44:38.300,TileFrenzy Sphere,Poke-Drill,0.26s,27,7,0.259,1.4,5.4,0.259,false
30,10:44:39.569,TileFrenzy Sphere,Poke-Drill,1.082s,109,10,0.092,2,21.8,0.092,false
31,10:44:40.300,TileFrenzy Sphere,Poke-Drill,0.48s,49,13,0.265,2.6,9.8,0.265,false
32,10:44:40.810,TileFrenzy Sphere,Poke-Drill,0.252s,26,7,0.269,1.4,5.2,0.269,false
33,10:44:41.230,TileFrenzy Sphere,Poke-Drill,0.229s,24,8,0.333,1.6,4.8,0.333,false
34,10:44:41.736,TileFrenzy Sphere,Poke-Drill,0.26s,27,11,0.407,2.2,5.4,0.407,false
35,10:44:42.571,TileFrenzy Sphere,Poke-Drill,0.66s,67,14,0.209,2.8,13.4,0.209,false
36,10:44:43.610,TileFrenzy Sphere,Poke-Drill,0.789s,80,9,0.112,1.8,16,0.113,false
37,10:44:43.992,TileFrenzy Sphere,Poke-Drill,0.132s,14,7,0.5,1.4,2.8,0.5,false
38,10:44:44.819,TileFrenzy Sphere,Poke-Drill,0.577s,59,15,0.254,3,11.8,0.254,false
39,10:44:45.331,TileFrenzy Sphere,Poke-Drill,0.331s,34,8,0.235,1.6,6.8,0.235,false
40,10:44:46.297,TileFrenzy Sphere,Poke-Drill,0.72s,73,8,0.11,1.6,14.6,0.11,false
41,10:44:47.930,TileFrenzy Sphere,Poke-Drill,1.38s,139,19,0.137,3.8,27.8,0.137,false
42,10:44:48.230,TileFrenzy Sphere,Poke-Drill,0.051s,6,6,1,1.2,1.2,1,false
43,10:44:48.809,TileFrenzy Sphere,Poke-Drill,0.32s,33,10,0.303,2,6.6,0.303,false
44,10:44:49.398,TileFrenzy Sphere,Poke-Drill,0.33s,34,8,0.235,1.6,6.8,0.235,false
45,10:44:49.721,TileFrenzy Sphere,Poke-Drill,0.148s,16,7,0.438,1.4,3.2,0.437,false
46,10:44:50.307,TileFrenzy Sphere,Poke-Drill,0.339s,35,10,0.286,2,7,0.286,false
47,10:44:50.698,TileFrenzy Sphere,Poke-Drill,0.139s,15,10,0.667,2,3,0.667,false
48,10:44:51.221,TileFrenzy Sphere,Poke-Drill,0.269s,28,6,0.214,1.2,5.6,0.214,false
49,10:44:51.649,TileFrenzy Sphere,Poke-Drill,0.168s,18,6,0.333,1.2,3.6,0.333,false
50,10:44:52.100,TileFrenzy Sphere,Poke-Drill,0.191s,20,6,0.3,1.2,4,0.3,false
51,10:44:52.381,TileFrenzy Sphere,Poke-Drill,0.168s,18,6,0.333,1.2,3.6,0.333,false
52,10:44:52.528,TileFrenzy Sphere,Poke-Drill,0.08s,9,9,1,1.8,1.8,1,false
53,10:44:53.379,TileFrenzy Sphere,Poke-Drill,0.62s,63,6,0.095,1.2,12.6,0.095,false
54,10:44:54.431,TileFrenzy Sphere,Poke-Drill,0.803s,81,9,0.111,1.8,16.2,0.111,false
55,10:44:54.761,TileFrenzy Sphere,Poke-Drill,0.219s,23,10,0.435,2,4.6,0.435,false
56,10:44:55.332,TileFrenzy Sphere,Poke-Drill,0.39s,40,13,0.325,2.6,8,0.325,false
57,10:44:55.798,TileFrenzy Sphere,Poke-Drill,0.218s,23,7,0.304,1.4,4.6,0.304,false
58,10:44:56.349,TileFrenzy Sphere,Poke-Drill,0.298s,31,6,0.194,1.2,6.2,0.194,false
59,10:44:56.739,TileFrenzy Sphere,Poke-Drill,0.132s,14,6,0.429,1.2,2.8,0.429,false
60,10:44:57.540,TileFrenzy Sphere,Poke-Drill,0.542s,55,11,0.2,2.2,11,0.2,false
61,10:44:57.920,TileFrenzy Sphere,Poke-Drill,0.2s,21,8,0.381,1.6,4.2,0.381,false
62,10:44:57.998,TileFrenzy Sphere,Poke-Drill,0.052s,6,6,1,1.2,1.2,1,false
63,10:44:58.901,TileFrenzy Sphere,Poke-Drill,0.651s,66,9,0.136,1.8,13.2,0.136,false
64,10:44:59.221,TileFrenzy Sphere,Poke-Drill,0.15s,16,6,0.375,1.2,3.2,0.375,false
65,10:44:59.628,TileFrenzy Sphere,Poke-Drill,0.16s,17,8,0.471,1.6,3.4,0.471,false
66,10:45:00.608,TileFrenzy Sphere,Poke-Drill,0.729s,74,12,0.162,2.4,14.8,0.162,false
67,10:45:01.198,TileFrenzy Sphere,Poke-Drill,0.336s,35,9,0.257,1.8,7,0.257,false
68,10:45:02.031,TileFrenzy Sphere,Poke-Drill,0.75s,76,7,0.092,1.4,15.2,0.092,false
69,10:45:02.641,TileFrenzy Sphere,Poke-Drill,0.421s,43,9,0.209,1.8,8.6,0.209,false
70,10:45:02.699,TileFrenzy Sphere,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
71,10:45:03.589,TileFrenzy Sphere,Poke-Drill,0.64s,65,10,0.154,2,13,0.154,false
72,10:45:03.820,TileFrenzy Sphere,Poke-Drill,0.073s,8,8,1,1.6,1.6,1,false
73,10:45:04.310,TileFrenzy Sphere,Poke-Drill,0.241s,25,12,0.48,2.4,5,0.48,false
74,10:45:04.729,TileFrenzy Sphere,Poke-Drill,0.159s,17,6,0.353,1.2,3.4,0.353,false
75,10:45:05.196,TileFrenzy Sphere,Poke-Drill,0.209s,22,6,0.273,1.2,4.4,0.273,false
76,10:45:05.522,TileFrenzy Sphere,Poke-Drill,0.151s,16,8,0.5,1.6,3.2,0.5,false
77,10:45:06.101,TileFrenzy Sphere,Poke-Drill,0.331s,34,12,0.353,2.4,6.8,0.353,false
78,10:45:06.849,TileFrenzy Sphere,Poke-Drill,0.537s,55,10,0.182,2,11,0.182,false
79,10:45:07.201,TileFrenzy Sphere,Poke-Drill,0.103s,11,11,1,2.2,2.2,1,false
80,10:45:07.801,TileFrenzy Sphere,Poke-Drill,0.339s,35,11,0.314,2.2,7,0.314,false
81,10:45:08.562,TileFrenzy Sphere,Poke-Drill,0.638s,65,12,0.185,2.4,13,0.185,false
82,10:45:08.920,TileFrenzy Sphere,Poke-Drill,0.188s,20,9,0.45,1.8,4,0.45,false
83,10:45:08.996,TileFrenzy Sphere,Poke-Drill,0.05s,6,6,1,1.2,1.2,1,false
84,10:45:09.601,TileFrenzy Sphere,Poke-Drill,0.352s,36,9,0.25,1.8,7.2,0.25,false
85,10:45:10.300,TileFrenzy Sphere,Poke-Drill,0.439s,45,10,0.222,2,9,0.222,false
86,10:45:11.099,TileFrenzy Sphere,Poke-Drill,0.541s,55,8,0.145,1.6,11,0.145,false
87,10:45:12.307,TileFrenzy Sphere,Poke-Drill,0.951s,96,16,0.167,3.2,19.2,0.167,false
88,10:45:12.592,TileFrenzy Sphere,Poke-Drill,0.088s,10,6,0.6,1.2,2,0.6,false
89,10:45:13.201,TileFrenzy Sphere,Poke-Drill,0.36s,37,13,0.351,2.6,7.4,0.351,false
90,10:45:13.635,TileFrenzy Sphere,Poke-Drill,0.178s,19,6,0.316,1.2,3.8,0.316,false
91,10:45:15.438,TileFrenzy Sphere,Poke-Drill,1.55s,156,17,0.109,3.4,31.2,0.109,false
92,10:45:16.009,TileFrenzy Sphere,Poke-Drill,0.317s,33,10,0.303,2,6.6,0.303,false
93,10:45:16.410,TileFrenzy Sphere,Poke-Drill,0.171s,18,6,0.333,1.2,3.6,0.333,false
94,10:45:17.808,TileFrenzy Sphere,Poke-Drill,1.15s,116,18,0.155,3.6,23.2,0.155,false
95,10:45:18.598,TileFrenzy Sphere,Poke-Drill,0.538s,55,16,0.291,3.2,11,0.291,false
96,10:45:19.298,TileFrenzy Sphere,Poke-Drill,0.448s,46,7,0.152,1.4,9.2,0.152,false
97,10:45:19.800,TileFrenzy Sphere,Poke-Drill,0.251s,26,11,0.423,2.2,5.2,0.423,false
98,10:45:20.299,TileFrenzy Sphere,Poke-Drill,0.243s,25,11,0.44,2.2,5,0.44,false
99,10:45:21.449,TileFrenzy Sphere,Poke-Drill,0.951s,96,18,0.188,3.6,19.2,0.188,false
100,10:45:22.798,TileFrenzy Sphere,Poke-Drill,1.31s,132,15,0.114,3,26.4,0.114,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3880,903,180.598389,776.028931,

Kills:,100
Deaths:,0
Fight Time:,37.772999
Avg TTK:,0.6
Damage Done:,180.598389
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,100.0
Scenario:,Pokeball 5 Sphere Hipfire Extra Small
Hash:,040ca209676ddb2fbcb1a5b75fb6cdc8
Game Version:,v2.7.0
Challenge Start:,10:44:22.796
Pause Count:,31
Pause Duration:,77

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,293.386688
Resolution Scale,100.0
