Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:39:41.690,Regenerating Pokeball,Poke-Drill,0.227s,24,6,0.25,1.2,4.8,0.25,false
2,10:39:42.181,Regenerating Pokeball,Poke-Drill,0.231s,24,7,0.292,1.4,4.8,0.292,false
3,10:39:42.680,Regenerating Pokeball,Poke-Drill,0.241s,25,6,0.24,1.2,5,0.24,false
4,10:39:43.110,Regenerating Pokeball,Poke-Drill,0.169s,18,6,0.333,1.2,3.6,0.333,false
5,10:39:43.590,Regenerating Pokeball,Poke-Drill,0.22s,23,6,0.261,1.2,4.6,0.261,false
6,10:39:44.089,Regenerating Pokeball,Poke-Drill,0.249s,26,6,0.231,1.2,5.2,0.231,false
7,10:39:44.609,Regenerating Pokeball,Poke-Drill,0.267s,28,7,0.25,1.4,5.6,0.25,false
8,10:39:45.211,Regenerating Pokeball,Poke-Drill,0.35s,36,6,0.167,1.2,7.2,0.167,false
9,10:39:45.790,Regenerating Pokeball,Poke-Drill,0.32s,33,6,0.182,1.2,6.6,0.182,false
10,10:39:46.270,Regenerating Pokeball,Poke-Drill,0.22s,23,7,0.304,1.4,4.6,0.304,false
11,10:39:46.730,Regenerating Pokeball,Poke-Drill,0.272s,28,6,0.214,1.2,5.6,0.214,false
12,10:39:47.688,Regenerating Pokeball,Poke-Drill,0.708s,72,13,0.181,2.6,14.4,0.181,false
13,10:39:48.071,Regenerating Pokeball,Poke-Drill,0.129s,14,7,0.5,1.4,2.8,0.5,false
14,10:39:48.668,Regenerating Pokeball,Poke-Drill,0.342s,35,11,0.314,2.2,7,0.314,false
15,10:39:49.041,Regenerating Pokeball,Poke-Drill,0.151s,16,6,0.375,1.2,3.2,0.375,false
16,10:39:49.768,Regenerating Pokeball,Poke-Drill,0.478s,49,20,0.408,4,9.8,0.408,false
17,10:39:50.387,Regenerating Pokeball,Poke-Drill,0.368s,38,6,0.158,1.2,7.6,0.158,false
18,10:39:50.868,Regenerating Pokeball,Poke-Drill,0.231s,24,10,0.417,2,4.8,0.417,false
19,10:39:51.407,Regenerating Pokeball,Poke-Drill,0.288s,30,6,0.2,1.2,6,0.2,false
20,10:39:52.797,Regenerating Pokeball,Poke-Drill,1.14s,115,8,0.07,1.6,23,0.07,false
21,10:39:53.266,Regenerating Pokeball,Poke-Drill,0.219s,23,8,0.348,1.6,4.6,0.348,false
22,10:39:53.609,Regenerating Pokeball,Poke-Drill,0.092s,10,6,0.6,1.2,2,0.6,false
23,10:39:54.091,Regenerating Pokeball,Poke-Drill,0.23s,24,6,0.25,1.2,4.8,0.25,false
24,10:39:55.290,Regenerating Pokeball,Poke-Drill,0.94s,95,14,0.147,2.8,19,0.147,false
25,10:39:56.380,Regenerating Pokeball,Poke-Drill,0.832s,84,6,0.071,1.2,16.8,0.071,false
26,10:39:56.821,Regenerating Pokeball,Poke-Drill,0.228s,24,7,0.292,1.4,4.8,0.292,false
27,10:39:57.470,Regenerating Pokeball,Poke-Drill,0.402s,41,12,0.293,2.4,8.2,0.293,false
28,10:39:57.968,Regenerating Pokeball,Poke-Drill,0.241s,25,11,0.44,2.2,5,0.44,false
29,10:39:58.468,Regenerating Pokeball,Poke-Drill,0.248s,26,11,0.423,2.2,5.2,0.423,false
30,10:39:59.480,Regenerating Pokeball,Poke-Drill,0.762s,77,12,0.156,2.4,15.4,0.156,false
31,10:39:59.807,Regenerating Pokeball,Poke-Drill,0.071s,8,6,0.75,1.2,1.6,0.75,false
32,10:40:00.279,Regenerating Pokeball,Poke-Drill,0.221s,23,6,0.261,1.2,4.6,0.261,false
33,10:40:00.873,Regenerating Pokeball,Poke-Drill,0.341s,35,10,0.286,2,7,0.286,false
34,10:40:01.292,Regenerating Pokeball,Poke-Drill,0.163s,17,6,0.353,1.2,3.4,0.353,false
35,10:40:01.768,Regenerating Pokeball,Poke-Drill,0.219s,23,7,0.304,1.4,4.6,0.304,false
36,10:40:02.221,Regenerating Pokeball,Poke-Drill,0.252s,26,8,0.308,1.6,5.2,0.308,false
37,10:40:02.570,Regenerating Pokeball,Poke-Drill,0.102s,11,8,0.727,1.6,2.2,0.727,false
38,10:40:03.168,Regenerating Pokeball,Poke-Drill,0.348s,36,7,0.194,1.4,7.2,0.194,false
39,10:40:03.772,Regenerating Pokeball,Poke-Drill,0.35s,36,12,0.333,2.4,7.2,0.333,false
40,10:40:04.492,Regenerating Pokeball,Poke-Drill,0.482s,49,8,0.163,1.6,9.8,0.163,false
41,10:40:04.787,Regenerating Pokeball,Poke-Drill,0.05s,6,6,1,1.2,1.2,1,false
42,10:40:05.602,Regenerating Pokeball,Poke-Drill,0.562s,57,6,0.105,1.2,11.4,0.105,false
43,10:40:06.209,Regenerating Pokeball,Poke-Drill,0.35s,36,6,0.167,1.2,7.2,0.167,false
44,10:40:06.770,Regenerating Pokeball,Poke-Drill,0.308s,32,10,0.312,2,6.4,0.313,false
45,10:40:07.400,Regenerating Pokeball,Poke-Drill,0.371s,38,6,0.158,1.2,7.6,0.158,false
46,10:40:08.067,Regenerating Pokeball,Poke-Drill,0.41s,42,10,0.238,2,8.4,0.238,false
47,10:40:08.871,Regenerating Pokeball,Poke-Drill,0.55s,56,17,0.304,3.4,11.2,0.304,false
48,10:40:09.871,Regenerating Pokeball,Poke-Drill,0.741s,75,10,0.133,2,15,0.133,false
49,10:40:10.291,Regenerating Pokeball,Poke-Drill,0.163s,17,6,0.353,1.2,3.4,0.353,false
50,10:40:10.772,Regenerating Pokeball,Poke-Drill,0.221s,23,7,0.304,1.4,4.6,0.304,false
51,10:40:11.271,Regenerating Pokeball,Poke-Drill,0.24s,25,7,0.28,1.4,5,0.28,false
52,10:40:11.689,Regenerating Pokeball,Poke-Drill,0.16s,17,6,0.353,1.2,3.4,0.353,false
53,10:40:12.270,Regenerating Pokeball,Poke-Drill,0.328s,34,10,0.294,2,6.8,0.294,false
54,10:40:12.712,Regenerating Pokeball,Poke-Drill,0.182s,19,6,0.316,1.2,3.8,0.316,false
55,10:40:13.071,Regenerating Pokeball,Poke-Drill,0.1s,11,9,0.818,1.8,2.2,0.818,false
56,10:40:13.767,Regenerating Pokeball,Poke-Drill,0.438s,45,9,0.2,1.8,9,0.2,false
57,10:40:14.289,Regenerating Pokeball,Poke-Drill,0.27s,28,6,0.214,1.2,5.6,0.214,false
58,10:40:14.878,Regenerating Pokeball,Poke-Drill,0.331s,34,6,0.176,1.2,6.8,0.176,false
59,10:40:15.272,Regenerating Pokeball,Poke-Drill,0.139s,15,10,0.667,2,3,0.667,false
60,10:40:15.708,Regenerating Pokeball,Poke-Drill,0.18s,19,7,0.368,1.4,3.8,0.368,false
61,10:40:16.402,Regenerating Pokeball,Poke-Drill,0.441s,45,7,0.156,1.4,9,0.156,false
62,10:40:16.979,Regenerating Pokeball,Poke-Drill,0.319s,33,6,0.182,1.2,6.6,0.182,false
63,10:40:17.500,Regenerating Pokeball,Poke-Drill,0.269s,28,6,0.214,1.2,5.6,0.214,false
64,10:40:18.080,Regenerating Pokeball,Poke-Drill,0.321s,33,6,0.182,1.2,6.6,0.182,false
65,10:40:18.679,Regenerating Pokeball,Poke-Drill,0.342s,35,6,0.171,1.2,7,0.171,false
66,10:40:19.321,Regenerating Pokeball,Poke-Drill,0.439s,45,11,0.244,2.2,9,0.244,false
67,10:40:19.813,Regenerating Pokeball,Poke-Drill,0.301s,31,10,0.323,2,6.2,0.323,false
68,10:40:20.231,Regenerating Pokeball,Poke-Drill,0.208s,22,12,0.545,2.4,4.4,0.545,false
69,10:40:20.732,Regenerating Pokeball,Poke-Drill,0.291s,30,15,0.5,3,6,0.5,false
70,10:40:21.171,Regenerating Pokeball,Poke-Drill,0.189s,20,8,0.4,1.6,4,0.4,false
71,10:40:22.072,Regenerating Pokeball,Poke-Drill,0.64s,65,8,0.123,1.6,13,0.123,false
72,10:40:22.568,Regenerating Pokeball,Poke-Drill,0.24s,25,8,0.32,1.6,5,0.32,false
73,10:40:23.269,Regenerating Pokeball,Poke-Drill,0.449s,46,6,0.13,1.2,9.2,0.13,false
74,10:40:23.788,Regenerating Pokeball,Poke-Drill,0.267s,28,9,0.321,1.8,5.6,0.321,false
75,10:40:24.371,Regenerating Pokeball,Poke-Drill,0.332s,34,7,0.206,1.4,6.8,0.206,false
