Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:11:29.730,Pigeon,pistol,13.737s,5,1,0.2,100,1000,0.1,false
2,22:11:38.300,Pigeon3,pistol,7.833s,5,1,0.2,100,1000,0.1,false
3,22:11:42.149,Pigeon3,pistol,2.2s,2,1,0.5,100,400,0.25,false
4,22:12:09.133,Pigeon2,pistol,25.189s,13,1,0.077,100,2600,0.038,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,27,4,400.0,5400.0,

Kills:,4
Deaths:,0
Fight Time:,48.959
Avg TTK:,0
Damage Done:,400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,40.0
Scenario:,Popcorn Sparky
Hash:,59515d3a0a5808045985f4e8ef3ffb5e
Game Version:,2.0.4.0
Challenge Start:,22:12:14.527

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,159.864685
Resolution Scale,100.0
