Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:02:38.777,Pigeon3,pistol,3.214s,3,1,0.333,100,600,0.167,false
2,06:02:41.587,Pigeon4,pistol,1.731s,2,1,0.5,100,400,0.25,false
3,06:02:50.264,Pigeon,pistol,6.983s,6,1,0.167,100,1200,0.083,false
4,06:02:51.509,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
5,06:02:55.039,Pigeon2,pistol,1.525s,2,1,0.5,100,400,0.25,false
6,06:02:57.790,Pigeon3,pistol,1.402s,2,1,0.5,100,400,0.25,false
7,06:03:06.793,Pigeon5,pistol,6.094s,4,1,0.25,100,800,0.125,false
8,06:03:08.684,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
9,06:03:14.235,Pigeon3,pistol,3.818s,3,1,0.333,100,600,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,33,9,900.0,6600.0,

Kills:,9
Deaths:,0
Fight Time:,24.767
Avg TTK:,0
Damage Done:,900.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,24
Distance Traveled:,0.0
Score:,90.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,2.0.5.0
Challenge Start:,06:02:34.481
Pause Count:,15
Pause Duration:,198

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,295.389984
Resolution Scale,100.0
