Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:54:18.541,Pigeon3,pistol,3.037s,3,1,0.333,100,600,0.167,false
2,11:54:34.121,Pigeon,pistol,13.863s,9,1,0.111,100,1800,0.056,false
3,11:54:36.129,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
4,11:54:37.352,Pigeon5,pistol,0.001s,1,1,1,100,200,0.5,false
5,11:54:40.507,Pigeon4,pistol,1.92s,2,1,0.5,100,400,0.25,false
6,11:54:47.526,Pigeon2,pistol,5.8s,5,1,0.2,100,1000,0.1,false
7,11:54:48.929,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
8,11:54:50.424,Pigeon3,pistol,0.001s,1,1,1,100,200,0.5,false
9,11:54:58.050,Pigeon2,pistol,4.347s,4,1,0.25,100,800,0.125,false
10,11:55:05.911,Pigeon3,pistol,5.267s,4,1,0.25,100,800,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,34,10,1000.0,6800.0,

Kills:,10
Deaths:,0
Fight Time:,34.236
Avg TTK:,0
Damage Done:,1000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,24
Distance Traveled:,0.0
Score:,100.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.6.1
Challenge Start:,11:54:14.174
Pause Count:,7
Pause Duration:,525

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.753082
Resolution Scale,100.0
