Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:56:36.802,Pigeon3,pistol,1.778s,2,1,0.5,100,400,0.25,false
2,11:56:49.496,Pigeon,pistol,11.404s,7,1,0.143,100,1400,0.071,false
3,11:57:08.188,Pigeon2,pistol,17.261s,10,1,0.1,100,2000,0.05,false
4,11:57:15.516,Pigeon4,pistol,5.574s,4,1,0.25,100,800,0.125,false
5,11:57:20.286,Pigeon4,pistol,3.326s,3,1,0.333,100,600,0.167,false
6,11:57:26.352,Pigeon5,pistol,4.367s,3,1,0.333,100,600,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,33,6,600.0,6600.0,

Kills:,6
Deaths:,0
Fight Time:,43.709999
Avg TTK:,0
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,27
Distance Traveled:,0.0
Score:,60.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.6.1
Challenge Start:,11:56:33.777
Pause Count:,9
Pause Duration:,527

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.558807
Resolution Scale,100.0
